experiment_id,participant_id,exposure_test_condition_id,exposure_test_condition.original,exposure_condition.accent,exposure_condition.talker,test_condition.accent_generalization,test_condition.talker_generalization,exposure_accents,test_accents,exposure_talkers,test_talkers,phase,trial,trial.within_phase,item_id,item_unit,item_accent,item_talker,response_expected,response_expected.ipa,response_provided,response_provided.ipa,response_correct,response_incorrect
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,23.0,13,AN19.KOR.kf2.W04,word,KOR,AN19.KOR.kf2,bug,,bag,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,18.0,14,AN19.KOR.kf2.W05,word,KOR,AN19.KOR.kf2,bum,,bomb,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,13.0,15,AN19.KOR.km6.W09,word,KOR,AN19.KOR.km6,caught,,coat,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,12.0,16,AN19.KOR.kf4.W09,word,KOR,AN19.KOR.kf4,caught,,cot,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,1.0,17,AN19.KOR.kf2.W06,word,KOR,AN19.KOR.kf2,chat,,cheat,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,22.0,18,AN19.KOR.km6.W32,word,KOR,AN19.KOR.km6,chief,,cheif,,1,0
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,21.0,19,AN19.KOR.kf4.W08,word,KOR,AN19.KOR.kf4,comb,,come,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,8.0,20,AN19.KOR.kf4.W10,word,KOR,AN19.KOR.kf4,den,,dan,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,21.0,21,AN19.KOR.km6.W07,word,KOR,AN19.KOR.km6,does,,thus,,0,1
AN19,AN19.1,AN19.Korean.test_Korean,Korean,single,multi,,,KOR,KOR,"AN19.KOR.kf2, AN19.KOR.kf4, AN19.KOR.kf6, AN19.KOR.km2, AN19.KOR.km6, AN19.KOR.km7","AN19.KOR.kf1, AN19.KOR.kf3, AN19.KOR.kf5, AN19.KOR.km1, AN19.KOR.km3, AN19.KOR.km8",exposure,22.0,22,AN19.KOR.kf6.W36,word,KOR,AN19.KOR.kf6,doom,,done,,0,1
