experiment_id,participant_id,exposure_test_condition_id,exposure_test_condition.original,exposure_condition.accent,exposure_condition.talker,test_condition.accent_generalization,test_condition.talker_generalization,exposure_accents,test_accents,exposure_talkers,test_talkers,phase,trial,trial.within_phase,item_id,item_unit,item_accent,item_talker,response_expected,response_expected.ipa,response_provided,response_provided.ipa,response_correct,response_incorrect
X21,X21.448fd7d0cd089e3f9195ebd3f9c39f5a,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_043,X21.CMN.CMN_M_043,test,6,1,X21.CMN.CMN_M_043.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_043,shoes,,the shoes were very dirty,,1,0
X21,X21.448fd7d0cd089e3f9195ebd3f9c39f5a,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_043,X21.CMN.CMN_M_043,test,6,2,X21.CMN.CMN_M_043.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_043,were,,the shoes were very dirty,,1,0
X21,X21.448fd7d0cd089e3f9195ebd3f9c39f5a,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_043,X21.CMN.CMN_M_043,test,6,3,X21.CMN.CMN_M_043.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_043,very,,the shoes were very dirty,,1,0
X21,X21.448fd7d0cd089e3f9195ebd3f9c39f5a,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_043,X21.CMN.CMN_M_043,test,6,4,X21.CMN.CMN_M_043.HT1_S004.Wdirty,word,CMN,X21.CMN.CMN_M_043,dirty,,the shoes were very dirty,,1,0
X21,X21.69decdc1ca270e4f9655741cc96bb91b,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_032, X21.CMN.CMN_M_037, X21.CMN.CMN_M_043",X21.CMN.CMN_M_035,test,9,1,X21.CMN.CMN_M_035.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_035,shoes,,the shoes were very dirty,,1,0
X21,X21.69decdc1ca270e4f9655741cc96bb91b,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_032, X21.CMN.CMN_M_037, X21.CMN.CMN_M_043",X21.CMN.CMN_M_035,test,9,2,X21.CMN.CMN_M_035.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_035,were,,the shoes were very dirty,,1,0
X21,X21.69decdc1ca270e4f9655741cc96bb91b,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_032, X21.CMN.CMN_M_037, X21.CMN.CMN_M_043",X21.CMN.CMN_M_035,test,9,3,X21.CMN.CMN_M_035.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_035,very,,the shoes were very dirty,,1,0
X21,X21.69decdc1ca270e4f9655741cc96bb91b,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_032, X21.CMN.CMN_M_037, X21.CMN.CMN_M_043",X21.CMN.CMN_M_035,test,9,4,X21.CMN.CMN_M_035.HT1_S004.Wdirty,word,CMN,X21.CMN.CMN_M_035,dirty,,the shoes were very dirty,,1,0
X21,X21.6fd6dfe40dd753d7795852052ebef541,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_043,X21.CMN.CMN_M_043,test,12,1,X21.CMN.CMN_M_043.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_043,shoes,,the shoes were very dirty,,1,0
X21,X21.6fd6dfe40dd753d7795852052ebef541,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_043,X21.CMN.CMN_M_043,test,12,2,X21.CMN.CMN_M_043.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_043,were,,the shoes were very dirty,,1,0
X21,X21.6fd6dfe40dd753d7795852052ebef541,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_043,X21.CMN.CMN_M_043,test,12,3,X21.CMN.CMN_M_043.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_043,very,,the shoes were very dirty,,1,0
X21,X21.6fd6dfe40dd753d7795852052ebef541,X21.Talker_specific,Talker-specific,single,single,within-accent,within-talker,CMN,CMN,X21.CMN.CMN_M_043,X21.CMN.CMN_M_043,test,12,4,X21.CMN.CMN_M_043.HT1_S004.Wdirty,word,CMN,X21.CMN.CMN_M_043,dirty,,the shoes were very dirty,,1,0
X21,X21.643313ae83f041d62efb0f54570821ac,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_032, X21.CMN.CMN_M_035, X21.CMN.CMN_M_043",X21.CMN.CMN_M_037,test,4,1,X21.CMN.CMN_M_037.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_037,shoes,,his shoes were very dirty,,1,0
X21,X21.643313ae83f041d62efb0f54570821ac,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_032, X21.CMN.CMN_M_035, X21.CMN.CMN_M_043",X21.CMN.CMN_M_037,test,4,2,X21.CMN.CMN_M_037.HT1_S004.Wwere,word,CMN,X21.CMN.CMN_M_037,were,,his shoes were very dirty,,1,0
X21,X21.643313ae83f041d62efb0f54570821ac,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_032, X21.CMN.CMN_M_035, X21.CMN.CMN_M_043",X21.CMN.CMN_M_037,test,4,3,X21.CMN.CMN_M_037.HT1_S004.Wvery,word,CMN,X21.CMN.CMN_M_037,very,,his shoes were very dirty,,1,0
X21,X21.643313ae83f041d62efb0f54570821ac,X21.Multi_talker,Multi-talker,single,multi,within-accent,cross-talker,CMN,CMN,"X21.CMN.CMN_M_016, X21.CMN.CMN_M_021, X21.CMN.CMN_M_032, X21.CMN.CMN_M_035, X21.CMN.CMN_M_043",X21.CMN.CMN_M_037,test,4,4,X21.CMN.CMN_M_037.HT1_S004.Wdirty,word,CMN,X21.CMN.CMN_M_037,dirty,,his shoes were very dirty,,1,0
X21,X21.9ed81ed8f97a93609ba9cf98a39bd8bf,X21.Single_talker,Single talker,single,single,within-accent,cross-talker,CMN,CMN,X21.CMN.CMN_M_016,X21.CMN.CMN_M_032,test,3,1,X21.CMN.CMN_M_032.HT1_S004.Wshoes,word,CMN,X21.CMN.CMN_M_032,shoes,,were very dirty,,0,1
