dataset_id,variant,layer,talker_a_id,talker_b_id,n_matched_items,mean_raw_distance,item_scope,tau,dtw_normalization
AN19,base,tr_24,AN19.ENG.ef3,AN19.ENG.ef1,138,14.966557958527316,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.ENG.em1,138,14.642748190504232,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.em1,AN19.ENG.ef1,138,14.642748190504232,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.ENG.em2,138,12.491075023456853,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.em2,AN19.ENG.ef1,138,12.491075023456853,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.ENG.em3,138,15.175980201463616,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.em3,AN19.ENG.ef1,138,15.175980201463616,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.KOR.kf1,138,17.297144578718207,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf1,AN19.ENG.ef1,138,17.297144578718207,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.KOR.kf2,138,15.670377181047543,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf2,AN19.ENG.ef1,138,15.670377181047543,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.KOR.kf3,138,16.89806548282524,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf3,AN19.ENG.ef1,138,16.89806548282524,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.KOR.kf4,138,15.61298646797575,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf4,AN19.ENG.ef1,138,15.61298646797575,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.KOR.kf5,138,16.41744593804344,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf5,AN19.ENG.ef1,138,16.41744593804344,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.KOR.kf6,138,15.501899346879927,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.kf6,AN19.ENG.ef1,138,15.501899346879927,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.KOR.km1,138,17.020398435050524,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km1,AN19.ENG.ef1,138,17.020398435050524,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.KOR.km2,138,13.375906353472963,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km2,AN19.ENG.ef1,138,13.375906353472963,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.KOR.km3,138,16.311495469857014,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km3,AN19.ENG.ef1,138,16.311495469857014,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.KOR.km6,138,18.128746700704035,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km6,AN19.ENG.ef1,138,18.128746700704035,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.KOR.km7,138,14.194402840636364,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km7,AN19.ENG.ef1,138,14.194402840636364,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.KOR.km8,138,15.1986106086153,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.KOR.km8,AN19.ENG.ef1,138,15.1986106086153,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.MIX.if1,138,16.822386734577208,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.if1,AN19.ENG.ef1,138,16.822386734577208,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.MIX.if2,138,14.57105823232283,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.if2,AN19.ENG.ef1,138,14.57105823232283,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.MIX.if3,138,16.049497169101166,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.if3,AN19.ENG.ef1,138,16.049497169101166,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.MIX.if4,138,16.191428100162174,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.if4,AN19.ENG.ef1,138,16.191428100162174,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.MIX.if5,138,19.972764569242894,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.if5,AN19.ENG.ef1,138,19.972764569242894,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.MIX.if6,138,14.897287685819183,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.if6,AN19.ENG.ef1,138,14.897287685819183,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.MIX.im1,138,16.97110146745606,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.im1,AN19.ENG.ef1,138,16.97110146745606,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.MIX.im2,138,14.311732782384848,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.MIX.im2,AN19.ENG.ef1,138,14.311732782384848,138 globally common words,2.0,mean_sequence_length
AN19,base,tr_24,AN19.ENG.ef1,AN19.MIX.im3,138,14.54075512858871,138 globally common words,2.0,mean_sequence_length
