dataset_id,family,variant,feature_key,estimate,std_error,z_value,p_value,conf_low,conf_high,coefficient_q_bh,chisq,df,lrt_p_value,M_condition,M_joint,M_predictor,oof_gain_joint_vs_condition,model_directory,diagnostics_valid,numerically_valid,numerical_note,transform
AN19,HuBERT t-SNE,base,tr_18,0.366088549251115,0.102641815096087,3.56666090626326,0.0003615588408843,0.164910591662785,0.567266506839445,0.0010846765226529,11.9104021055036,1.0,0.0005582134917447,0.684884596737085,0.636844639448748,0.643339832488041,0.04803995728833699,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_base_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,base,tr_2,0.0781914422696404,0.124307835584514,0.629014590286866,0.529339504318176,-0.165451915476008,0.321834800015288,0.6352074051818112,0.38251718931042,1.0,0.536259148540024,0.684897510781729,0.684516814066177,0.691376848052007,0.0003806967155519647,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_base_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,base,tr_20,0.466424757812532,0.108635555857295,4.29348157821581,1.75892915058759e-05,0.253499068332234,0.679350447292831,0.0001583036235528831,17.0752636816278,1.0,3.59272216724295e-05,0.684831087970661,0.619615349404465,0.624993060791796,0.06521573856619589,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_base_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,base,tr_22,0.331273388836148,0.10530548539344,3.14583221945612,0.0016561498332773,0.124874637465007,0.53767214020729,0.0034417389003274,9.26021133747145,1.0,0.0023418599623346,0.684884596737085,0.640298350155548,0.643095816894817,0.04458624658153698,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_base_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,base,tr_24,0.344231032725253,0.0984891016876353,3.49511800622372,0.0004738522010679,0.151192393417488,0.537269672033019,0.0012184770884603143,11.4440846179159,1.0,0.0007172195657804,0.684884596737085,0.632902042271778,0.63847624791349,0.051982554465306974,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_base_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,base,tr_4,0.102087503069272,0.131565539920586,0.775944089393718,0.437781998701625,-0.155780955175077,0.359955961313621,0.6061596905099423,0.574633171468122,1.0,0.448423668922934,0.684897510781729,0.683453098820502,0.689858814931922,0.0014444119612270212,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_base_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,base,tr_6,0.319027043076817,0.125372615562985,2.54463099173794,0.0109393272823161,0.0732967165733668,0.564757369580267,0.01969078910816898,6.06418673582721,1.0,0.0137950262553379,0.684897510781729,0.665888880873191,0.670467249271667,0.01900862990853802,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_base_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,base,tr_8,0.350429446997639,0.111793891958153,3.13460280217109,0.0017208694501637,0.131313418759659,0.56954547523562,0.0034417389003274,9.04053691833633,1.0,0.002640580752616,0.684884596737085,0.645599419172214,0.652002117613992,0.03928517756487104,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_base_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,cnn_2,0.121005839775995,0.0984966182479448,1.22852786144787,0.219248877011557,-0.0720475319899765,0.314059211541967,0.3288733155173355,1.43310607005787,1.0,0.231258194390602,0.684897510781729,0.670796938562052,0.674095952981495,0.014100572219676977,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,cnn_3,0.142011545814562,0.102397820181949,1.38686102460212,0.165484144566624,-0.0586881817420584,0.342711273371183,0.27079223656356655,1.81460021511157,1.0,0.177957374663782,0.684897510781729,0.674694023618746,0.678279438695124,0.010203487162983027,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,cnn_4,0.0713901077600399,0.101633093910364,0.702429740287181,0.482411203686431,-0.127810756304274,0.270590971824354,0.6202429761682684,0.480282594478922,1.0,0.488294340821613,0.684897510781729,0.683022737204078,0.688943323082446,0.0018747735776509789,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,cnn_5,0.0409493548419445,0.102299177967588,0.400290165136212,0.688942810873743,-0.159557033974528,0.241455743658417,0.7294688585721985,0.162623886218171,1.0,0.686752168551956,0.684897510781729,0.685537055577648,0.69307932336585,-0.0006395447959189893,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,cnn_6,-0.0430075756272215,0.105343151863956,-0.408261712947066,0.683081545036197,-0.249480153280575,0.163465002026132,0.7294688585721985,0.149919377644437,1.0,0.69861241581046,0.684897510781729,0.685547302865083,0.691923939483188,-0.0006497920833540283,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,tr_0,0.0686005319793677,0.123914867769849,0.553610177809992,0.57984565907568,-0.174272608849536,0.311473672808272,0.695814790890816,0.299230057868044,1.0,0.584365508367358,0.684897510781729,0.684503822931066,0.69191939645003,0.0003936878506629604,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,tr_10,0.37246797230328,0.116617563286179,3.19392689923767,0.0014035165226525,0.143897548262368,0.601038396344191,0.009817432435251,9.41149138906349,1.0,0.0021562976955753,0.684884596737085,0.631497990001816,0.636032774020209,0.05338660673526907,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,tr_12,0.235690958664745,0.118137621264088,1.99505421002066,0.0460369677243963,0.0041412209871321,0.467240696342359,0.10358317737989167,3.72470156936924,1.0,0.0536132077190272,0.684897510781729,0.648386556044226,0.650116678146071,0.03651095473750299,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,tr_14,0.259906027340994,0.114922360469389,2.26157926342126,0.0237234103936793,0.0346582008209913,0.485153853860997,0.061003055298032495,4.77025169672834,1.0,0.0289555921594045,0.684884596737085,0.64245013268,0.643694264875441,0.042434464057085064,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,tr_16,0.287465035539285,0.113447345650481,2.53390710810399,0.0112798629075168,0.0651082380643416,0.509821833014228,0.040607506467060475,5.95737935357374,1.0,0.0146558097278692,0.684884596737085,0.643003377556753,0.643925191598029,0.04188121918033205,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,tr_18,0.260919969421801,0.108504305753662,2.40469691602995,0.0161858834275515,0.0482515301446243,0.473588408698977,0.0485576502826545,5.395212164035,1.0,0.0201920704610376,0.684884596737085,0.649440127713903,0.651076232118015,0.03544446902318199,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,tr_2,0.0265175963567033,0.128373977720003,0.206565199798832,0.836349440596027,-0.225095399974503,0.27813059268791,0.836349440596027,0.0501361498745609,1.0,0.822826532024236,0.684897510781729,0.684031605015704,0.690466123110881,0.0008659057660249658,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,tr_20,0.318836382635431,0.113770369163355,2.80245537550852,0.0050715232015289,0.0958464590752564,0.541826306195606,0.02282185440688005,7.27739312148151,1.0,0.0069827800046176,0.684897510781729,0.640444992178656,0.643053854900968,0.04445251860307298,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,tr_22,0.113628640929647,0.110223829321659,1.03088997750252,0.302592417119097,-0.102410064540805,0.329667346400099,0.41897411601105744,1.0134596879052,1.0,0.314075429166303,0.684884596737085,0.66582748054216,0.669234240390397,0.019057116194925006,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,tr_24,0.175650408501686,0.109252667638848,1.60774480200636,0.107891081973624,-0.0384848200704558,0.389785637073827,0.19420394755252318,2.43985634777346,1.0,0.118287057728837,0.684884596737085,0.657504731953638,0.6605240777301,0.027379864783447005,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,tr_4,0.241422275888486,0.124574210998681,1.93797957019405,0.0526257150800851,-0.002743177668928,0.4855877294459,0.1052514301601702,3.54089157339331,1.0,0.0598732697618553,0.684897510781729,0.681371744346354,0.688296867716436,0.003525766435375055,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,tr_6,0.3768816200548,0.118226198314698,3.18780122703096,0.0014335904936103,0.145158271357992,0.608604968751608,0.009817432435251,9.42166217820977,1.0,0.0021443705888294,0.684897510781729,0.646955193539709,0.653635922572753,0.03794231724202002,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
AN19,HuBERT t-SNE,ft,tr_8,0.361061789459602,0.114645783498132,3.14936824052919,0.0016362387392085,0.136356053803264,0.585767525115941,0.009817432435251,9.16909245836723,1.0,0.0024613659789336,0.684897510781729,0.635959595091486,0.642710807571534,0.04893791569024297,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
X21,HuBERT t-SNE,base,cnn_2,0.131450008722807,0.085165967241029,1.54345700496524,0.122719931696857,-0.0354752870696101,0.298375304515224,0.27611984631792824,2.24069199090081,1.0,0.134420811814076,0.48721765133721,0.485184178725487,0.486272514558305,0.002033472611722986,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\X21-X21_hubert_base_tsne-confirmatory,True,True,ok,Primary: standardized negative DTW distance
