tau,objective,best_k,best_score,linear_limit_score,improvement_over_limit,mean_distance,sd_distance,zero_distance_rows,best_k_times_mean_distance
0.5,z,0.0060341763365451,4.14774602569034,4.11376069824777,0.03398532744257032,36.529435369848436,21.416729508113114,0,0.22042505449609304
0.625,z,0.008672488792828,4.14288898496693,4.10579755338726,0.03709143157966999,24.359144142466,14.228926272428316,0,0.2112544045784182
0.75,z,0.0124643460295013,4.13082752872512,4.09046525868389,0.04036227004122939,18.754993412225318,10.918324886038747,0,0.2337687276709937
0.875,z,0.0179141104306328,4.11216144194064,4.06903271419902,0.04312872774162013,15.65796821823408,9.079257919088764,0,0.280498571780784
1.0,z,0.0179141104306328,4.09271884612092,4.047607421582,0.04511142453891992,13.740064728404874,7.93724711715607,0,0.2461410368686876
1.125,z,0.0257466658709044,4.07639681609789,4.02850158373978,0.04789523235810922,12.459001339924962,7.17496799128299,0,0.32077774458419817
1.25,z,0.0257466658709044,4.06379128197084,4.01222072234486,0.05157055962598012,11.554497769739164,6.637187135758285,0,0.29748979338358433
1.375,z,0.0257466658709044,4.04939122441077,3.99486256377981,0.05452866063096007,10.88860036296739,6.241833859404334,0,0.2803451553471297
1.5,z,0.0370038359445673,4.03948727544968,3.98040585502625,0.05908142042343023,10.382329027076056,5.941665007484284,0,0.38418600004044134
1.625,z,0.0370038359445673,4.03088986384833,3.96768191117114,0.06320795267718982,9.987277632395086,5.707623156137055,0,0.3695675830419943
1.75,z,0.0370038359445673,4.02279838840219,3.95649968516027,0.06629870324192044,9.672575584449474,5.521467804469356,0,0.3579224000883955
1.875,z,0.0370038359445673,4.01487617979999,3.94606156686853,0.06881461293145996,9.41739369962803,5.370784572444247,0,0.3484796914864373
2.0,z,0.05,4.0090148991112,3.93734050114309,0.07167439796811026,9.207568360228,5.2471096966986055,0,0.46037841801140006
2.125,z,0.05,4.00496328453905,3.92996436365731,0.0749989208817401,9.032799816474462,5.144377934669209,0,0.45163999082372314
2.25,z,0.05,4.0015047397452,3.92355827553264,0.0779464642125598,8.88551561349236,5.057968086433962,0,0.44427578067461804
2.375,z,0.05,3.99837555669145,3.91787231388813,0.08050324280331989,8.760174600280363,4.984618286720573,0,0.4380087300140182
2.5,z,0.0531829589694498,3.99497794550245,3.91222680893481,0.08275113656764033,8.652580958451084,4.92183750530407,0,0.46016985809314664
2.625,z,0.0531829589694498,3.99196596673487,3.90713261990691,0.08483334682795984,8.559495629726513,4.867569659235372,0,0.45521930487493
2.75,z,0.0531829589694498,3.9891146984564,3.90251000788191,0.08660469057448994,8.478432604362125,4.820340132355649,0,0.4509081333230363
2.875,z,0.0531829589694498,3.98636034766922,3.89820692172091,0.0881534259483101,8.407416576641424,4.779004153732217,0,0.44713129083459296
3.0,z,0.0531829589694498,3.98356378484858,3.89387034914962,0.08969343569896004,8.344870546314745,4.742657147216686,0,0.4438049078700272
3.125,z,0.0531829589694498,3.98065085362486,3.88931133853663,0.0913395150882299,8.289457921432822,4.710490880860132,0,0.44085790051454243
3.25,z,0.0531829589694498,3.97791084787196,3.88497173312823,0.09293911474372996,8.240151898458915,4.681927177092509,0,0.4382356603177744
3.375,z,0.0531829589694498,3.97528084920392,3.8809105046865,0.09437034451742043,8.196097588810794,4.656461815375074,0,0.4358927217753309
3.5,z,0.0531829589694498,3.97283151694347,3.87706789367387,0.0957636232696002,8.156596159208348,4.633692869271688,0,0.4337919188655494
3.625,z,0.0531829589694498,3.97035641382717,3.87330055902411,0.09705585480306,8.121009397170068,4.61321278983619,0,0.431899309560212
3.75,z,0.0531829589694498,3.96799243834237,3.86968516787879,0.09830727046358012,8.088843253473891,4.594708444286847,0,0.4301886188598128
3.875,z,0.0531829589694498,3.96593164489964,3.86642833262361,0.09950331227602982,8.05966845220693,4.577957063371919,0,0.42863701660109016
4.0,z,0.0531829589694498,3.964190755667,3.86364873882834,0.10054201683866015,8.033114593696757,4.562719515314509,0,0.427224803833463
0.5,log_likelihood,0.0060341763365451,-3161.87979942612,-3161.99369237696,0.11389295084018158,36.529435369848436,21.416729508113114,0,0.22042505449609304
0.625,log_likelihood,0.008672488792828,-3161.8996347584,-3162.02466877698,0.12503401857975405,24.359144142466,14.228926272428316,0,0.2112544045784182
0.75,log_likelihood,0.0124643460295013,-3161.94799938352,-3162.08565146262,0.13765207910000754,18.754993412225318,10.918324886038747,0,0.2337687276709937
0.875,log_likelihood,0.0179141104306328,-3162.02146823667,-3162.17138825799,0.14992002132021298,15.65796821823408,9.079257919088764,0,0.280498571780784
1.0,log_likelihood,0.0179141104306328,-3162.09699209084,-3162.25634267267,0.15935058183004003,13.740064728404874,7.93724711715607,0,0.2461410368686876
1.125,log_likelihood,0.0257466658709044,-3162.15947904242,-3162.33190686709,0.1724278246697395,12.459001339924962,7.17496799128299,0,0.32077774458419817
1.25,log_likelihood,0.0257466658709044,-3162.20866696373,-3162.39629811787,0.1876311541400355,11.554497769739164,6.637187135758285,0,0.29748979338358433
1.375,log_likelihood,0.0370038359445673,-3162.26332747012,-3162.46407628216,0.2007488120398193,10.88860036296739,6.241833859404334,0,0.4029199814972012
1.5,log_likelihood,0.0370038359445673,-3162.29863113381,-3162.52047100671,0.221839872900091,10.382329027076056,5.941665007484284,0,0.38418600004044134
1.625,log_likelihood,0.0370038359445673,-3162.33197662794,-3162.57015027873,0.2381736507900314,9.987277632395086,5.707623156137055,0,0.3695675830419943
1.75,log_likelihood,0.0370038359445673,-3162.36319846654,-3162.61362259929,0.2504241327501404,9.672575584449474,5.521467804469356,0,0.3579224000883955
1.875,log_likelihood,0.05,-3162.39123376514,-3162.65405807855,0.2628243134099648,9.41739369962803,5.370784572444247,0,0.4708696849814016
2.0,log_likelihood,0.05,-3162.41010387277,-3162.68797450982,0.27787063705000037,9.207568360228,5.2471096966986055,0,0.46037841801140006
2.125,log_likelihood,0.05,-3162.42582732554,-3162.71669134124,0.29086401570020826,9.032799816474462,5.144377934669209,0,0.45163999082372314
2.25,log_likelihood,0.05,-3162.43931799844,-3162.74165592562,0.3023379271799058,8.88551561349236,5.057968086433962,0,0.44427578067461804
2.375,log_likelihood,0.0531829589694498,-3162.45069485093,-3162.76367639028,0.31298153934994843,8.760174600280363,4.984618286720573,0,0.46589200633192684
2.5,log_likelihood,0.0531829589694498,-3162.46289083421,-3162.78535528687,0.32246445265991497,8.652580958451084,4.92183750530407,0,0.46016985809314664
2.625,log_likelihood,0.0531829589694498,-3162.47439739536,-3162.80495337903,0.33055598366991035,8.559495629726513,4.867569659235372,0,0.45521930487493
