interval_id,recording_id,speaker_id,comparison_word,canonical_sequence,canonical_position,canonical_phone,audio_sha256
AN19-rec-019e8787df74ad3e5a1f:phone:2,AN19-rec-019e8787df74ad3e5a1f,AN19.ENG.em1,thought,th ao t,1,ao,e7f5ec1d3cdd0e8f328429caa5bca7d74db0cb7db78b60f12d6362a57ec79494
AN19-rec-019e8787df74ad3e5a1f:phone:3,AN19-rec-019e8787df74ad3e5a1f,AN19.ENG.em1,thought,th ao t,2,t,e7f5ec1d3cdd0e8f328429caa5bca7d74db0cb7db78b60f12d6362a57ec79494
AN19-rec-01b7c675e829ee250c1b:phone:1,AN19-rec-01b7c675e829ee250c1b,AN19.ENG.ef3,jack,jh ae k,0,jh,1366cd9346a52c1ebaf90cde374aa0cdb66c59d182b61e2c4e46e1b6c3918578
AN19-rec-01b7c675e829ee250c1b:phone:3,AN19-rec-01b7c675e829ee250c1b,AN19.ENG.ef3,jack,jh ae k,2,k,1366cd9346a52c1ebaf90cde374aa0cdb66c59d182b61e2c4e46e1b6c3918578
AN19-rec-0223169bbc8ef9b45e35:phone:1,AN19-rec-0223169bbc8ef9b45e35,AN19.ENG.em1,mitt,m ih t,0,m,9d3b3c8aa327615609ff6d477791ff7797609e7311032b12555e5f3956ebb682
AN19-rec-0223169bbc8ef9b45e35:phone:2,AN19-rec-0223169bbc8ef9b45e35,AN19.ENG.em1,mitt,m ih t,1,ih,9d3b3c8aa327615609ff6d477791ff7797609e7311032b12555e5f3956ebb682
AN19-rec-0223169bbc8ef9b45e35:phone:3,AN19-rec-0223169bbc8ef9b45e35,AN19.ENG.em1,mitt,m ih t,2,t,9d3b3c8aa327615609ff6d477791ff7797609e7311032b12555e5f3956ebb682
AN19-rec-0290283a62b7c221e526:phone:1,AN19-rec-0290283a62b7c221e526,AN19.ENG.ef1,curve,k er v,0,k,e159ee4547aaf91ae4aab4672394aadfc9d2807fbf222228a12b9c7fec882177
AN19-rec-0290283a62b7c221e526:phone:3,AN19-rec-0290283a62b7c221e526,AN19.ENG.ef1,curve,k er v,2,v,e159ee4547aaf91ae4aab4672394aadfc9d2807fbf222228a12b9c7fec882177
AN19-rec-02f284ba84e511560d67:phone:1,AN19-rec-02f284ba84e511560d67,AN19.ENG.ef2,hash,hh ae sh,0,hh,1470ac4c56df4734fe6e76416eeb450b1f379daef45ef7f5d421d0fa063a80f1
AN19-rec-02f284ba84e511560d67:phone:2,AN19-rec-02f284ba84e511560d67,AN19.ENG.ef2,hash,hh ae sh,1,ae,1470ac4c56df4734fe6e76416eeb450b1f379daef45ef7f5d421d0fa063a80f1
AN19-rec-02f284ba84e511560d67:phone:3,AN19-rec-02f284ba84e511560d67,AN19.ENG.ef2,hash,hh ae sh,2,sh,1470ac4c56df4734fe6e76416eeb450b1f379daef45ef7f5d421d0fa063a80f1
AN19-rec-0330eb6f756f49d60642:phone:1,AN19-rec-0330eb6f756f49d60642,AN19.ENG.ef1,hag,hh ae g,0,hh,0e917c90799c1d8304e27dc72e3ef74ddd95a4b78ac36cfab2841e310379360d
AN19-rec-0330eb6f756f49d60642:phone:2,AN19-rec-0330eb6f756f49d60642,AN19.ENG.ef1,hag,hh ae g,1,ae,0e917c90799c1d8304e27dc72e3ef74ddd95a4b78ac36cfab2841e310379360d
AN19-rec-0330eb6f756f49d60642:phone:3,AN19-rec-0330eb6f756f49d60642,AN19.ENG.ef1,hag,hh ae g,2,g,0e917c90799c1d8304e27dc72e3ef74ddd95a4b78ac36cfab2841e310379360d
AN19-rec-0391775bd0e215b72a90:phone:1,AN19-rec-0391775bd0e215b72a90,AN19.ENG.ef2,con,k aa n,0,k,c748b1c033dcce8562399dd5eb907d18c5f021cce69e3dc63fd6822a1d2764d1
AN19-rec-0391775bd0e215b72a90:phone:2,AN19-rec-0391775bd0e215b72a90,AN19.ENG.ef2,con,k aa n,1,aa,c748b1c033dcce8562399dd5eb907d18c5f021cce69e3dc63fd6822a1d2764d1
AN19-rec-0391775bd0e215b72a90:phone:3,AN19-rec-0391775bd0e215b72a90,AN19.ENG.ef2,con,k aa n,2,n,c748b1c033dcce8562399dd5eb907d18c5f021cce69e3dc63fd6822a1d2764d1
AN19-rec-0432373a614f238fca70:phone:1,AN19-rec-0432373a614f238fca70,AN19.ENG.em2,ten,t eh n,0,t,d77b5f880a6c27a683497588128c48df64bf62bda43a807ca121022fb1ff24f7
AN19-rec-0432373a614f238fca70:phone:3,AN19-rec-0432373a614f238fca70,AN19.ENG.em2,ten,t eh n,2,n,d77b5f880a6c27a683497588128c48df64bf62bda43a807ca121022fb1ff24f7
AN19-rec-04c40b2f2ab5ca727ef5:phone:1,AN19-rec-04c40b2f2ab5ca727ef5,AN19.ENG.ef3,comb,k ow m,0,k,b658e3056e17de3f56264b2d80bd64a201487ca7ecf4a507dbf0bc85f97f1fe5
AN19-rec-04c40b2f2ab5ca727ef5:phone:3,AN19-rec-04c40b2f2ab5ca727ef5,AN19.ENG.ef3,comb,k ow m,2,m,b658e3056e17de3f56264b2d80bd64a201487ca7ecf4a507dbf0bc85f97f1fe5
AN19-rec-04f592fd70b2be2cef15:phone:1,AN19-rec-04f592fd70b2be2cef15,AN19.ENG.ef3,fin,f ih n,0,f,ecb992ac557ca6c639cce4ab104cc58933a225ce96e6bcf5bcf5d2fa6ca3469b
AN19-rec-04f592fd70b2be2cef15:phone:2,AN19-rec-04f592fd70b2be2cef15,AN19.ENG.ef3,fin,f ih n,1,ih,ecb992ac557ca6c639cce4ab104cc58933a225ce96e6bcf5bcf5d2fa6ca3469b
AN19-rec-04f592fd70b2be2cef15:phone:3,AN19-rec-04f592fd70b2be2cef15,AN19.ENG.ef3,fin,f ih n,2,n,ecb992ac557ca6c639cce4ab104cc58933a225ce96e6bcf5bcf5d2fa6ca3469b
