dataset_id,model_variant,representation,layer,measure,estimand,fold,type,tau,predictor_scaling,training_predictor_mean,training_predictor_sd,z_train,z_test,estimate_train,std_error_train,p_value_train,estimate_test,std_error_test,p_value_test,poll_train,poll_test,optimism,n_train_rows,n_test_rows,n_train_trials,n_test_trials
X21,base,hubert_tsne_3d,cnn_2,mean_dissimilarity_sentence,actual_heard_presentation_weighted_exposure_variability,2,corrected_tau2,2,raw_predictor_as_notebook,0,1,-6.83007385176781,-3.51940101308366,-0.0205459942753215,0.0030081657565098,8.48709296617368e-12,-0.0152488299818928,0.0043327912690835,0.0004325224038164,-0.300524907352861,-0.294438950744936,-0.0202510888749019,4996,2422,10970,5507
X21,base,hubert_tsne_3d,cnn_2,mean_dissimilarity_sentence,actual_heard_presentation_weighted_exposure_variability,3,corrected_tau2,2,raw_predictor_as_notebook,0,1,-5.46935399162603,-5.22650088983558,-0.0165641217972696,0.003028533501878,4.51678833535645e-08,-0.0223131714215813,0.0042692370846,1.72747988310325e-07,-0.296126329461393,-0.302296120030543,0.0208349949171093,4893,2525,11018,5459
X21,base,hubert_tsne_3d,cnn_2,mean_dissimilarity_word,actual_heard_presentation_weighted_exposure_variability,1,corrected_tau2,2,raw_predictor_as_notebook,0,1,-6.27684828676181,-4.54835244736181,-0.0196985236891813,0.0031382825885287,3.45504913808138e-10,-0.0196297788720625,0.0043157998636293,5.40675317440717e-06,-0.29389576947077,-0.307381985983413,0.0458877531205284,4947,2471,10966,5511
X21,base,hubert_tsne_3d,cnn_2,mean_dissimilarity_word,actual_heard_presentation_weighted_exposure_variability,2,corrected_tau2,2,raw_predictor_as_notebook,0,1,-6.91435019564811,-3.58835974092585,-0.0213672954697306,0.003090282508858,4.7001278812431595e-12,-0.0159880749735713,0.0044555384988925,0.0003327649317223,-0.300471481416537,-0.294394914420798,-0.0202234400652345,4996,2422,10970,5507
X21,base,hubert_tsne_3d,cnn_2,mean_dissimilarity_word,actual_heard_presentation_weighted_exposure_variability,3,corrected_tau2,2,raw_predictor_as_notebook,0,1,-5.61479520751245,-5.20818143805869,-0.0174573200211854,0.0031091641593317,1.96795181238735e-08,-0.0228984599397474,0.004396632531351,1.90700406971549e-07,-0.296053201633611,-0.302312789870178,0.0211434573314083,4893,2525,11018,5459
X21,base,hubert_tsne_3d,cnn_2,order_phoneme,actual_heard_presentation_weighted_exposure_variability,1,corrected_tau2,2,raw_predictor_as_notebook,0,1,-5.66809312656629,0.416606086733991,-0.0045784427769331,0.0008077571547782,1.44395482280068e-08,0.0004784346032644,0.0011484100172783,0.676966556511337,-0.294125588913144,-0.309210598346254,0.0512876471878972,4947,2471,10966,5511
X21,base,hubert_tsne_3d,cnn_2,order_phoneme,actual_heard_presentation_weighted_exposure_variability,2,corrected_tau2,2,raw_predictor_as_notebook,0,1,-2.38681326956372,-4.54908378042937,-0.0018890316778502,0.000791445104625,0.016995121005609,-0.0053332719451452,0.0011723837595802,5.38799902341672e-06,-0.302354927203065,-0.293637146490567,-0.0288329374789476,4996,2422,10970,5507
X21,base,hubert_tsne_3d,cnn_2,order_phoneme,actual_heard_presentation_weighted_exposure_variability,3,corrected_tau2,2,raw_predictor_as_notebook,0,1,-2.73894997522925,-3.54060163620983,-0.002239011048906,0.0008174705887859,0.006163575100528,-0.0039256381223363,0.0011087488866831,0.0003992158413937,-0.297106100347697,-0.303604669494572,0.0218728903219099,4893,2525,11018,5459
X21,base,hubert_tsne_3d,cnn_2,order_sentence,actual_heard_presentation_weighted_exposure_variability,1,corrected_tau2,2,raw_predictor_as_notebook,0,1,-6.15548434222131,0.299107862269253,-0.0053916274974795,0.0008759062971694,7.48483910248747e-10,0.0003793053742565,0.0012681223802638,0.764857747525453,-0.293856999699107,-0.309218030976686,0.0522738314666923,4947,2471,10966,5511
X21,base,hubert_tsne_3d,cnn_2,order_sentence,actual_heard_presentation_weighted_exposure_variability,2,corrected_tau2,2,raw_predictor_as_notebook,0,1,-2.86059328995486,-4.90450579199791,-0.0024762593278789,0.0008656453668455,0.004228491250187,-0.006250154484551,0.0012743698854935,9.36628580155268e-07,-0.302261980294213,-0.293339845996106,-0.0295178847482673,4996,2422,10970,5507
