"dataset_id","feature_key","held_out_fold","n_training_rows","n_held_out_rows","training_mean","training_sd"
"B23","tr_20",0,6720,3360,2.84027951246128,2.15922719431791
"B23","tr_20",1,6720,3360,2.84105596165505,2.16420735509722
"B23","tr_20",2,6720,3360,2.84340902202809,2.17932751045481
