"dataset_id","feature_key","model_id","formula","optimizer","random_structure","structure_reason","n_rows","total_trials","fit_ok","singular","convergence","warnings","error","log_likelihood","deviance","AIC","n_observations"
"AN19","tr_10","M_condition","cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)","bobyqa","participant_item_talker_intercepts","primary registered structure accepted",5685,5685,TRUE,FALSE,"ok","",,-2154.24972969189,3513.80715542069,4330.49945938377,5685
"AN19","tr_10","M_predictor","cbind(response_correct, response_incorrect) ~ similarity_z + outer_fold + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)","bobyqa","participant_item_talker_intercepts","primary registered structure accepted",5685,5685,TRUE,FALSE,"ok","",,-2157.87522302394,3519.61533496956,4329.75044604787,5685
"AN19","tr_10","M_joint","cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + outer_fold + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)","bobyqa","participant_item_talker_intercepts","primary registered structure accepted",5685,5685,TRUE,FALSE,"ok","",,-2149.56196100187,3525.52680370396,4323.12392200375,5685
