"dataset_id","feature_key","model_id","formula","optimizer","random_structure","structure_reason","n_rows","total_trials","fit_ok","singular","convergence","warnings","error","log_likelihood","deviance","AIC","n_observations"
"X21","cnn_6::order_word","M_condition","cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)","bobyqa","participant_item_intercepts_with_fixed_talker_block","primary registered structure accepted",16477,16477,TRUE,FALSE,"ok","",,-5484.31138836264,9033.75786082986,10990.6227767253,16477
"X21","cnn_6::order_word","M_predictor","cbind(response_correct, response_incorrect) ~ variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)","bobyqa","participant_item_intercepts_with_fixed_talker_block","primary registered structure accepted",16477,16477,TRUE,FALSE,"ok","",,-5487.94646614599,9032.78387658981,10993.892932292,16477
"X21","cnn_6::order_word","M_joint","cbind(response_correct, response_incorrect) ~ condition_id + variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)","bobyqa","participant_item_intercepts_with_fixed_talker_block","primary registered structure accepted",16477,16477,TRUE,FALSE,"ok","",,-5482.44223930174,9033.66670682151,10988.8844786035,16477
