"dataset_id","feature_key","model_id","formula","optimizer","random_structure","structure_reason","n_rows","total_trials","fit_ok","singular","convergence","warnings","error","log_likelihood","deviance","AIC","n_observations"
"B23","tr_4::between_type_sentence","M_condition","cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)","bobyqa","participant_item_intercepts_with_fixed_talker_block","primary registered structure accepted",10080,54096,TRUE,FALSE,"ok","",,-14865.8376770695,19186.7283829847,29761.6753541391,10080
"B23","tr_4::between_type_sentence","M_predictor","cbind(response_correct, response_incorrect) ~ variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)","bobyqa","participant_item_intercepts_with_fixed_talker_block","primary registered structure accepted",10080,54096,TRUE,FALSE,"ok","",,-14866.0427084438,19186.6983916548,29750.0854168875,10080
"B23","tr_4::between_type_sentence","M_joint","cbind(response_correct, response_incorrect) ~ condition_id + variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)","bobyqa","participant_item_intercepts_with_fixed_talker_block","primary registered structure accepted",10080,54096,TRUE,FALSE,"ok","",,-14862.7868087754,19187.0097723801,29757.5736175507,10080
