dataset_id,feature_key,condition_id,comparison,gain,ci_low,ci_high
AN19,mfcc_c0,AN19.Korean.test_Korean,predictor_only,0.00935997339578192,0.005730486193813189,0.012916022471376055
AN19,mfcc_c0,AN19.Korean.test_Korean,predictor_beyond_condition,0.011351374462189008,0.007639496617621407,0.01509150426442594
AN19,mfcc_c0,AN19.Korean.test_Spanish,predictor_only,0.021805734789030338,0.014913511351026218,0.029012227227592457
AN19,mfcc_c0,AN19.Korean.test_Spanish,predictor_beyond_condition,0.028614553279547723,0.02493910325252307,0.032276960817725645
AN19,mfcc_c0,AN19.Mixed.test_Korean,predictor_only,0.009380673527806027,0.0054257269485401055,0.013217216469724352
AN19,mfcc_c0,AN19.Mixed.test_Korean,predictor_beyond_condition,0.013727586496403045,0.008073122776863867,0.018632500588421745
AN19,mfcc_c0,AN19.Mixed.test_Spanish,predictor_only,0.02965391868647078,0.023726753400893114,0.035700797448471586
AN19,mfcc_c0,AN19.Mixed.test_Spanish,predictor_beyond_condition,0.02799071205762369,0.02273232950966533,0.03346792452787004
AN19,mfcc_c0,AN19.Spanish.test_Korean,predictor_only,0.011045336757845513,0.0048479122772462765,0.01711995550515733
AN19,mfcc_c0,AN19.Spanish.test_Korean,predictor_beyond_condition,0.01347439456865423,0.006789764891946683,0.01999533649012623
AN19,mfcc_c0,AN19.Spanish.test_Spanish,predictor_only,0.031814891877273814,0.027560537854739053,0.036233637704921995
AN19,mfcc_c0,AN19.Spanish.test_Spanish,predictor_beyond_condition,0.03866373558962905,0.03517914517796856,0.042438905704512475
AN19,mfcc_delta13,AN19.Korean.test_Korean,predictor_only,0.04067720425179684,0.03448644974462355,0.04646861730180409
AN19,mfcc_delta13,AN19.Korean.test_Korean,predictor_beyond_condition,0.045945653993720345,0.038820306756125265,0.05244971407558394
AN19,mfcc_delta13,AN19.Korean.test_Spanish,predictor_only,0.0517568497764622,0.03995095789705102,0.06547643481226084
AN19,mfcc_delta13,AN19.Korean.test_Spanish,predictor_beyond_condition,0.05241248364015676,0.042224031820823814,0.06344687010119078
AN19,mfcc_delta13,AN19.Mixed.test_Korean,predictor_only,0.04351829685561487,0.03409665276069122,0.05321105403243729
AN19,mfcc_delta13,AN19.Mixed.test_Korean,predictor_beyond_condition,0.05378694588857711,0.04323922428078196,0.06416917174163224
AN19,mfcc_delta13,AN19.Mixed.test_Spanish,predictor_only,0.06950720153783378,0.05936579334911697,0.08002376381083817
AN19,mfcc_delta13,AN19.Mixed.test_Spanish,predictor_beyond_condition,0.05523947351184004,0.044670292687579716,0.06685681545681278
AN19,mfcc_delta13,AN19.Spanish.test_Korean,predictor_only,0.03520754981831083,0.02864918752829409,0.04214955324801791
AN19,mfcc_delta13,AN19.Spanish.test_Korean,predictor_beyond_condition,0.04235097257228717,0.035340058777017465,0.0496333295788522
AN19,mfcc_delta13,AN19.Spanish.test_Spanish,predictor_only,0.04280167822612897,0.03337794465816911,0.0516958718805806
AN19,mfcc_delta13,AN19.Spanish.test_Spanish,predictor_beyond_condition,0.04840275352110452,0.03891796212151148,0.05759497976663571
AN19,mfcc_delta_delta13,AN19.Korean.test_Korean,predictor_only,0.05668173098068711,0.04810579149902157,0.06398922804644405
AN19,mfcc_delta_delta13,AN19.Korean.test_Korean,predictor_beyond_condition,0.06571349194613019,0.05645442889224955,0.07484416570116716
AN19,mfcc_delta_delta13,AN19.Korean.test_Spanish,predictor_only,0.04000971877477208,0.028345347812312075,0.05136297224597839
AN19,mfcc_delta_delta13,AN19.Korean.test_Spanish,predictor_beyond_condition,0.04269796250233292,0.03240514754176854,0.053343399092782406
AN19,mfcc_delta_delta13,AN19.Mixed.test_Korean,predictor_only,0.05276734658204515,0.038668493040994636,0.0672393557722327
AN19,mfcc_delta_delta13,AN19.Mixed.test_Korean,predictor_beyond_condition,0.06606814081770453,0.051828256583628954,0.07985544113670906
AN19,mfcc_delta_delta13,AN19.Mixed.test_Spanish,predictor_only,0.06943052329557362,0.058529804069344445,0.08086419928800062
AN19,mfcc_delta_delta13,AN19.Mixed.test_Spanish,predictor_beyond_condition,0.05227790867945568,0.039878993013170314,0.06463830147095706
AN19,mfcc_delta_delta13,AN19.Spanish.test_Korean,predictor_only,0.05410036134570578,0.04468011003516637,0.06411493647075361
AN19,mfcc_delta_delta13,AN19.Spanish.test_Korean,predictor_beyond_condition,0.06250844083779702,0.05189804897249192,0.07288741806692292
AN19,mfcc_delta_delta13,AN19.Spanish.test_Spanish,predictor_only,0.04347535805430619,0.03305534451531413,0.05364920768687297
AN19,mfcc_delta_delta13,AN19.Spanish.test_Spanish,predictor_beyond_condition,0.04612128474090143,0.03588735628969028,0.05672468854439319
AN19,mfcc_static13,AN19.Korean.test_Korean,predictor_only,0.002794909114764461,-0.0017309436615754099,0.007609928139753137
AN19,mfcc_static13,AN19.Korean.test_Korean,predictor_beyond_condition,0.001996104590558163,-0.0018042213080581482,0.006128513330536733
AN19,mfcc_static13,AN19.Korean.test_Spanish,predictor_only,0.03605771191654573,0.026893516875971486,0.045269386477353256
AN19,mfcc_static13,AN19.Korean.test_Spanish,predictor_beyond_condition,0.0314679786855512,0.025462420968734512,0.03745686470990904
AN19,mfcc_static13,AN19.Mixed.test_Korean,predictor_only,0.0045502291407999666,-4.985814219932682e-05,0.008692511516394663
AN19,mfcc_static13,AN19.Mixed.test_Korean,predictor_beyond_condition,0.00689983818764203,0.0022675039849625414,0.011311791569099441
AN19,mfcc_static13,AN19.Mixed.test_Spanish,predictor_only,0.03666785357785091,0.026626771848553187,0.04694507541841186
AN19,mfcc_static13,AN19.Mixed.test_Spanish,predictor_beyond_condition,0.02868402816041192,0.021465751055910778,0.03700958415935062
AN19,mfcc_static13,AN19.Spanish.test_Korean,predictor_only,0.002328726317392099,-0.0035746092138674874,0.00816230640088431
AN19,mfcc_static13,AN19.Spanish.test_Korean,predictor_beyond_condition,0.004257852981505634,-0.0012028229518255388,0.009537686107981133
AN19,mfcc_static13,AN19.Spanish.test_Spanish,predictor_only,0.027204872907947975,0.01865609756556789,0.03573010685962662
AN19,mfcc_static13,AN19.Spanish.test_Spanish,predictor_beyond_condition,0.03187184714652849,0.02630801942434772,0.037803475707945754
AN19,mfcc_static_spectral12,AN19.Korean.test_Korean,predictor_only,-0.0036979998953273236,-0.00873267053269348,0.0016818061258159513
AN19,mfcc_static_spectral12,AN19.Korean.test_Korean,predictor_beyond_condition,-0.003982285392426701,-0.008255297885999269,0.00036985403866147916
AN19,mfcc_static_spectral12,AN19.Korean.test_Spanish,predictor_only,0.03493375455908153,0.02677028549907184,0.04241038143344738
AN19,mfcc_static_spectral12,AN19.Korean.test_Spanish,predictor_beyond_condition,0.023093234336509283,0.016146460977996022,0.030166795026936557
AN19,mfcc_static_spectral12,AN19.Mixed.test_Korean,predictor_only,-0.001527724547660174,-0.005468962931467291,0.002601202565589599
AN19,mfcc_static_spectral12,AN19.Mixed.test_Korean,predictor_beyond_condition,0.0003441368866425034,-0.003809660936997166,0.004790778372814492
AN19,mfcc_static_spectral12,AN19.Mixed.test_Spanish,predictor_only,0.027144494552868725,0.016466261450635632,0.03790007520231626
AN19,mfcc_static_spectral12,AN19.Mixed.test_Spanish,predictor_beyond_condition,0.01903379211185337,0.010518611460609482,0.02736987489329516
AN19,mfcc_static_spectral12,AN19.Spanish.test_Korean,predictor_only,-0.004289990119214114,-0.0095205090367466,0.0006486732050439997
AN19,mfcc_static_spectral12,AN19.Spanish.test_Korean,predictor_beyond_condition,-0.0007295513025899467,-0.0050916704316522,0.0032959581266117422
AN19,mfcc_static_spectral12,AN19.Spanish.test_Spanish,predictor_only,0.011763478227165964,0.0025843627952347667,0.020000361692761225
AN19,mfcc_static_spectral12,AN19.Spanish.test_Spanish,predictor_beyond_condition,0.016363341750515292,0.010618847058393114,0.022133415307808834
AN19,strf_direction_negative,AN19.Korean.test_Korean,predictor_only,0.01661323058610601,0.012642901823641842,0.02055418710618543
AN19,strf_direction_negative,AN19.Korean.test_Korean,predictor_beyond_condition,0.016502203525473054,0.01293495551275646,0.020226018921114607
AN19,strf_direction_negative,AN19.Korean.test_Spanish,predictor_only,0.03746369558351727,0.031791864729757764,0.043888689920463894
AN19,strf_direction_negative,AN19.Korean.test_Spanish,predictor_beyond_condition,0.037885424370925985,0.03479392900076631,0.04121078832349808
AN19,strf_direction_negative,AN19.Mixed.test_Korean,predictor_only,0.01233106708696222,0.008051488991780662,0.01676766444840006
AN19,strf_direction_negative,AN19.Mixed.test_Korean,predictor_beyond_condition,0.015214794598711699,0.01034931947625437,0.019937486624999116
AN19,strf_direction_negative,AN19.Mixed.test_Spanish,predictor_only,0.04578525139166291,0.03830105519537704,0.05278410879414785
AN19,strf_direction_negative,AN19.Mixed.test_Spanish,predictor_beyond_condition,0.034239595428966464,0.02869532612620664,0.039564105340861674
AN19,strf_direction_negative,AN19.Spanish.test_Korean,predictor_only,0.007207479379495969,0.0025616946810016897,0.01085474428738975
