dataset_id,family,variant,method,feature_key,full_z,full_estimate,full_conf_low,full_conf_high,mean_cv_train_z,cv_train_z_ci_low,cv_train_z_ci_high,predictor_oof_total_log_loss
AN19,SBI,base,HuBERT base,tr_24,3.72894911945992,0.359340251433725,0.170464814883894,0.548215687983557,4.01414878895444,3.64253014856804,4.54024069199802,3629.73746938819
AN19,SBI,ft,HuBERT ASR-FT,tr_24,1.7963703500291,0.194912222657804,-0.0177543671704611,0.407578812486068,2.372979040028153,1.83965551117429,2.9300212714371603,3755.07938189562
AN19,SBI,acoustic,acoustic,mfcc39,1.97157610315419,0.190301793030606,0.0011173564048709,0.379486229656341,2.3987518467293936,1.61058237462226,2.83053175770433,3764.48526541769
AN19,SBI,acoustic,acoustic,strf24_legacy,3.47924892658828,0.330635487007069,0.144375300338182,0.516895673675955,3.8169921075687636,3.15573975689246,5.08960587585257,3640.58086812297
AN19,HVE,base,base,tr_24::between_type_word,2.26959453183811,0.111795155244781,0.0152499348514668,0.208340375638094,1.8520394018793267,1.37284139651826,2.45955223342496,3976.37132539239
AN19,HVE,base,base,tr_24::mean_dissimilarity_word,-1.55061361360797,-0.0774818516757595,-0.175420131045776,0.0204564276942571,-1.2668447438257167,-1.84573202422796,-0.51027425594953,3977.70356075072
AN19,HVE,base,base,tr_24::order_word,2.72748511601697,0.138859348669933,0.0390735343332011,0.238645163006665,2.2469669567850867,1.55921056015744,2.8595954463133695,3977.20335941659
AN19,HVE,base,base,tr_24::overall,-0.963765556474499,-0.0481647385281021,-0.146116866907135,0.0497873898509307,-0.8010068099595262,-1.27511630234656,-0.24230148060395304,3976.08720738002
AN19,HVE,base,base,tr_24::overall_order_sensitive,2.62516965642482,0.132546481868729,0.0335848380652903,0.231508125672168,2.182490760840563,1.83832943329944,2.55441949258233,3973.42904011668
AN19,HVE,base,base,tr_24::within_token_word,-1.15196310658931,-0.0571034885712929,-0.154261841091028,0.0400548639484426,-0.9485610226519553,-1.35605759348488,-0.566922365726387,3976.1521232269
