dataset_id,family,variant,method,feature_key,comparison,gain,ci_low,ci_high,n_rows,n_participants,total_trials,ceiling_ci_low,ceiling_ci_high,measure
AN19,HVE,base,base,tr_24::between_type_word,predictor_only_percent_ceiling,-0.07518365590077598,-0.7736795979094553,0.6559509605391651,5760,120,5760,96.47358390118681,105.97883352593493,between_type_word
AN19,HVE,base,base,tr_24::mean_dissimilarity_word,predictor_only_percent_ceiling,-0.14297377543977693,-0.7645538178921119,0.4815484754458757,5760,120,5760,96.47358390118681,105.97883352593493,mean_dissimilarity_word
AN19,HVE,base,base,tr_24::order_word,predictor_only_percent_ceiling,-0.11752128461504172,-1.1381293883174952,0.7899227531076097,5760,120,5760,96.47358390118681,105.97883352593493,order_word
AN19,HVE,base,base,tr_24::overall,predictor_only_percent_ceiling,-0.060726455150819744,-0.43920094332268594,0.3112485448179495,5760,120,5760,96.47358390118681,105.97883352593493,overall
AN19,HVE,base,base,tr_24::overall_order_sensitive,predictor_only_percent_ceiling,0.07453303590697521,-0.8423028938432249,0.9457042543989016,5760,120,5760,96.47358390118681,105.97883352593493,overall_order_sensitive
AN19,HVE,base,base,tr_24::within_token_word,predictor_only_percent_ceiling,-0.0640296650470132,-0.44899401110654075,0.3381193260941226,5760,120,5760,96.47358390118681,105.97883352593493,within_token_word
AN19,HVE,base,base,tr_24::within_type_word,predictor_only_percent_ceiling,-0.25031259266362754,-0.7878682591501448,0.23824340636871266,5760,120,5760,96.47358390118681,105.97883352593493,within_type_word
AN19,HVE,ft,ft,tr_24::between_type_word,predictor_only_percent_ceiling,-0.1622988295905043,-0.5601889812683359,0.21173728989935314,5760,120,5760,96.47358390118681,105.97883352593493,between_type_word
AN19,HVE,ft,ft,tr_24::mean_dissimilarity_word,predictor_only_percent_ceiling,-0.07201653210572796,-0.6722080788743775,0.516099745680829,5760,120,5760,96.47358390118681,105.97883352593493,mean_dissimilarity_word
AN19,HVE,ft,ft,tr_24::order_word,predictor_only_percent_ceiling,0.04168399106952274,-0.4572826944681176,0.5300808429401652,5760,120,5760,96.47358390118681,105.97883352593493,order_word
AN19,HVE,ft,ft,tr_24::overall,predictor_only_percent_ceiling,-0.19115871411447335,-1.0648946085597106,0.5617112272392183,5760,120,5760,96.47358390118681,105.97883352593493,overall
AN19,HVE,ft,ft,tr_24::overall_order_sensitive,predictor_only_percent_ceiling,0.027440403597892404,-0.49048868967963943,0.5654890211990057,5760,120,5760,96.47358390118681,105.97883352593493,overall_order_sensitive
AN19,HVE,ft,ft,tr_24::within_token_word,predictor_only_percent_ceiling,-0.10347228882568009,-0.7832062300252555,0.5084737511010884,5760,120,5760,96.47358390118681,105.97883352593493,within_token_word
AN19,HVE,ft,ft,tr_24::within_type_word,predictor_only_percent_ceiling,-0.10509901857046629,-0.4617645820218555,0.24329140453342604,5760,120,5760,96.47358390118681,105.97883352593493,within_type_word
