version,feature_key,n_folds,z_value_mean,z_value_ci_low,z_value_ci_high,mean_log_loss_mean,mean_log_loss_ci_low,mean_log_loss_ci_high
historical_full_global_z,mfcc39,3,2.3987518467293936,1.8585701651574482,2.8141971819050697,0.6621799441745646,0.6558338187011984,0.6686314105306709
historical_full_global_z,strf24_legacy,3,3.8169921075687636,3.1665494590573666,4.681411252242785,0.6403835602290554,0.6376850623223141,0.6439365452026979
historical_none,mfcc_c0,3,1.6502343549847966,1.2984268249016657,1.966034195694043,0.6734380247248547,0.6678903621302279,0.6779211957023242
historical_none,mfcc_delta13,3,3.07295856227539,2.5715839174213175,3.6354004617540547,0.6450380355847797,0.6416433926060497,0.6494584243219185
historical_none,mfcc_delta_delta13,3,3.5278196135659066,3.190638323610054,3.916974855849905,0.6395719652453453,0.6360153267268778,0.6430795302408527
historical_none,mfcc_static13,3,2.0097777810363904,1.4952073630165137,2.42683962883504,0.6740064010231784,0.6691574152410416,0.6783059423724866
historical_none,mfcc_static_spectral12,3,2.069567733332993,1.6672303394109256,2.4405133553377976,0.6815460978641957,0.6784217567425934,0.6842093683273391
historical_none,strf_direction_negative,3,2.4932082921507233,2.1842394462243395,2.7562597196757364,0.6678876112631408,0.6624688787682221,0.6723955321662077
historical_none,strf_direction_positive,3,2.9698263057351735,2.733462764522206,3.253322619216937,0.6647345412079884,0.6619337105953221,0.6668341762352189
historical_none,strf_rate_16,3,2.3295058465453766,1.44971700197238,3.2098715940310902,0.6561270750394387,0.6481807314777575,0.6663598846769535
historical_none,strf_rate_2,3,1.8869356691806167,1.8415213164345707,1.9467541816036105,0.6820280881024496,0.6784830698599095,0.6850122631190737
historical_none,strf_rate_4,3,2.9183797632344195,2.548914821908871,3.4045593735750033,0.6618298064527267,0.6592971442529288,0.6643412862165532
historical_none,strf_rate_8,3,2.2640943623161403,2.0400527091415213,2.5061473239247336,0.6676471775608567,0.665833479715473,0.6693145881518034
historical_none,strf_scale_0p25,3,2.8383942459011764,2.628086664842285,3.0270245898482466,0.6667564818403541,0.6627281943178922,0.6699606527073334
historical_none,strf_scale_0p5,3,1.8487901264514097,1.4047521066250648,2.3525741625712215,0.6796124063237657,0.6782448099393494,0.6808053532289302
historical_none,strf_scale_1p0,3,1.64417095989318,1.2284173773752007,2.111167905358551,0.6853840122994307,0.6824694850118347,0.6881262154695327
matched_global_z,mfcc39,3,2.3987518467293936,1.8585701651574482,2.8141971819050697,0.6621799441745646,0.6558338187011984,0.6686314105306709
matched_global_z,mfcc_c0,3,1.6502291174024366,1.2984250079206427,1.966027579393724,0.6734380094181937,0.6678902643724457,0.6779212952309407
matched_global_z,mfcc_delta13,3,2.726333368780107,2.3010307515560666,3.085256188303002,0.6604970014416124,0.6567856011841452,0.6644877450242143
matched_global_z,mfcc_delta_delta13,3,2.510691090078223,2.1475844907402415,2.785967189136271,0.6590459999025787,0.6544353495514448,0.6636514600536464
matched_global_z,mfcc_static13,3,1.100381695429538,0.6528036127665691,1.5773900445824658,0.6873761291403934,0.6832785457008073,0.6906593475331301
matched_global_z,mfcc_static_spectral12,3,0.888501364527542,0.4413621742042991,1.384776739193471,0.6895194864546746,0.6858774983577797,0.6925398463376372
matched_global_z,strf24_legacy,3,3.8169921075687636,3.1665494590573666,4.681411252242785,0.6403835602290554,0.6376850623223141,0.6439365452026979
matched_global_z,strf_direction_negative,3,3.585594427360276,2.9116553896498325,4.285898006821949,0.6469737816380063,0.641376158475696,0.6529678744068519
matched_global_z,strf_direction_positive,3,3.60936048015936,2.592295931338333,4.696574730729128,0.644764933646755,0.6420465980011973,0.6474421311948811
matched_global_z,strf_rate_16,3,2.19938616515897,1.638221614587491,2.92257257160756,0.6552156865723937,0.6483290546514495,0.6620864908564297
matched_global_z,strf_rate_2,3,1.42622776932692,1.1807408538517878,1.66873316469612,0.682797714613212,0.6793231684220328,0.6854340934669078
matched_global_z,strf_rate_4,3,3.3809639853005033,2.760953266992085,4.093195245559343,0.6598402125178363,0.6586918565028669,0.6608305835996235
matched_global_z,strf_rate_8,3,2.785902350253103,1.8627223347012447,3.799998623593143,0.6655571435891913,0.6610879326533088,0.6708799029525379
matched_global_z,strf_scale_0p25,3,3.6169138191333903,3.249137029060191,4.002576984149896,0.6425691389455966,0.638145149397564,0.6470669425392372
matched_global_z,strf_scale_0p5,3,2.6308488865646233,1.6567614933177435,3.7730836715663556,0.6627562688485167,0.6582681903498615,0.6663647260349566
matched_global_z,strf_scale_1p0,3,2.3265759194485995,1.7397089553798282,3.040704706936951,0.6785672523054567,0.6751758086095914,0.6812876639647238
