feature_key,fold,z_value,mean_log_loss,total_trials,version
strf_rate_2,0.0,1.84578092724648,0.685394453659422,1894,historical_none
strf_rate_2,1.0,1.84034312621,0.683630497319353,1895,historical_none
strf_rate_2,2.0,1.97468295408537,0.677059313328574,1896,historical_none
strf_rate_4,0.0,3.63127110149264,0.661890327698359,1894,historical_none
strf_rate_4,1.0,2.5389589078763,0.665019210913075,1895,historical_none
strf_rate_4,2.0,2.58490928033432,0.658579880746746,1896,historical_none
strf_rate_8,0.0,2.58733200386156,0.668065141144962,1894,historical_none
strf_rate_8,1.0,2.21263348107621,0.6696601798771,1895,historical_none
strf_rate_8,2.0,1.99231760201065,0.665216211660508,1896,historical_none
strf_scale_0p25,0.0,3.06206799304007,0.669111100856018,1894,historical_none
strf_scale_0p25,1.0,2.55278553558565,0.670195635134293,1895,historical_none
strf_scale_0p25,2.0,2.90032920907781,0.660962709530751,1896,historical_none
strf_scale_0p5,0.0,2.53913437996698,0.680997296401467,1894,historical_none
strf_scale_0p5,1.0,1.67808722275579,0.680111404835913,1895,historical_none
strf_scale_0p5,2.0,1.32914877663146,0.677728517733917,1896,historical_none
strf_scale_1p0,0.0,2.2808335479229,0.688748514004277,1894,historical_none
strf_scale_1p0,1.0,1.49776135147206,0.685876366920842,1895,historical_none
strf_scale_1p0,2.0,1.15391798028458,0.681527155973173,1896,historical_none
mfcc39,0.0,2.75514140786159,0.661878970223879,1894,historical_full_global_z
mfcc39,1.0,1.61058237462226,0.670499106785741,1895,historical_full_global_z
mfcc39,2.0,2.83053175770433,0.654161755514074,1896,historical_full_global_z
strf24_legacy,0.0,5.08960587585257,0.637613947817393,1894,historical_full_global_z
strf24_legacy,1.0,3.20563068996126,0.645594564260436,1895,historical_full_global_z
strf24_legacy,2.0,3.15573975689246,0.637942168609337,1896,historical_full_global_z
