"dataset_id","feature_key","model_id","term","estimate","std_error","z_value","p_value","conf_low","conf_high"
"B23","tr_6::overall_order_sensitive","M_condition","(Intercept)",2.15091053290032,0.375937198434474,5.72146236620749,1.05611053460345e-08,1.41407362396875,2.88774744183189
"B23","tr_6::overall_order_sensitive","M_condition","condition_idB23.b_FAR",0.284954295471012,0.291844737126008,0.976390043134405,0.328871213766783,-0.287061389295963,0.856969980237986
"B23","tr_6::overall_order_sensitive","M_condition","condition_idB23.b_SPA",0.265309057093332,0.262854050441843,1.00933980909696,0.31281169440695,-0.249884881772679,0.780502995959343
"B23","tr_6::overall_order_sensitive","M_condition","condition_idB23.b_TUR",-0.182081686752743,0.277583405962267,-0.655953067949221,0.511854321651071,-0.726145162438787,0.361981788933301
"B23","tr_6::overall_order_sensitive","M_condition","condition_idB23.c_noBRP",0.176230835319614,0.294083352890022,0.599254713290483,0.549003042260563,-0.400172536344829,0.752634206984058
"B23","tr_6::overall_order_sensitive","M_condition","condition_idB23.c_noFAR",0.16499958333787,0.300372079071633,0.549317312873547,0.5827877081693,-0.42372969164253,0.75372885831827
"B23","tr_6::overall_order_sensitive","M_condition","condition_idB23.c_noSPA",0.451285696148078,0.310735254628298,1.4523157235181,0.146413837473868,-0.157755402923386,1.06032679521954
"B23","tr_6::overall_order_sensitive","M_condition","condition_idB23.c_noTUR",0.489319938861614,0.292125106135036,1.67503555355295,0.0939272561443663,-0.0832452691630562,1.06188514688628
"B23","tr_6::overall_order_sensitive","M_condition","outer_fold1",0.0145202502895885,0.181626311058719,0.0799457424695157,0.936280409000968,-0.3414673193855,0.370507819964677
"B23","tr_6::overall_order_sensitive","M_condition","outer_fold2",-0.00429734325881323,0.194292589261344,-0.0221178958762696,0.982353911122931,-0.385110818211047,0.376516131693421
"B23","tr_6::overall_order_sensitive","M_condition","test_talker_idB23.FAR.FAR",-0.944399877555383,0.43332458538684,-2.17942833017954,0.0292998634601572,-1.79371606491359,-0.0950836901971769
"B23","tr_6::overall_order_sensitive","M_condition","test_talker_idB23.SPA.SPA",-0.917419165708474,0.433782322620107,-2.11492981126371,0.0344359299326102,-1.76763251804388,-0.0672058133730649
"B23","tr_6::overall_order_sensitive","M_condition","test_talker_idB23.TUR.TUR",-1.89223987126935,0.433306816796992,-4.36697461917817,1.2597936011591e-05,-2.74152123219146,-1.04295851034725
"B23","tr_6::overall_order_sensitive","M_predictor","(Intercept)",2.35171266975129,0.336036081975334,6.99839331516758,2.58914399393592e-12,1.69308194907963,3.01034339042294
"B23","tr_6::overall_order_sensitive","M_predictor","variability_z",0.136264335657525,0.0773939297586415,1.76065921555443,0.0782960996058393,-0.0154277666694128,0.287956437984462
"B23","tr_6::overall_order_sensitive","M_predictor","outer_fold1",-0.00591179715148205,0.184964266078862,-0.0319618339088344,0.974502487464588,-0.368441758666052,0.356618164363088
"B23","tr_6::overall_order_sensitive","M_predictor","outer_fold2",-0.0293516670450975,0.195796084631115,-0.149909366678077,0.880836121689861,-0.413111992922082,0.354408658831887
"B23","tr_6::overall_order_sensitive","M_predictor","test_talker_idB23.FAR.FAR",-0.944377834745456,0.433966675161743,-2.17615289098749,0.0295438301239599,-1.79495251806247,-0.0938031514284396
"B23","tr_6::overall_order_sensitive","M_predictor","test_talker_idB23.SPA.SPA",-0.917398036099971,0.434466551594527,-2.11155043520162,0.0347250276523987,-1.76895247722524,-0.0658435949746987
"B23","tr_6::overall_order_sensitive","M_predictor","test_talker_idB23.TUR.TUR",-1.89222402057074,0.433755399941468,-4.36242181843981,1.28630558952332e-05,-2.74238460445602,-1.04206343668547
"B23","tr_6::overall_order_sensitive","M_joint","(Intercept)",-0.543033107825805,1.01321547131019,-0.53595027237751,0.591992918745501,-2.52893543159378,1.44286921594217
"B23","tr_6::overall_order_sensitive","M_joint","condition_idB23.b_FAR",0.189677658583629,0.284913110384524,0.665738611774081,0.505578189039469,-0.368752037770039,0.748107354937296
"B23","tr_6::overall_order_sensitive","M_joint","condition_idB23.b_SPA",-1.42643106028615,0.64793800649149,-2.20149311507457,0.027701133568172,-2.69638955300947,-0.156472567562834
"B23","tr_6::overall_order_sensitive","M_joint","condition_idB23.b_TUR",12.9780412553706,4.62880026190308,2.80375918619458,0.00505106159103632,3.90559274204059,22.0504897687007
"B23","tr_6::overall_order_sensitive","M_joint","condition_idB23.c_noBRP",4.64687533805237,1.5941005253543,2.91504535889891,0.00355636850416525,1.52243830835794,7.77131236774681
"B23","tr_6::overall_order_sensitive","M_joint","condition_idB23.c_noFAR",4.04874287603773,1.39378404813733,2.90485666086402,0.00367421322791009,1.31692614168857,6.78055961038689
"B23","tr_6::overall_order_sensitive","M_joint","condition_idB23.c_noSPA",4.66868771377741,1.50924646428364,3.09338986326093,0.00197883988065471,1.71056464378147,7.62681078377334
"B23","tr_6::overall_order_sensitive","M_joint","condition_idB23.c_noTUR",-0.442946063898815,0.433880554395118,-1.02089402120437,0.307304652080535,-1.29335195051325,0.407459822715618
"B23","tr_6::overall_order_sensitive","M_joint","variability_z",4.69912609565428,1.65107565787621,2.84609979757003,0.00442583219757775,1.46301780621691,7.93523438509166
"B23","tr_6::overall_order_sensitive","M_joint","outer_fold1",-0.200945662011008,0.191706189415975,-1.04819600568547,0.294548310480881,-0.576689793266318,0.174798469244303
