"dataset_id","feature_key","model_id","formula","optimizer","random_structure","structure_reason","n_rows","total_trials","fit_ok","singular","convergence","warnings","error","log_likelihood","deviance","AIC","n_observations"
"B23","tr_20::overall_order_sensitive","M_condition","cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)","bobyqa","participant_item_intercepts_with_fixed_talker_block","primary registered structure accepted",5820,31234,TRUE,FALSE,"ok","",,-8441.8504227494,10691.6492195968,16913.7008454988,5820
"B23","tr_20::overall_order_sensitive","M_predictor","cbind(response_correct, response_incorrect) ~ variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)","bobyqa","participant_item_intercepts_with_fixed_talker_block","primary registered structure accepted",5820,31234,TRUE,FALSE,"ok","",,-8444.69932941047,10691.3433511609,16907.3986588209,5820
"B23","tr_20::overall_order_sensitive","M_joint","cbind(response_correct, response_incorrect) ~ condition_id + variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)","bobyqa","participant_item_intercepts_with_fixed_talker_block","primary registered structure accepted",5820,31234,TRUE,FALSE,"ok","",,-8439.79948440816,10691.834333383,16911.5989688163,5820
