"k","kind","status","z","log_likelihood","coefficient","std_error","singular","var_participant","var_item","var_talker","n_rows","participants","n_word_responses","predictor_shifted_mean","predictor_sd","fit_seconds","warnings","convergence","lme4_version"
1e-06,"grid","ok",4.26753992555764,-3893.49054611116,0.207246248037658,0.0485633999102133,FALSE,0.884245070480332,2.60416935995589,NA,10969,213,10969,-6.13755185851006e-06,5.31578755391697e-06,4.99,"","ok","1.1.35.5"
1.43722826598624e-06,"grid","ok",4.26751297411235,-3893.49053594033,0.207246070749744,0.0485636650683765,FALSE,0.884245323732668,2.60416923886623,NA,10969,213,10969,-8.82104230156105e-06,7.63997115250275e-06,5.78,"","ok","1.1.35.5"
2.06562508854983e-06,"grid","ok",4.26754500423797,-3893.49052137221,0.20724708059452,0.0485635372066865,FALSE,0.884244487865806,2.60416820587453,NA,10969,213,10969,-1.26778085452564e-05,1.09803226386806e-05,5.22,"","ok","1.1.35.5"
2.96877476419415e-06,"grid","ok",4.26754700786284,-3893.49050050662,0.207247456593272,0.0485636025125029,FALSE,0.884244357382851,2.60416963932784,NA,10969,213,10969,-1.82208164127664e-05,1.57811064334452e-05,5.42,"","ok","1.1.35.5"
4.26680700644649e-06,"grid","ok",4.26756989133227,-3893.49047015643,0.207248555883841,0.048563599697518,FALSE,0.884244905791587,2.60416846356447,NA,10969,213,10969,-2.61872898212207e-05,2.26807968603448e-05,5.5,"","ok","1.1.35.5"
6.13237563517304e-06,"grid","ok",4.26756698210101,-3893.49042678307,0.207249469154404,0.0485638468063063,FALSE,0.884244116804013,2.60416871851271,NA,10969,213,10969,-3.76367360526328e-05,3.25969548472636e-05,5.3,"","ok","1.1.35.5"
8.81362360051604e-06,"grid","ok",4.26757918821379,-3893.49036425558,0.207251016269638,0.0485640704317859,FALSE,0.884242693581002,2.60416703645201,NA,10969,213,10969,-5.40918019878987e-05,4.68481753195951e-05,4.91,"","ok","1.1.35.5"
1.26671889644251e-05,"grid","ok",4.26760366186551,-3893.49027485311,0.207253667070496,0.0485644130738932,FALSE,0.884242607491066,2.60416660854001,NA,10969,213,10969,-7.77406578940872e-05,6.73292712388838e-05,5.56,"","ok","1.1.35.5"
1.82056420302608e-05,"grid","ok",4.26762059525683,-3893.49014596076,0.207256817536118,0.0485649586016316,FALSE,0.88424138781299,2.60416534728904,NA,10969,213,10969,-0.000111727747737895,9.67628832975079e-05,5.86000000000001,"","ok","1.1.35.5"
2.61656633263181e-05,"grid","ok",4.26768035824014,-3893.48996094662,0.207261741032541,0.0485654321866808,FALSE,0.884239842655498,2.60416326821894,NA,10969,213,10969,-0.000160571413069821,0.000139060749949479,5.3,"","ok","1.1.35.5"
3.76060309308639e-05,"grid","ok",4.26773959128634,-3893.48969527926,0.207268751622009,0.0485664008284856,FALSE,0.884237824037456,2.60415832547153,NA,10969,213,10969,-0.000230763596214071,0.000199842211196075,5.26,"","ok","1.1.35.5"
5.40484506253906e-05,"grid","ok",4.26784810012079,-3893.48931306685,0.207278947211224,0.0485675549711708,FALSE,0.884233920958348,2.60415536972698,NA,10969,213,10969,-0.000331630681824274,0.000287177923023548,4.19,"","ok","1.1.35.5"
7.76799609715734e-05,"grid","ok",4.26795904074808,-3893.48876406522,0.207293400723769,0.0485696790303392,FALSE,0.884228378219227,2.60414917832618,NA,10969,213,10969,-0.000476568516323623,0.0004126556622169,4.2,"","ok","1.1.35.5"
0.000111643835609054,"grid","ok",4.2681590366443,-3893.48797548836,0.207314305680831,0.0485723010555448,FALSE,0.884222163428768,2.60413936992832,NA,10969,213,10969,-0.000684812859376018,0.000592905773028997,4.55,"","ok","1.1.35.5"
0.000160457676260453,"grid","ok",4.2684240639094,-3893.48684247976,0.207344200104234,0.0485762888128622,FALSE,0.884211663812885,2.60412877199356,NA,10969,213,10969,-0.000983974533579177,0.000851780476465468,5.47,"","ok","1.1.35.5"
0.000230614307815994,"grid","ok",4.26880561957288,-3893.4852153057,0.207387340217095,0.048582052850147,FALSE,0.884195641825191,2.60410790914544,NA,10969,213,10969,-0.00141366364708564,0.00122345904572605,5.36,"","ok","1.1.35.5"
0.000331445401733999,"grid","ok",4.2693753664853,-3893.48287933815,0.207448931390701,0.048589995861966,FALSE,0.884175794613762,2.60408159391865,NA,10969,213,10969,-0.00203065853417808,0.00175685514525662,5.16,"","ok","1.1.35.5"
0.000476362700003269,"grid","ok",4.27018896935416,-3893.47952688352,0.207537750086543,0.0486015376780694,FALSE,0.884145582054909,2.60404692756041,NA,10969,213,10969,-0.00291625261711944,0.0025218372457442,4.75999999999999,"","ok","1.1.35.5"
0.000684641937306225,"grid","ok",4.27134380434892,-3893.47471920364,0.207665170553719,0.048618228844581,FALSE,0.884101370773302,2.60398912446209,NA,10969,213,10969,-0.00418664491680906,0.0036179355505863,5.49000000000001,"","ok","1.1.35.5"
0.000983986744376088,"grid","ok",4.27297012295669,-3893.46783102906,0.207847866723591,0.0486424806967221,FALSE,0.884039065415503,2.60391180005718,NA,10969,213,10969,-0.00600752811853355,0.00518638031595423,4.09,"","ok","1.1.35.5"
0.001,"grid","ok",4.27305597837907,-3893.46746309909,0.207857646944837,0.0486437921704188,FALSE,0.884035914289081,2.60390794217317,NA,10969,213,10969,-0.00610477061655746,0.00527005485142745,4.52999999999999,"","ok","1.1.35.5"
