"tau","k","bobyqa_z","nelder_mead_z","bobyqa_log_likelihood","nelder_mead_log_likelihood","convergence","singular"
0.5,0.0179141104306328,4.63473283578356,4.63402122841127,-3891.87710790631,-3891.87710611957,"ok",FALSE
1,0.0531829589694499,4.59785413680105,4.59780161086594,-3892.03089030318,-3892.03088586633,"ok",FALSE
