feature_key,n_pairs,old_scaling,new_scaling,pearson_old_new,spearman_old_new,old_mean_distance,new_mean_distance
mfcc_c0,5459,none,global_z,0.9999999999999998,1.0,16.515683910870766,0.3270213603725015
mfcc_delta13,5459,none,global_z,0.8600765241878874,0.8568462098910972,9.075976469251701,4.272814005799541
mfcc_delta_delta13,5459,none,global_z,0.8915208191020817,0.8918780272098044,3.516000928191856,4.397412024040496
mfcc_static13,5459,none,global_z,0.6390708061947713,0.6726503095187276,50.34204831795108,4.162991397357028
mfcc_static_spectral12,5459,none,global_z,0.8174550405242914,0.8341406092219129,39.16533242033051,4.064904035158035
strf_direction_negative,5459,none,global_z,0.6873977574020029,0.6862719470243194,242.64475044246183,3.801903393702558
strf_direction_positive,5459,none,global_z,0.6796663300248366,0.6635994060111071,246.24191472947845,3.8048403166180784
strf_rate_16,5459,none,global_z,0.8640240783202562,0.8588241579902742,18.64615079639052,2.285834332331495
strf_rate_2,5459,none,global_z,0.7501709666255896,0.7131771037298467,254.02492918002358,2.160671804821882
strf_rate_4,5459,none,global_z,0.7549299861709166,0.7239306768879659,161.9472864990011,2.585957692290077
strf_rate_8,5459,none,global_z,0.7668210267807501,0.7726591387241014,54.526365527304115,2.577318632418008
strf_scale_0p25,5459,none,global_z,0.8555962620620218,0.8385025323210078,325.60967951078794,2.629697018687221
strf_scale_0p5,5459,none,global_z,0.7637406934403227,0.7621500655711378,92.20198050601668,2.9978121810161418
strf_scale_1p0,5459,none,global_z,0.8374135968417796,0.8206283021755324,47.54080255523167,3.219010284195916
