dataset_id,feature_key,scope,fold,model_id,term,estimate,std_error,z_value,p_value,conf_low,conf_high
B23,cnn_2,cv_train,0.0,M_condition,(Intercept),2.00748489855931,0.342756884363664,5.85687695897414,4.71652291020682e-09,1.33568140520652,2.67928839191209
B23,cnn_2,cv_train,0.0,M_condition,condition_idB23.b_FAR,0.386983691503391,0.238994404892281,1.61921653219376,0.10540068214423,-0.0814453420854793,0.855412725092262
B23,cnn_2,cv_train,0.0,M_condition,condition_idB23.b_SPA,0.343234271771975,0.239072918682451,1.43568863283874,0.151090961213782,-0.125348648845629,0.811817192389579
B23,cnn_2,cv_train,0.0,M_condition,condition_idB23.b_TUR,-0.181478345976765,0.243097187673419,-0.746525896550338,0.455349793999303,-0.657948833816666,0.294992141863136
B23,cnn_2,cv_train,0.0,M_condition,condition_idB23.c_noBRP,0.211358408383549,0.234912581651848,0.899732176528511,0.368262795621399,-0.249070251654074,0.671787068421172
B23,cnn_2,cv_train,0.0,M_condition,condition_idB23.c_noFAR,0.227840232438111,0.238999663172525,0.953307755390607,0.340434163220042,-0.240599107380038,0.69627957225626
B23,cnn_2,cv_train,0.0,M_condition,condition_idB23.c_noSPA,-0.025597509651364,0.238806415266908,-0.107189371871582,0.914638746869281,-0.493658083574504,0.442463064271776
B23,cnn_2,cv_train,0.0,M_condition,condition_idB23.c_noTUR,0.461894153641182,0.239182784218596,1.93113461384848,0.0534664074399966,-0.0069041034272661,0.93069241070963
B23,cnn_2,cv_train,0.0,M_condition,test_talker_idB23.FAR.FAR,-0.760446494286919,0.421331710660541,-1.80486413684537,0.0710959450002022,-1.58625664718158,0.0653636586077416
B23,cnn_2,cv_train,0.0,M_condition,test_talker_idB23.SPA.SPA,-0.765126993980093,0.421683371414569,-1.81445853891135,0.0696071603680536,-1.59162640195265,0.0613724139924636
B23,cnn_2,cv_train,0.0,M_condition,test_talker_idB23.TUR.TUR,-1.70062953509264,0.421121006537777,-4.03833935778761,5.38309386714887e-05,-2.52602670790668,-0.875232362278597
B23,cnn_2,cv_train,0.0,M_joint,(Intercept),2.00203358806295,0.343213529853067,5.83320124040577,5.43739223371858e-09,1.32933506955094,2.67473210657497
B23,cnn_2,cv_train,0.0,M_joint,condition_idB23.b_FAR,0.385103890327782,0.239009382593726,1.61125009465587,0.107125223238083,-0.0833544995559203,0.853562280211484
B23,cnn_2,cv_train,0.0,M_joint,condition_idB23.b_SPA,0.351240786901704,0.239137616164976,1.46878099955379,0.141892199235604,-0.117468940781649,0.819950514585057
B23,cnn_2,cv_train,0.0,M_joint,condition_idB23.b_TUR,-0.187389332059501,0.243116768047038,-0.770779134507274,0.440837856924709,-0.663898197431695,0.289119533312693
B23,cnn_2,cv_train,0.0,M_joint,condition_idB23.c_noBRP,0.210398862869779,0.234909889662825,0.895657748474414,0.370435582832013,-0.250024520869358,0.670822246608916
B23,cnn_2,cv_train,0.0,M_joint,condition_idB23.c_noFAR,0.227833158408655,0.238997446219238,0.953286999559229,0.340444676591717,-0.240601836181051,0.696268152998362
B23,cnn_2,cv_train,0.0,M_joint,condition_idB23.c_noSPA,-0.0288210844753955,0.238832330901917,-0.120674970455452,0.903948484770735,-0.496932453043153,0.439290284092362
B23,cnn_2,cv_train,0.0,M_joint,condition_idB23.c_noTUR,0.464180643106126,0.239218598626069,1.94040365495036,0.0523306527624808,-0.004687810200968,0.93304909641322
B23,cnn_2,cv_train,0.0,M_joint,similarity_z,0.0325236763503289,0.0143562817083357,2.26546657491714,0.0234840629330424,0.0043853642019909,0.060661988498667
B23,cnn_2,cv_train,0.0,M_joint,test_talker_idB23.FAR.FAR,-0.755307103929424,0.421540656255459,-1.79177759658774,0.0731685988910201,-1.58152679019012,0.0709125823312746
B23,cnn_2,cv_train,0.0,M_joint,test_talker_idB23.SPA.SPA,-0.749178105518144,0.422138401842788,-1.77472151845866,0.0759438804570959,-1.57656937313001,0.07821316209372
B23,cnn_2,cv_train,0.0,M_joint,test_talker_idB23.TUR.TUR,-1.69712632578503,0.421387651633296,-4.02747047571751,5.63801445112875e-05,-2.52304612298629,-0.871206528583775
B23,cnn_2,cv_train,0.0,M_null,(Intercept),2.18907379585421,0.305726684513404,7.16023136592851,8.05410117158341e-13,1.58984949420793,2.78829809750048
B23,cnn_2,cv_train,0.0,M_null,test_talker_idB23.FAR.FAR,-0.760447190620079,0.421975714644283,-1.80211126903623,0.0715279010723657,-1.58751959132287,0.0666252100827158
B23,cnn_2,cv_train,0.0,M_null,test_talker_idB23.SPA.SPA,-0.76511909673249,0.422439758126726,-1.81119102076317,0.0701112876717585,-1.59310102266087,0.0628628291958923
B23,cnn_2,cv_train,0.0,M_null,test_talker_idB23.TUR.TUR,-1.7006432473343,0.421876448779009,-4.03114052053933,5.55068435571194e-05,-2.52752108694115,-0.873765407727439
B23,cnn_2,cv_train,0.0,M_predictor,(Intercept),2.18368654533394,0.30531616673378,7.1522139449563,8.53893430741161e-13,1.58526685853573,2.78210623213215
B23,cnn_2,cv_train,0.0,M_predictor,similarity_z,0.0316577110039504,0.0143440033073717,2.20703455831474,0.0273116450789444,0.0035434645215017,0.059771957486399
B23,cnn_2,cv_train,0.0,M_predictor,test_talker_idB23.FAR.FAR,-0.755536688226755,0.42145490563801,-1.79268689987842,0.0730230023761127,-1.58158830327725,0.0705149268237444
B23,cnn_2,cv_train,0.0,M_predictor,test_talker_idB23.SPA.SPA,-0.749784690239626,0.422033734553585,-1.77659895134385,0.0756342483118186,-1.57697080996465,0.0774014294854002
