dataset_id,model_variant,representation,layer,fold,type,fold_val,fold_train,alpha,k,z_train,z_test,poll_train,poll_test,optimism
B23,ft,hubert_tsne_3d,cnn_2,1,corrected,2,3,0.1,0.0010037010865477953,-1.1646710646806826,-0.2714717979114159,-0.07597839281063197,-0.08362874354398324,0.10069113665537716
B23,ft,hubert_tsne_3d,cnn_2,2,corrected,3,1,0.1,0.5087953461386595,-0.46042300750665593,0.3246202022037603,-0.0836249310921522,-0.08227951671826639,-0.016088675426269797
B23,ft,hubert_tsne_3d,cnn_2,3,corrected,1,2,0.1,0.0010037010865477953,2.8165293723925626,-1.1646704839986757,-0.08206162771024501,-0.07597839281063734,-0.07413007844649673
B23,ft,hubert_tsne_3d,cnn_3,1,corrected,2,3,0.1,0.0010037010865477953,-0.8921346458862196,0.33984971729255364,-0.07599380911718065,-0.08362758497514956,0.10045260195074328
B23,ft,hubert_tsne_3d,cnn_3,2,corrected,3,1,0.1,0.4896406426498247,-0.4562045519115241,0.32470272160358954,-0.08362503765650285,-0.08227951520703493,-0.016089947307345608
B23,ft,hubert_tsne_3d,cnn_3,3,corrected,1,2,0.1,0.0010037010865477953,3.6868794007071513,-0.8921331227876081,-0.08190368489542645,-0.07599380911718864,-0.07215640890618602
B23,ft,hubert_tsne_3d,cnn_4,1,corrected,2,3,0.1,0.0010037010865477953,-0.7108482971310707,0.22208055999916942,-0.07600181625080553,-0.08362941557302303,0.10036075055162459
B23,ft,hubert_tsne_3d,cnn_4,2,corrected,3,1,0.1,0.440413860392759,-0.4567953875478618,0.32306955238241086,-0.08362502283555012,-0.08227954448710754,-0.01608942279260696
B23,ft,hubert_tsne_3d,cnn_4,3,corrected,1,2,0.1,0.005782528710635179,3.6842057723890327,-0.7386602280629262,-0.08190421473185686,-0.07600070740217153,-0.07207818729491022
B23,ft,hubert_tsne_3d,cnn_5,1,corrected,2,3,0.1,0.0010037010865477953,-0.9220238838817624,0.776571735788532,-0.07599230932881884,-0.08361408758648425,0.10029670535061602
B23,ft,hubert_tsne_3d,cnn_5,2,corrected,3,1,0.1,0.43907438067288473,-0.4569869991067596,0.3238363333211971,-0.08362501797338297,-0.08227953076792982,-0.0160895296414932
B23,ft,hubert_tsne_3d,cnn_5,3,corrected,1,2,0.1,0.0010037010865477953,3.5595017374708315,-0.9220238838817624,-0.08192962537707706,-0.07599230932881884,-0.07246848769211395
B23,ft,hubert_tsne_3d,cnn_6,1,corrected,2,3,0.1,0.0010037010865477953,-0.5251487577873499,0.8994075152502412,-0.0760081497255497,-0.08360838611246915,0.09999238784738732
B23,ft,hubert_tsne_3d,cnn_6,2,corrected,3,1,0.1,0.41922202263573344,-0.45420082725369937,0.3248815451301274,-0.08362508791928741,-0.08227951197159027,-0.01609057737548637
B23,ft,hubert_tsne_3d,cnn_6,3,corrected,1,2,0.1,0.0010037010865477953,3.8027810426052375,-0.5251482616332958,-0.08187963494567396,-0.07600814972554946,-0.07170873714837822
B23,ft,hubert_tsne_3d,tr_0,1,corrected,2,3,0.1,0.0010037010865477953,-0.33432952524792653,0.27236986384285045,-0.07601267539470133,-0.08362872782847408,0.1001945056429845
B23,ft,hubert_tsne_3d,tr_0,2,corrected,3,1,0.1,0.48585765640813056,-0.4490241076617812,0.32744483770821375,-0.08362521686202698,-0.08227946564823903,-0.01609264841738232
B23,ft,hubert_tsne_3d,tr_0,3,corrected,1,2,0.1,0.013749131145992365,3.401848852412659,-0.447473190691231,-0.08196018201628122,-0.0760102347116172,-0.0725955843226662
B23,ft,hubert_tsne_3d,tr_2,1,corrected,2,3,0.1,0.0010037010865477953,-0.32585538199111475,0.022220877318125647,-0.0760128311645588,-0.08363076596932215,0.10021906417709159
B23,ft,hubert_tsne_3d,tr_2,2,corrected,3,1,0.1,0.592561040033954,-0.4503678009386058,0.3343701692333994,-0.08362518345580809,-0.08227933873967162,-0.016093772958329988
B23,ft,hubert_tsne_3d,tr_2,3,corrected,1,2,0.1,0.0010037010865477953,3.058031372947283,-0.32585538199111475,-0.08202237419441717,-0.0760128311645588,-0.07326711874511198
B23,ft,hubert_tsne_3d,tr_4,1,corrected,2,3,0.1,0.0010037010865477953,0.11598569826583732,0.28706589025073886,-0.076015391232888,-0.08362850072910542,0.10015221092387952
B23,ft,hubert_tsne_3d,tr_4,2,corrected,3,1,0.1,0.6158646090694833,-0.4289884797940435,0.35175815361453056,-0.08362570176203823,-0.08227900823029716,-0.016103823386417394
B23,ft,hubert_tsne_3d,tr_4,3,corrected,1,2,0.1,0.0010037010865477953,2.6953418315014486,0.11598564984991701,-0.08208043818698599,-0.0760153912328881,-0.07389150311650643
B23,ft,hubert_tsne_3d,tr_6,1,corrected,2,3,0.1,0.0010037010865477953,0.3677427515543901,-0.011733245414958756,-0.07601202397848857,-0.08363077581264274,0.10023087710847273
B23,ft,hubert_tsne_3d,tr_6,2,corrected,3,1,0.1,0.6774178684891912,-0.42657425400778093,0.35484666741884796,-0.08362575864773207,-0.08227894755564397,-0.016105218223029297
B23,ft,hubert_tsne_3d,tr_6,3,corrected,1,2,0.1,0.0010037010865477953,3.0357113113796865,0.36774302721697305,-0.08202597513541614,-0.07601202397848926,-0.07331764294174481
B23,ft,hubert_tsne_3d,tr_8,1,corrected,2,3,0.1,0.0010037010865477953,0.488930950856131,0.43258512232831636,-0.07600915443016922,-0.08362560439329134,0.10020437696250747
B23,ft,hubert_tsne_3d,tr_8,2,corrected,3,1,0.1,0.7303442707178267,-0.4160986146799649,0.36647592746579255,-0.08362600205815793,-0.08227871532085325,-0.016110859112548566
B23,ft,hubert_tsne_3d,tr_8,3,corrected,1,2,0.1,0.0010037010865477953,2.807754631524997,0.4889317864316708,-0.08206333730316905,-0.07600915443016877,-0.07377451456347828
B23,ft,hubert_tsne_3d,tr_10,1,corrected,2,3,0.1,0.0010037010865477953,-0.06849679552823236,0.020275382108721273,-0.07601563330450911,-0.08363076826000716,0.10017853728841242
B23,ft,hubert_tsne_3d,tr_10,2,corrected,3,1,0.1,1.0112267994344737,-0.43132244654734647,0.3736581071809609,-0.08362564638182414,-0.08227856809612513,-0.01610843495963449
B23,ft,hubert_tsne_3d,tr_10,3,corrected,1,2,0.1,0.0010037010865477953,2.58172559353947,-0.0684939813075006,-0.08209745262193839,-0.07601563330450802,-0.07408048755711537
B23,ft,hubert_tsne_3d,tr_12,1,corrected,2,3,0.1,0.0010037010865477953,-0.23784526651282265,0.2523461875296695,-0.07601420062125124,-0.0836290191230387,0.10017626232405052
B23,ft,hubert_tsne_3d,tr_12,2,corrected,3,1,0.1,1.2057235479592752,-0.4213277505552026,0.3349815962596692,-0.08362588123279607,-0.08227932743902423,-0.01610211783626328
B23,ft,hubert_tsne_3d,tr_12,3,corrected,1,2,0.1,0.0010037010865477953,2.6711251605090363,-0.23784493191555164,-0.08208432805303283,-0.07601420062125318,-0.07394989489172496
B23,ft,hubert_tsne_3d,tr_14,1,corrected,2,3,0.1,0.0010037010865477953,0.1517686333327696,-0.07469040175668801,-0.07601512652374841,-0.08363062541306422,0.10018399281275422
B23,ft,hubert_tsne_3d,tr_14,2,corrected,3,1,0.1,1.0725799196379306,-0.4408253996654633,0.2955219587805831,-0.08362541764718608,-0.08228001662649241,-0.016088422139425174
B23,ft,hubert_tsne_3d,tr_14,3,corrected,1,2,0.1,0.0010042533812169385,1.7788141253494754,0.151767910202214,-0.08219469495229229,-0.07601512653252324,-0.07518208350740659
B23,ft,hubert_tsne_3d,tr_16,1,corrected,2,3,0.1,0.0010038118823509747,0.44782241161356745,0.3457759207240196,-0.07601022019912987,-0.08362747389689222,0.10021354599166851
B23,ft,hubert_tsne_3d,tr_16,2,corrected,3,1,0.1,0.0010044974129350727,0.34577177301299816,2.368414723225584,-0.08362747394877804,-0.08212662844182125,-0.017946799491708347
B23,ft,hubert_tsne_3d,tr_16,3,corrected,1,2,0.1,0.0010037010865477953,2.3684191949585816,0.4478221528443828,-0.08212662799028954,-0.0760102201933081,-0.07447533092074149
B23,ft,hubert_tsne_3d,tr_18,1,corrected,2,3,0.1,0.0010037010865477953,0.5853356177127931,-0.13655533424649505,-0.07600629409285349,-0.08363026441562153,0.10030709185023781
B23,ft,hubert_tsne_3d,tr_18,2,corrected,3,1,0.1,0.001005477979857628,-0.13656115430289675,2.4118390780116257,-0.08363026436400439,-0.08212089294101808,-0.01804814841211912
B23,ft,hubert_tsne_3d,tr_18,3,corrected,1,2,0.1,1.003479215626686,0.32620200228427304,-0.3690441394849642,-0.08227948857353888,-0.07601200846835918,-0.07617305617520972
B23,ft,hubert_tsne_3d,tr_20,1,corrected,2,3,0.1,0.001007034434817863,0.8967608388461504,0.3960013821699614,-0.07599350450195679,-0.08362644283651041,0.10044198362186446
B23,ft,hubert_tsne_3d,tr_20,2,corrected,3,1,0.1,0.0010037010865477953,0.3960186071545176,2.909230417037313,-0.0836264424442306,-0.08204628840918288,-0.018895387497818206
B23,ft,hubert_tsne_3d,tr_20,3,corrected,1,2,0.1,1.4732627104680778,0.2532630642983487,-0.41287381917858096,-0.08228065872420223,-0.07601106438462411,-0.07619766828305624
B23,ft,hubert_tsne_3d,tr_22,1,corrected,2,3,0.1,0.0010037010865477953,0.41342846611459344,0.22075687318266154,-0.07601104030278132,-0.08362943247946922,0.10022744257072269
B23,ft,hubert_tsne_3d,tr_22,2,corrected,3,1,0.1,0.0010037010865477953,0.2207568033172023,3.183553556948697,-0.08362943247947359,-0.08200011261214817,-0.019482612987064475
B23,ft,hubert_tsne_3d,tr_22,3,corrected,1,2,0.1,1.7047841710141551,0.20538854086633154,-0.5606597014373149,-0.08228126652147406,-0.07600710547567463,-0.07625260659012803
B23,ft,hubert_tsne_3d,tr_24,1,corrected,2,3,0.1,0.0010037010865477953,0.7018996173364282,0.7948446564844253,-0.07600214085055364,-0.08361330154049404,0.10014403021760351
B23,ft,hubert_tsne_3d,tr_24,2,corrected,3,1,0.1,0.001003910044876774,0.794844798121403,2.852145487826736,-0.08361330157658312,-0.08205606945055326,-0.018624215246464803
B23,ft,hubert_tsne_3d,tr_24,3,corrected,1,2,0.1,0.0010042301595867245,2.852145161158303,0.7018998471700376,-0.08205606955653541,-0.0760021409037372,-0.07377795068074931
