feature_key,status,run_dir
mfcc39,cached,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\acoustic_baselines\components\within_condition\c2\m\r\f-5370270988
strf24_legacy,cached,C:\Users\Alex\Documents\GitHub\cross-talker-generalization-final-review-2026-08-21\cross_talker_generalization\analysis\acoustic_baselines\components\within_condition\c2\m\r\f-c9fed7836e
