talker_id,AN19.ENG.em1,AN19.ENG.em3,AN19.ENG.em2,AN19.ENG.ef1,AN19.ENG.ef2,AN19.ENG.ef3,AN19.MIX.if6,AN19.MIX.if4,AN19.MIX.im2,AN19.MIX.im3,AN19.MIX.im5,AN19.MIX.if2,AN19.MIX.im4,AN19.MIX.if1,AN19.KOR.kf5,AN19.KOR.km1,AN19.KOR.kf3,AN19.KOR.kf6,AN19.KOR.kf1,AN19.KOR.kf2,AN19.KOR.km3,AN19.KOR.km8,AN19.KOR.km7,AN19.KOR.kf4,AN19.KOR.km2,AN19.KOR.km6,AN19.MIX.im6,AN19.SPA.sf1,AN19.SPA.sf4,AN19.SPA.sf2,AN19.SPA.sf6,AN19.SPA.sf3,AN19.SPA.sm6,AN19.SPA.sf5,AN19.SPA.sm4,AN19.SPA.sm5,AN19.SPA.sm7,AN19.SPA.sm3,AN19.SPA.sm2,AN19.MIX.im1,AN19.MIX.if3,AN19.MIX.if5
AN19.ENG.em1,,0.0010122113678641,0.0016805956228436,0.001970038707723,0.0001810211001863,0.0001588885076513,0.0005937288605203,0.001543987515296,0.0012024835488984,0.0003081024525315,0.001085252539555,0.0004118818094612,9.838924264734424e-05,0.0001814866252338,0.0005226828322606,2.674286440853325e-05,0.0004268769288858,6.098776072594333e-05,1.7636313413727878e-05,0.0003293819158746,0.0004244665462773,0.000392180732297,0.0008642797846297,0.0001164158595862,0.0005463500970159,0.0001933252405789,0.0003834183125036,6.24305937466436e-05,0.0001217213726174,0.0001227153889483,3.563340083999947e-05,8.195544576623433e-05,0.0001291323696887,0.0003879802348883,0.0006215931565223,0.0009558193833427,0.0011652183536247,0.000349419192764,0.000209421182693,0.0002213629479469,9.308417513301434e-05,1.3153271168759746e-06
AN19.ENG.em3,0.0010122113678641,,0.0011715950147556,0.0002923725086505,0.0001522542417361,0.0001215374936704,0.0004178500257598,0.0004263620566594,0.0004446511124317,0.000189484733552,0.0003431283960703,0.0001864165157762,4.437269529897619e-05,0.0001271427858508,8.793951671354036e-05,1.018278635939466e-05,6.342570267763172e-05,6.284043446005492e-05,8.530937200656381e-05,7.124662101452338e-05,0.0003865612435342,0.0010399242291645,0.0010467838087413,3.012954312918997e-05,8.616999808893036e-05,7.19903931713573e-05,7.228578547552532e-05,7.467881740832157e-06,0.0001559003112512,1.9068708998531296e-05,2.3050519832626876e-05,5.370567796533926e-05,0.0005211818585563,0.0001612257281414,0.0003312019906559,0.0005474623380538,9.829869963314756e-05,4.618469564277455e-05,5.463690957331786e-05,3.555046722963736e-05,0.0001135395470515,5.249714950706528e-07
AN19.ENG.em2,0.0016805956228436,0.0011715950147556,,0.0013742061369549,0.0022915666735925,0.0002936658247087,0.0013693249219241,0.0003470358338699,0.0017621888427371,0.0006455377733657,0.0003383231889381,0.0003369387137486,0.0003585159140992,5.274786526116487e-05,0.0001646760266945,2.3692161486246067e-05,0.0005084091339568,0.0004731612466476,4.187031095823624e-05,0.0001892389485868,0.0004748851658761,0.000811012841183,0.0006125493308192,0.0003572552498022,0.0002369547320893,0.000260946283447,0.0004076494693632,4.198029158015018e-05,4.480599163265775e-05,0.0001015826259526,0.0002762997906527,0.0001342041214978,0.000155741810514,0.0011955491564808,0.0001310834832118,0.0002636280477366,0.0004267451267913,0.00016241758783,0.0013997905900851,0.0001535977658493,2.155085403451319e-05,1.3105913655491868e-06
AN19.ENG.ef1,0.001970038707723,0.0002923725086505,0.0013742061369549,,0.0039185020305833,0.0002653153812746,0.0004881000176484,0.0003899433732649,0.0010055712653195,0.0003491084993468,5.075640649272358e-05,0.0005032359588958,0.0001527703047188,5.493887715337684e-05,0.0002275874712053,2.640356192457533e-05,0.0013680260735472,0.0002112407030538,7.31493500679168e-05,0.0006756591804421,3.149667648836177e-05,0.0002845248977339,0.0004808198800091,0.000115873274644,0.0007449642825977,0.0002489983799697,0.0003820421483277,3.077184463028019e-05,9.593987450679412e-05,0.0002863494108294,2.607761051593565e-05,0.0004881823444901,0.0001729976403076,0.0011242548314123,0.0002594587682128,0.0016352124295115,0.0004329817637752,0.0002293647524596,0.0002786790309458,0.0001996846168894,9.611658207653836e-05,5.1421581435390273e-05
AN19.ENG.ef2,0.0001810211001863,0.0001522542417361,0.0022915666735925,0.0039185020305833,,0.0023317176481584,0.0004174491569353,0.0017545000423704,0.0003829290847818,0.0003666118012223,0.0013260019022345,6.48959365986836e-05,0.0002557735479145,9.985539219567726e-05,0.0013393258607436,3.497204611101921e-05,0.0007594992428457,0.0003145098373771,2.2465927124810872e-05,0.0002013125654264,9.900219167387457e-05,0.0003498428610877,0.0005564305696184,0.0003873712489403,0.0003360662076077,0.0001591842498462,0.000252468621882,9.604070833262814e-06,0.0001456513822579,0.0001014788544466,2.5602556976196372e-05,0.0003410691927061,5.51623616918083e-05,0.0012648401686153,0.0003555721563437,0.0001999542597871,6.654064991570938e-05,0.0001162715333038,0.0008019661775518,7.847057199149707e-05,0.0001130440069186,1.8795930592731528e-06
AN19.ENG.ef3,0.0001588885076513,0.0001215374936704,0.0002936658247087,0.0002653153812746,0.0023317176481584,,0.0002077622498007,0.0002549176278396,2.7556903182444024e-05,3.272790738685603e-05,5.773991699698327e-05,9.582191432186366e-06,0.0003840960613245,0.0001486394825176,0.0002015852438155,5.196306318484806e-06,0.0002866721476991,6.345167654564705e-05,5.042942918327446e-05,0.0001436980946297,4.059853156551392e-05,0.0002143129410135,0.0002997460945023,0.0001252427149829,9.605644541893937e-05,1.8061902556781376e-05,0.0001057685823785,5.15893653131529e-05,1.1584154309198175e-05,7.181394231458538e-05,8.989784531714074e-05,8.000365808642471e-05,7.19039604250399e-06,9.921356352017784e-05,5.475763260622957e-05,3.445391570872675e-05,1.6132839159237643e-05,1.346254956913451e-05,4.767515905670749e-05,0.0001156054323361,2.5266701244767777e-05,2.365386247246155e-07
AN19.MIX.if6,0.0005937288605203,0.0004178500257598,0.0013693249219241,0.0004881000176484,0.0004174491569353,0.0002077622498007,,0.0005103849163783,0.0004964966957562,0.0007509956139989,0.0001868002872747,0.0004528590053932,0.0001938813685255,0.0001171468345648,0.0001469027152557,4.8842549259625627e-05,0.0005078419538384,4.999023011565645e-05,6.26387782279175e-05,0.0004046765009108,0.0001166241240299,0.0002731937440146,0.000111879901858,0.0005370171470065,0.0002425005519817,0.0005794850082048,0.0002121890410861,0.0001427943297081,2.005015459952606e-05,5.991689349849627e-05,0.0001294549002477,0.000211992832156,6.469024685671392e-05,0.0001555738049481,0.0002525813653895,0.0004696739904121,9.784409643694054e-05,4.540290582203043e-05,4.4839098899918056e-05,9.011347562924108e-05,4.2314744103649e-05,7.906735205002233e-05
AN19.MIX.if4,0.001543987515296,0.0004263620566594,0.0003470358338699,0.0003899433732649,0.0017545000423704,0.0002549176278396,0.0005103849163783,,0.0003413134180497,0.0002007654428872,0.0011993008389726,0.0002149831799662,0.0001052230563851,0.0006450827527841,0.001240050527402,2.917310365338436e-05,0.0016158983800837,0.0001460928688009,0.0001560821778269,0.0006011874418021,0.0004209461493929,0.0009375779896733,0.0011087026302676,0.0007150266009376,0.000197129765304,0.0006441890129488,0.0003945874832507,8.451325007094553e-05,8.305398343740767e-05,5.258843725660648e-05,0.000124364839221,0.000225673592115,8.465676383914337e-05,0.0012748101147799,0.0002812674503581,0.0001263448170081,4.59465284284872e-05,0.0002185485852085,0.0002978984893497,3.173534972876843e-05,3.318295107801759e-05,3.8075113369306144e-06
AN19.MIX.im2,0.0012024835488984,0.0004446511124317,0.0017621888427371,0.0010055712653195,0.0003829290847818,2.7556903182444024e-05,0.0004964966957562,0.0003413134180497,,0.0014525807090724,9.449993848931844e-05,0.0001803032204818,0.0001101404326994,4.653865181404065e-05,3.0111284158693487e-05,4.65951925209293e-05,9.620427280175532e-05,5.815928092729236e-05,0.0001209941538773,4.958922793993023e-05,6.561613017046992e-05,0.0005144574316309,0.0002533661495835,0.0001491560020831,0.0007614144293929,9.216890624409664e-05,0.0005444479619592,3.728296015602728e-05,0.0002127552215152,3.0978307708648e-05,1.4867668182434513e-05,8.631505281358714e-05,0.0002609943203769,0.0005465268348518,0.0005532807718219,0.0006502017036333,0.0009437418335853,0.0003964655678405,0.000544026004847,0.0002055288481444,7.875789031875887e-05,8.59440907441897e-06
AN19.MIX.im3,0.0003081024525315,0.000189484733552,0.0006455377733657,0.0003491084993468,0.0003666118012223,3.272790738685603e-05,0.0007509956139989,0.0002007654428872,0.0014525807090724,,0.0001095855621644,7.306247342390091e-05,0.0001675942837909,0.0001147093314903,4.956399699910545e-05,0.0001217505980401,0.0001630567132442,0.0001292277684245,3.058230415423804e-05,5.806557608396169e-05,0.0002997470589824,0.0004486383877275,0.0006471080753369,0.0001359487964069,0.00011264097092,0.0001995466042439,0.0006069853314063,4.527864691421264e-05,0.000310377290986,5.906364022101464e-05,4.179845752440614e-05,0.0003721582055032,0.000316798629295,0.0005197079594383,0.0008146967333613,0.0002291963541332,0.0003566678944449,0.0002059600502147,0.0005049821940531,0.0001746921138764,3.841039918270699e-05,1.55189171863587e-06
