dataset_id,feature_key,fold,model_id,train_mean_log_loss,train_total_log_loss,train_total_trials,test_mean_log_loss,test_total_log_loss,test_total_trials,train_predictor_mean,train_predictor_sd,random_structure,formula,prediction_convention,likelihood_convention,predictor_column,predictor_term,predictor_direction,ratio,ratio_status,invalid_reason,fit_warning,has_fit_warning,run_label,family,variant,stratum,measure,layer
AN19,cnn_3,0,M_null,0.692136623020008,2623.88993786885,3791,0.695310909407465,1316.91886241774,1894,26.232575089782,4.9249944189566,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0045862135911934,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_3
AN19,cnn_3,0,M_condition,0.679893395862702,2577.4758637155,3791,0.684972386211616,1297.3376994848,1894,26.232575089782,4.9249944189566,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0074702745751332,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_3
AN19,cnn_3,0,M_predictor,0.678390682333972,2571.77907672809,3791,0.683255490245347,1294.08589852469,1894,26.232575089782,4.9249944189566,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.007171100721251,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_3
AN19,cnn_3,0,M_joint,0.670190531527585,2540.69230502107,3791,0.676226265347783,1280.7725465687,1894,26.232575089782,4.9249944189566,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0090059968565066,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_3
AN19,cnn_3,1,M_null,0.69473513033193,2633.04614395801,3790,0.692965405193555,1313.16944284179,1895,26.1941780629151,4.91310340037962,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.9974526620850028,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_3
AN19,cnn_3,1,M_condition,0.681518412125796,2582.95478195677,3790,0.684917844322057,1297.9193149903,1895,26.1941780629151,4.91310340037962,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0049880269348226,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_3
AN19,cnn_3,1,M_predictor,0.68028254152235,2578.27083236971,3790,0.679776185667066,1288.17587183909,1895,26.1941780629151,4.91310340037962,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.9992556683078315,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_3
AN19,cnn_3,1,M_joint,0.669295817258322,2536.63114740904,3790,0.674778386711863,1278.70504281898,1895,26.1941780629151,4.91310340037962,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + similarity_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0081915489566327,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_3
AN19,cnn_3,2,M_null,0.689888541811455,2613.9876849236,3789,0.688566500985719,1305.52208586892,1896,26.1870580480873,4.92056400633444,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,0.9980836892546951,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_3
AN19,cnn_3,2,M_condition,0.684246347530951,2592.60941079478,3789,0.684802391518476,1298.38533431903,1896,26.1870580480873,4.92056400633444,participant_item_talker_intercepts,"cbind(response_correct, response_incorrect) ~ condition_id + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",fixed_effects_only_re_form_NA,word_response_bernoulli_no_binomial_coefficient,raw_distance,similarity_z,-1,1.0008126371292028,ok,,,False,AN19-base,SBI,base,all_participants,similarity,cnn_3
