dataset_id,model_variant,representation,layer,fold,type,alpha,k,z_train,z_test,poll_train,poll_test,optimism
AN19,ft,hubert_tsne_3d,cnn_2,1,corrected,0.1,0.11710914072423073,6.257008840122019,5.849509910707112,-0.6466385388553452,-0.6429860811943797,-0.005648376088797442
AN19,ft,hubert_tsne_3d,cnn_2,2,corrected,0.1,0.11710914072423073,5.849562692702103,4.210005460385277,-0.6429860811945308,-0.6491715087266092,0.009619846701171508
AN19,ft,hubert_tsne_3d,cnn_2,3,corrected,0.1,0.04203988916437662,4.1467660576070156,6.159717395500535,-0.6479865065972602,-0.6462342323751455,-0.002704183195598146
AN19,ft,hubert_tsne_3d,cnn_3,1,corrected,0.1,0.04203988916437662,4.939968058931984,4.672811964384016,-0.6576382311912484,-0.6523989886792807,-0.007966754764967571
AN19,ft,hubert_tsne_3d,cnn_3,2,corrected,0.1,0.04203988916437662,4.672810342558712,3.149929316370145,-0.6523989886788129,-0.6580379989284133,0.008643499373014252
AN19,ft,hubert_tsne_3d,cnn_3,3,corrected,0.1,0.004696163979037417,3.1437393184037026,4.873142165800395,-0.6572054572498844,-0.6576291739803948,0.0006447249118767292
AN19,ft,hubert_tsne_3d,cnn_4,1,corrected,0.1,0.3128330461520691,3.2511600783115107,2.9678594242064453,-0.6679855919946392,-0.6661905361462991,-0.002687267315122826
AN19,ft,hubert_tsne_3d,cnn_4,2,corrected,0.1,0.3128330461520691,2.967889207931537,2.5683722590149425,-0.6661905361788626,-0.667872649707015,0.0025249736176089607
AN19,ft,hubert_tsne_3d,cnn_4,3,corrected,0.1,0.11710914072423073,2.2627482194639867,2.818359152637886,-0.666519970867689,-0.6678626333905778,0.0020144370485117393
AN19,ft,hubert_tsne_3d,cnn_5,1,corrected,0.1,0.8019648295935975,1.4259632951017358,0.28478146006185706,-0.6704988913547387,-0.6719547385026783,0.0021712894185373366
AN19,ft,hubert_tsne_3d,cnn_5,2,corrected,0.1,0.8019648295935975,0.28477826722358474,0.4028490905482778,-0.671954738502104,-0.6721099841596591,0.00023103588479956216
AN19,ft,hubert_tsne_3d,cnn_5,3,corrected,0.1,0.004696163979037417,-0.42128698934532544,1.0708649725123376,-0.663235236212724,-0.668742351776473,0.008303412217958094
AN19,ft,hubert_tsne_3d,cnn_6,1,corrected,0.1,0.8019648295935975,0.7104569959125348,1.679591739304586,-0.6732165477647457,-0.6704370388506565,-0.004128699633599134
AN19,ft,hubert_tsne_3d,cnn_6,2,corrected,0.1,0.20885618981881046,1.2220588443759588,0.2787501131867122,-0.6664408687181411,-0.666602393357245,0.00024236904830669798
AN19,ft,hubert_tsne_3d,cnn_6,3,corrected,0.1,0.7030370490436815,1.043430064980083,0.6559838491686224,-0.6711462462166734,-0.6729980908690656,0.0027592267152371677
AN19,ft,hubert_tsne_3d,tr_0,1,corrected,0.1,0.11710914072423073,0.9487177723000976,1.197228479424703,-0.6689599350057684,-0.6661474481105412,-0.0042042680705579654
AN19,ft,hubert_tsne_3d,tr_0,2,corrected,0.1,0.11710914072423073,1.1972199700794066,0.12814964595939282,-0.6661474481106161,-0.6652651853164142,-0.0013244256908950744
AN19,ft,hubert_tsne_3d,tr_0,3,corrected,0.1,0.04203988916437662,-0.02234851971980485,0.9113762257662067,-0.6651845423602486,-0.6687581841275927,0.005372406512430187
AN19,ft,hubert_tsne_3d,tr_2,1,corrected,0.1,0.18699480609272318,0.9991689490294663,1.6510254258976176,-0.670557392794446,-0.667037760882024,-0.005248815314308091
AN19,ft,hubert_tsne_3d,tr_2,2,corrected,0.1,0.1948405907168116,1.648087021220855,0.16924910228865614,-0.6671175546778968,-0.6690660562589388,0.002920776956593168
AN19,ft,hubert_tsne_3d,tr_2,3,corrected,0.1,0.11710914072423073,0.16134331321697387,0.9403837196705438,-0.667726576290074,-0.6700990885409799,0.003553119398193876
AN19,ft,hubert_tsne_3d,tr_4,1,corrected,0.1,1.5264204999697353,0.8131403972127695,0.19075783795198625,-0.6725287400692883,-0.6720107400371483,-0.0007702273542787302
AN19,ft,hubert_tsne_3d,tr_4,2,corrected,0.1,0.004696163979037417,2.6586048151906367,0.9037272661925507,-0.6622121478762487,-0.662596320152481,0.0005801347460393058
AN19,ft,hubert_tsne_3d,tr_4,3,corrected,0.1,0.004696163979037417,0.9037346623801652,1.9994017668675605,-0.6625963201532244,-0.6667270121795181,0.006234100463066961
AN19,ft,hubert_tsne_3d,tr_6,1,corrected,0.1,0.20885618981881046,7.607422177645773,7.037986427579824,-0.6390279430621337,-0.6307539389031774,-0.012947797117147034
AN19,ft,hubert_tsne_3d,tr_6,2,corrected,0.1,0.11710914072423073,7.414136028257772,6.453499449685553,-0.62626502204544,-0.6317881321542194,0.008819125952045636
AN19,ft,hubert_tsne_3d,tr_6,3,corrected,0.1,0.04203988916437662,6.298407487170961,7.855296990785837,-0.6302313514548904,-0.6337764284768417,0.005625040731102101
AN19,ft,hubert_tsne_3d,tr_8,1,corrected,0.1,0.04203988916437662,8.884241631706447,9.258515245673404,-0.6205612940620384,-0.6087800196386678,-0.018984868273451864
AN19,ft,hubert_tsne_3d,tr_8,2,corrected,0.1,0.01697220958787298,9.320334401543949,7.359622505948061,-0.607075602559252,-0.6112636846596202,0.006898781770693025
AN19,ft,hubert_tsne_3d,tr_8,3,corrected,0.1,0.011450553933621337,7.343589186154944,8.904877041092767,-0.6111706112314538,-0.6193599203297434,0.013399383000090451
AN19,ft,hubert_tsne_3d,tr_10,1,corrected,0.1,0.04203988916437662,9.741487351635572,9.756191909581341,-0.6153631184349747,-0.5998901585265954,-0.025144438210289482
AN19,ft,hubert_tsne_3d,tr_10,2,corrected,0.1,0.04203988916437662,9.75609582359441,7.815332389319536,-0.599890158518085,-0.6045729083854767,0.007806012152223911
AN19,ft,hubert_tsne_3d,tr_10,3,corrected,0.1,0.04203988916437662,7.8153221037273495,9.74147885084566,-0.6045729083761472,-0.6153631184231547,0.0178476572428452
AN19,ft,hubert_tsne_3d,tr_12,1,corrected,0.1,0.011450553933621337,9.165413952438168,9.908447495518763,-0.624243726957699,-0.6138554565980494,-0.01664136924575546
AN19,ft,hubert_tsne_3d,tr_12,2,corrected,0.1,0.011450553933621337,9.908529347630678,7.842087594770287,-0.6138554565962252,-0.6174377623391911,0.005835747983457687
AN19,ft,hubert_tsne_3d,tr_12,3,corrected,0.1,0.004696163979037417,7.817421187814369,9.153753681840383,-0.6180628177128702,-0.624279837772275,0.010058880555880707
AN19,ft,hubert_tsne_3d,tr_14,1,corrected,0.1,0.04203988916437662,10.207203756420398,9.029692977148025,-0.619653804847431,-0.6092373407082422,-0.01681013504266878
AN19,ft,hubert_tsne_3d,tr_14,2,corrected,0.1,0.01697220958787298,9.203644807659995,8.213499995334464,-0.6084453054904954,-0.6091073873565186,0.0010881534626838807
AN19,ft,hubert_tsne_3d,tr_14,3,corrected,0.1,0.004696163979037417,8.182495516374308,10.250860640286774,-0.6097912486603883,-0.6192367618546397,0.015489748688590915
AN19,ft,hubert_tsne_3d,tr_16,1,corrected,0.1,0.04203988916437662,11.360415420783797,10.012858889457643,-0.6201951584738287,-0.6125612360102065,-0.012308903672204814
AN19,ft,hubert_tsne_3d,tr_16,2,corrected,0.1,0.04203988916437662,10.012817657956557,9.25672477346074,-0.6125612360020619,-0.6076582636078203,-0.008004052666213997
AN19,ft,hubert_tsne_3d,tr_16,3,corrected,0.1,0.04203988916437662,9.256759741991125,11.360443026442013,-0.607658263601861,-0.6201951584755492,0.02063148915210399
AN19,ft,hubert_tsne_3d,tr_18,1,corrected,0.1,0.011450553933621337,9.654794150519022,8.720021042857853,-0.6284832660894739,-0.6205367201251047,-0.012644005645232022
AN19,ft,hubert_tsne_3d,tr_18,2,corrected,0.1,0.011450553933621337,8.719953421570873,8.79570909331973,-0.6205367200852637,-0.618800535465559,-0.002797875715503425
AN19,ft,hubert_tsne_3d,tr_18,3,corrected,0.1,0.04203988916437662,8.785408765634768,9.617208735405951,-0.6155542065877675,-0.6262477142316715,0.017372162401718988
