dataset_id,feature_key,scope,fold,model_id,term,estimate,std_error,z_value,p_value,conf_low,conf_high
AN19,cnn_2::overall,cv_train,0.0,M_condition,(Intercept),1.63848440119656,0.356238279407181,4.59940577953379,4.23697769428247e-06,0.940257373558486,2.33671142883463
AN19,cnn_2::overall,cv_train,0.0,M_condition,condition_idAN19.Korean.test_Spanish,-1.80815441351588,0.504123587774745,-3.5867284478738,0.0003348527129984,-2.79623664555438,-0.82007218147738
AN19,cnn_2::overall,cv_train,0.0,M_condition,condition_idAN19.Mixed.test_Korean,-0.371055936438531,0.204008724640654,-1.81882386202903,0.0689383066769661,-0.770913036734212,0.0288011638571499
AN19,cnn_2::overall,cv_train,0.0,M_condition,condition_idAN19.Mixed.test_Spanish,-1.75674114582964,0.50548187372501,-3.47537911277375,0.0005101318553103,-2.74748561833066,-0.765996673328621
AN19,cnn_2::overall,cv_train,0.0,M_condition,condition_idAN19.Spanish.test_Korean,-0.473717714954129,0.19335295420143,-2.45001539754403,0.0142850105889899,-0.85268950518893,-0.0947459247193267
AN19,cnn_2::overall,cv_train,0.0,M_condition,condition_idAN19.Spanish.test_Spanish,-1.57628384102826,0.505368353493615,-3.119079044288,0.0018141728543349,-2.56680581387575,-0.585761868180778
AN19,cnn_2::overall,cv_train,0.0,M_joint,(Intercept),1.65391409208172,0.362088713340084,4.56770407678605,4.93095509775111e-06,0.944220213935151,2.36360797022828
AN19,cnn_2::overall,cv_train,0.0,M_joint,condition_idAN19.Korean.test_Spanish,-1.79877019967621,0.505626924299005,-3.55750477918082,0.000374394291824,-2.78979897130226,-0.807741428050158
AN19,cnn_2::overall,cv_train,0.0,M_joint,condition_idAN19.Mixed.test_Korean,-0.406736104832407,0.252476623577263,-1.61098520357841,0.107182947485941,-0.901590287043842,0.0881180773790279
AN19,cnn_2::overall,cv_train,0.0,M_joint,condition_idAN19.Mixed.test_Spanish,-1.79121346401567,0.525606819508394,-3.40789616407757,0.0006546580137199,-2.82140283025212,-0.761024097779215
AN19,cnn_2::overall,cv_train,0.0,M_joint,condition_idAN19.Spanish.test_Korean,-0.491362564043529,0.206771785944383,-2.3763520820761,0.0174847701913895,-0.896635264494521,-0.0860898635925382
AN19,cnn_2::overall,cv_train,0.0,M_joint,condition_idAN19.Spanish.test_Spanish,-1.59357865443445,0.510524074028007,-3.12145643174317,0.0017995887413858,-2.59420583952934,-0.592951469339556
AN19,cnn_2::overall,cv_train,0.0,M_joint,variability_z,-0.0220179900605243,0.0919315136705919,-0.23950426987876,0.810714585914269,-0.202203756854884,0.158167776733836
AN19,cnn_2::overall,cv_train,0.0,M_null,(Intercept),0.651545712183205,0.28036701845634,2.32390284624248,0.0201307016893604,0.10202635600878,1.20106506835763
AN19,cnn_2::overall,cv_train,0.0,M_predictor,(Intercept),0.651638266487327,0.280475453419641,2.32333439002365,0.0201611957296389,0.101906377784831,1.20137015518982
AN19,cnn_2::overall,cv_train,0.0,M_predictor,variability_z,0.0259002986719459,0.0628377738579478,0.412177215738045,0.68020953582161,-0.0972617380896319,0.149062335433524
