talker_id,AN19.MIX.if1,AN19.MIX.if6,AN19.MIX.if2,AN19.MIX.if4,AN19.MIX.im2,AN19.MIX.im6,AN19.MIX.if5,AN19.KOR.kf1,AN19.KOR.kf2,AN19.KOR.kf3,AN19.KOR.kf4,AN19.KOR.kf5,AN19.KOR.kf6,AN19.KOR.km1,AN19.KOR.km2,AN19.KOR.km3,AN19.KOR.km6,AN19.KOR.km7,AN19.KOR.km8,AN19.MIX.if3,AN19.MIX.im1,AN19.SPA.sf1,AN19.SPA.sf2,AN19.SPA.sf3,AN19.SPA.sf4,AN19.SPA.sf5,AN19.SPA.sf6,AN19.SPA.sm2,AN19.SPA.sm3,AN19.SPA.sm4,AN19.SPA.sm5,AN19.SPA.sm6,AN19.SPA.sm7,AN19.MIX.im4,AN19.MIX.im3,AN19.MIX.im5
AN19.MIX.if1,,0.0001171468345648,0.0004011210153765,0.0006450827527841,4.653865181404065e-05,0.0002251988986838,2.0604115704976205e-06,8.010361837521894e-05,0.0001216224686081,0.0001046521583691,0.000233715540001,7.690284861636719e-05,0.0002099858015845,2.194504951495673e-05,9.71485698548051e-05,0.0009419119907632,3.5732749434124984e-05,0.000329744493832,0.0007395120504308,7.062264501060001e-05,1.5592431052382077e-05,0.0001565493662721,0.0004396039479615,0.0003799892129752,0.0004149264916717,0.0003017582766476,9.636380507939044e-05,6.650413073613324e-05,0.0003087582813537,0.0002744679803043,4.861170444175683e-05,2.3091835475860346e-05,4.6819261978404526e-05,0.0005448227966829,0.0001147093314903,1.999772286964807e-05
AN19.MIX.if6,0.0001171468345648,,0.0004528590053932,0.0005103849163783,0.0004964966957562,0.0002121890410861,7.906735205002233e-05,6.26387782279175e-05,0.0004046765009108,0.0005078419538384,0.0005370171470065,0.0001469027152557,4.999023011565645e-05,4.8842549259625627e-05,0.0002425005519817,0.0001166241240299,0.0005794850082048,0.000111879901858,0.0002731937440146,4.2314744103649e-05,9.011347562924108e-05,0.0001427943297081,5.991689349849627e-05,0.000211992832156,2.005015459952606e-05,0.0001555738049481,0.0001294549002477,4.4839098899918056e-05,4.540290582203043e-05,0.0002525813653895,0.0004696739904121,6.469024685671392e-05,9.784409643694054e-05,0.0001938813685255,0.0007509956139989,0.0001868002872747
AN19.MIX.if2,0.0004011210153765,0.0004528590053932,,0.0002149831799662,0.0001803032204818,5.989781598953226e-05,1.1844019790561151e-05,0.0001393115373334,0.0003481852548202,0.0001489710613869,9.0064577381325e-05,0.0001391097944661,0.0013961872820351,2.708637289397724e-05,0.0001629820831637,4.845853595204081e-05,4.490950948382289e-05,0.0005171851445618,0.0001111418619237,9.49532685945636e-05,6.331789338685593e-05,1.4869421440608734e-05,6.362257670754352e-05,0.0008632020318129,0.0001775079933387,0.0006526374868001,0.0005643040756442,0.0001023432898908,0.0002032556958273,0.0001037152606918,0.0003346129739982,0.0003730888270211,0.0001525167995958,1.9452713205189445e-05,7.306247342390091e-05,6.758376223153811e-05
AN19.MIX.if4,0.0006450827527841,0.0005103849163783,0.0002149831799662,,0.0003413134180497,0.0003945874832507,3.8075113369306144e-06,0.0001560821778269,0.0006011874418021,0.0016158983800837,0.0007150266009376,0.001240050527402,0.0001460928688009,2.917310365338436e-05,0.000197129765304,0.0004209461493929,0.0006441890129488,0.0011087026302676,0.0009375779896733,3.318295107801759e-05,3.173534972876843e-05,8.451325007094553e-05,5.258843725660648e-05,0.000225673592115,8.305398343740767e-05,0.0012748101147799,0.000124364839221,0.0002978984893497,0.0002185485852085,0.0002812674503581,0.0001263448170081,8.465676383914337e-05,4.59465284284872e-05,0.0001052230563851,0.0002007654428872,0.0011993008389726
AN19.MIX.im2,4.653865181404065e-05,0.0004964966957562,0.0001803032204818,0.0003413134180497,,0.0005444479619592,8.59440907441897e-06,0.0001209941538773,4.958922793993023e-05,9.620427280175532e-05,0.0001491560020831,3.0111284158693487e-05,5.815928092729236e-05,4.65951925209293e-05,0.0007614144293929,6.561613017046992e-05,9.216890624409664e-05,0.0002533661495835,0.0005144574316309,7.875789031875887e-05,0.0002055288481444,3.728296015602728e-05,3.0978307708648e-05,8.631505281358714e-05,0.0002127552215152,0.0005465268348518,1.4867668182434513e-05,0.000544026004847,0.0003964655678405,0.0005532807718219,0.0006502017036333,0.0002609943203769,0.0009437418335853,0.0001101404326994,0.0014525807090724,9.449993848931844e-05
AN19.MIX.im6,0.0002251988986838,0.0002121890410861,5.989781598953226e-05,0.0003945874832507,0.0005444479619592,,1.1045012304717205e-06,1.1573991306720972e-05,0.000100156803848,0.0001622077927988,8.119763077796865e-05,0.0001877222223724,7.002779081751337e-05,6.642473526060194e-05,0.0001645138906411,0.0001019072245992,0.0004765996186706,0.0003128476712459,0.0005556831594009,3.3814471166426355e-05,7.713953784752748e-05,0.0001340481159766,3.4504573034041307e-05,0.0001810945658592,7.175711689750204e-05,0.0003001624026643,5.522958616160958e-05,0.0007498677645663,6.58635667474385e-05,0.0002103453354282,0.0004987054944187,0.0002908375354275,0.0001089724238294,0.0002947425257857,0.0006069853314063,0.0003524937970447
AN19.MIX.if5,2.0604115704976205e-06,7.906735205002233e-05,1.1844019790561151e-05,3.8075113369306144e-06,8.59440907441897e-06,1.1045012304717205e-06,,3.5176414240090817e-07,4.825073200329214e-06,8.029800712141956e-07,7.819103765436579e-05,1.4712509760959682e-05,1.3274273036665614e-06,3.984219262231439e-06,6.881848914350545e-07,6.627166405332718e-06,5.628572761820182e-07,9.234830290550816e-07,3.496142348156889e-06,2.388230517418574e-06,4.062313168351738e-06,3.5831362428596775e-07,1.342751802405852e-07,1.8757696604268287e-06,1.550441409552636e-07,5.611655396773245e-06,4.873554415372916e-07,3.876459232143166e-07,7.803937417075862e-07,1.1024321975234367e-06,2.072942227547804e-06,1.6506000818604397e-06,1.833411464048838e-07,7.457370598021701e-06,1.55189171863587e-06,1.5506520209093429e-06
AN19.KOR.kf1,8.010361837521894e-05,6.26387782279175e-05,0.0001393115373334,0.0001560821778269,0.0001209941538773,1.1573991306720972e-05,3.5176414240090817e-07,,8.601594818030494e-05,0.0002499958900996,0.0001392074898762,9.000956133797622e-05,3.715908477114847e-05,1.9396128627769157e-05,6.814738160165193e-05,3.8684810743457535e-05,0.0009177454429288,0.0001220281335658,6.172015385980695e-05,7.157849188765018e-05,1.153018955362643e-05,2.856012273644034e-05,3.791099405104499e-05,7.75914359262417e-05,4.346939773818323e-05,8.1648850424402e-05,0.0001872963398163,1.7094486565597803e-05,4.63262258142104e-05,0.0002663496557575,1.8403565913495644e-05,0.000282984832988,0.0005641593887726,0.0002214493549059,3.058230415423804e-05,8.912348644364821e-05
AN19.KOR.kf2,0.0001216224686081,0.0004046765009108,0.0003481852548202,0.0006011874418021,4.958922793993023e-05,0.000100156803848,4.825073200329214e-06,8.601594818030494e-05,,0.0013040546840092,9.588423440100878e-05,0.0003668355040437,0.0002532880075624,0.0002795605032669,0.000184977402798,4.567342515738595e-05,0.0003216142688082,0.0003385734176915,0.0001238099402384,5.575909409472885e-05,2.022994789219803e-05,7.84256952236203e-05,0.0001969319499287,0.0001246927970186,5.174945416387024e-05,0.000612920545716,0.0009062534920291,9.72150190315194e-05,3.456609981563804e-05,9.030857813961548e-05,8.912444245403838e-05,9.363538264017028e-05,2.6448887810120943e-05,0.0001828566297954,5.806557608396169e-05,6.0414986376744e-05
AN19.KOR.kf3,0.0001046521583691,0.0005078419538384,0.0001489710613869,0.0016158983800837,9.620427280175532e-05,0.0001622077927988,8.029800712141956e-07,0.0002499958900996,0.0013040546840092,,0.0003460642343012,0.0003071383943399,0.0003191138881948,0.0003683177871567,0.000147224782124,0.0002276472263109,0.0005090199948306,0.0015189737843728,0.0002898309801164,0.000203185050832,7.20291388481741e-05,0.0001707933022465,0.0005527201562558,0.0003457887133321,0.0003304373873789,0.0003706300184673,4.127115324082903e-05,0.0001222004541249,4.602351808684077e-05,0.0003617712328171,0.0010727590896005,0.0001595932759906,6.326014747530982e-05,0.0007194939662689,0.0001630567132442,0.0002176725579313
