dataset_id,model_variant,representation,layer,fold,type,k,z_train,z_test,poll_train,poll_test
X21,acoustic_baseline,strf24_legacy,global_z,0,diagnostic,0.1872126832469752,6.93534916895088,7.267824664599108,-0.23719421459842746,-0.29032543943299244
X21,acoustic_baseline,strf24_legacy,global_z,1,diagnostic,0.008795756054723578,7.899038206164416,6.566222971029459,-0.237709531598812,-0.28232992818166575
X21,acoustic_baseline,strf24_legacy,global_z,2,diagnostic,0.030887039533628063,9.546077857587653,3.150618507884536,-0.23793925599406995,-0.28199481604075544
X21,acoustic_baseline,strf24_legacy,global_z,0,corrected,0.07563182627844228,6.908169634882325,7.419099320055126,-0.2372191972791658,-0.29012657877646963
X21,acoustic_baseline,strf24_legacy,global_z,1,corrected,0.07563182627844228,7.819529084284661,6.61663654605823,-0.23773783269474905,-0.2822141103380907
X21,acoustic_baseline,strf24_legacy,global_z,2,corrected,0.07563182627844228,9.541980870904988,3.1347372466381698,-0.2379267244027197,-0.2820028499350836
