,HuBERT base Tr-24,HuBERT ASR-FT Tr-24,MFCC39,STRF24
HuBERT base Tr-24,1.0,0.5613895064193378,0.46296787071888845,0.46119576173150956
HuBERT ASR-FT Tr-24,0.5613895064193378,1.0,0.3799255259152701,0.3771274612865888
MFCC39,0.46296787071888845,0.3799255259152701,1.0,0.659461022701089
STRF24,0.46119576173150956,0.3771274612865888,0.659461022701089,1.0
