dataset_id,family,variant,method,feature_key,comparison,gain,ci_low,ci_high,n_rows,n_participants,total_trials,ceiling_ci_low,ceiling_ci_high
AN19,HVE,base,base,tr_24::within_type_word,predictor_only,-0.000854033234123112,-0.0026306061541647276,0.0008410184946994725,5760,120,5760,,
AN19,HVE,base,base,tr_24::within_type_word,predictor_beyond_condition,-0.0005243546310166741,-0.0023509253482943354,0.0012652858537922041,5760,120,5760,,
AN19,HVE,base,base,tr_24::within_type_word,condition_beyond_predictor,0.006275191888464768,-0.006264531906879696,0.019117513411557645,5760,120,5760,,
AN19,HVE,base,base,tr_24::within_type_word,predictor_only_percent_ceiling,-0.25031259266362754,-0.7878682591501448,0.23824340636871266,5760,120,5760,96.47358390118681,105.97883352593493
AN19,HVE,ft,ft,tr_24::between_type_word,predictor_only,-0.0005537419945781065,-0.0018855805800627697,0.0007607646751836447,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::between_type_word,predictor_beyond_condition,-0.000553141584820824,-0.001482865869992965,0.00034574929771413385,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::between_type_word,condition_beyond_predictor,0.005946113695115615,-0.006073034467385515,0.017500756996326767,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::between_type_word,predictor_only_percent_ceiling,-0.1622988295905043,-0.5601889812683359,0.21173728989935314,5760,120,5760,96.47358390118681,105.97883352593493
AN19,HVE,ft,ft,tr_24::mean_dissimilarity_word,predictor_only,-0.0002457108177023924,-0.002238416527210157,0.0017870857457214088,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::mean_dissimilarity_word,predictor_beyond_condition,0.0002064188536599159,-0.0009785768831179502,0.0013742150303696896,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::mean_dissimilarity_word,condition_beyond_predictor,0.00639764295672064,-0.005503723885965328,0.017748967600352158,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::mean_dissimilarity_word,predictor_only_percent_ceiling,-0.07201653210572796,-0.6722080788743775,0.516099745680829,5760,120,5760,96.47358390118681,105.97883352593493
AN19,HVE,ft,ft,tr_24::order_word,predictor_only,0.00014222022681896148,-0.001592517607633875,0.0017925339630241006,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::order_word,predictor_beyond_condition,5.9382173272616614e-05,-0.0012349820186234532,0.0014050004596875287,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::order_word,condition_beyond_predictor,0.005862675231811987,-0.006203130038400163,0.017190691396890074,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::order_word,predictor_only_percent_ceiling,0.04168399106952274,-0.4572826944681176,0.5300808429401652,5760,120,5760,96.47358390118681,105.97883352593493
AN19,HVE,ft,ft,tr_24::overall,predictor_only,-0.0006522080775432017,-0.0036582223613592034,0.0017913738664757334,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::overall,predictor_beyond_condition,-0.000521158937100905,-0.0013069702092804334,0.00022352531764593806,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::overall,condition_beyond_predictor,0.006076562425800628,-0.006439219364085327,0.017887695906990866,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::overall,predictor_only_percent_ceiling,-0.19115871411447335,-1.0648946085597106,0.5617112272392183,5760,120,5760,96.47358390118681,105.97883352593493
AN19,HVE,ft,ft,tr_24::overall_order_sensitive,predictor_only,9.362300306578556e-05,-0.0016585810218650526,0.0018803786368117269,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::overall_order_sensitive,predictor_beyond_condition,0.00010295861524029904,-0.0012001430137229153,0.0014109977725660521,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::overall_order_sensitive,condition_beyond_predictor,0.0059548488975328445,-0.005303168137955293,0.017529634581595354,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::overall_order_sensitive,predictor_only_percent_ceiling,0.027440403597892404,-0.49048868967963943,0.5654890211990057,5760,120,5760,96.47358390118681,105.97883352593493
AN19,HVE,ft,ft,tr_24::within_token_word,predictor_only,-0.000353033670929481,-0.002724388638899056,0.0016829338810900427,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::within_token_word,predictor_beyond_condition,-0.0005691750396292692,-0.0015468845815065388,0.00025749290415257216,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::within_token_word,condition_beyond_predictor,0.005729371916658541,-0.006530223209324979,0.01805971217332329,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::within_token_word,predictor_only_percent_ceiling,-0.10347228882568009,-0.7832062300252555,0.5084737511010884,5760,120,5760,96.47358390118681,105.97883352593493
AN19,HVE,ft,ft,tr_24::within_type_word,predictor_only,-0.00035858385620062705,-0.0015754276800692163,0.0007829565484791379,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::within_type_word,predictor_beyond_condition,-4.0491374952465665e-05,-0.0006305943360193291,0.0005507391849601856,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::within_type_word,condition_beyond_predictor,0.006263605766606491,-0.005836369480121328,0.01810096804755152,5760,120,5760,,
AN19,HVE,ft,ft,tr_24::within_type_word,predictor_only_percent_ceiling,-0.10509901857046629,-0.4617645820218555,0.24329140453342604,5760,120,5760,96.47358390118681,105.97883352593493
X21,SBI,base,HuBERT base,tr_24,predictor_only,0.010393403970699792,0.008091571670064081,0.012699220019976455,16477,320,16477,,
X21,SBI,base,HuBERT base,tr_24,predictor_beyond_condition,0.004847286283169813,0.004093699286765808,0.005600310985956866,16477,320,16477,,
X21,SBI,base,HuBERT base,tr_24,condition_beyond_predictor,0.0012146673168596336,-0.0030626446146626222,0.006038244396433664,16477,320,16477,,
X21,SBI,base,HuBERT base,tr_24,predictor_only_percent_ceiling,7.318404735233705,5.776186604161724,8.854671939469819,16477,320,16477,79.88342397630605,115.07691975609953
X21,SBI,ft,HuBERT ASR-FT,tr_24,predictor_only,0.010721979641846617,0.008550015962575765,0.012894758294757287,16477,320,16477,,
X21,SBI,ft,HuBERT ASR-FT,tr_24,predictor_beyond_condition,0.006465984384578461,0.005466768778242088,0.0074651682069477015,16477,320,16477,,
X21,SBI,ft,HuBERT ASR-FT,tr_24,condition_beyond_predictor,0.0025047897471214566,-0.002077178832056974,0.007182927767125501,16477,320,16477,,
X21,SBI,ft,HuBERT ASR-FT,tr_24,predictor_only_percent_ceiling,7.549767795342069,6.040050889080401,8.97496726238995,16477,320,16477,79.88342397630605,115.07691975609953
X21,SBI,acoustic,acoustic,mfcc39,predictor_only,0.005550968974687273,0.0020038364755117833,0.009090083665537329,16477,320,16477,,
X21,SBI,acoustic,acoustic,mfcc39,predictor_beyond_condition,-0.00018913367853976509,-0.000301159024736277,-7.888230127922837e-05,16477,320,16477,,
X21,SBI,acoustic,acoustic,mfcc39,condition_beyond_predictor,0.0010206823511625751,-0.0025315533409268143,0.004770720182743402,16477,320,16477,,
X21,SBI,acoustic,acoustic,mfcc39,predictor_only_percent_ceiling,3.9086556958635637,1.4592742919841712,6.211318364573854,16477,320,16477,79.88342397630605,115.07691975609953
X21,SBI,acoustic,acoustic,strf24_legacy,predictor_only,0.005063938184903931,0.0019908581281597613,0.007880936793324503,16477,320,16477,,
X21,SBI,acoustic,acoustic,strf24_legacy,predictor_beyond_condition,3.1793756747379597e-06,-0.00014863558876754065,0.0001469809894909523,16477,320,16477,,
X21,SBI,acoustic,acoustic,strf24_legacy,condition_beyond_predictor,0.0017000261951604196,-0.0022163237087763593,0.006172229504204781,16477,320,16477,,
X21,SBI,acoustic,acoustic,strf24_legacy,predictor_only_percent_ceiling,3.5657181512243716,1.4215959489672114,5.538468907992348,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::between_type_phoneme,predictor_only,-0.00022949472133636237,-0.000952100389913756,0.00044606663099887696,16477,320,16477,,
X21,HVE,base,base,tr_24::between_type_phoneme,predictor_beyond_condition,3.441040823380916e-05,-0.0008041862127270862,0.0009422341494397538,16477,320,16477,,
X21,HVE,base,base,tr_24::between_type_phoneme,condition_beyond_predictor,0.007024690133959784,0.0015922803361803676,0.012684085811652195,16477,320,16477,,
X21,HVE,base,base,tr_24::between_type_phoneme,predictor_only_percent_ceiling,-0.1615962643301442,-0.6819711035274933,0.3249102152916377,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::between_type_sentence,predictor_only,-0.0005598667504496585,-0.0013473935025665768,0.00015651487349604547,16477,320,16477,,
X21,HVE,base,base,tr_24::between_type_sentence,predictor_beyond_condition,-0.0002114934751002488,-0.0007734164225553299,0.0002885438681014574,16477,320,16477,,
X21,HVE,base,base,tr_24::between_type_sentence,condition_beyond_predictor,0.007109158279739024,0.0013483883401545053,0.013256717361968495,16477,320,16477,,
X21,HVE,base,base,tr_24::between_type_sentence,predictor_only_percent_ceiling,-0.3942242107726727,-0.9517127168169913,0.1367697064383541,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::between_type_word,predictor_only,-0.0008218928468868707,-0.0025143867211546577,0.000742435743785058,16477,320,16477,,
X21,HVE,base,base,tr_24::between_type_word,predictor_beyond_condition,-0.0006403458060606112,-0.0016788441872720385,0.0003606706432839751,16477,320,16477,,
X21,HVE,base,base,tr_24::between_type_word,condition_beyond_predictor,0.006942332045215872,0.0013935242581360838,0.01292071898689386,16477,320,16477,,
X21,HVE,base,base,tr_24::between_type_word,predictor_only_percent_ceiling,-0.5787270964804611,-1.835374086839617,0.5858331265789994,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::mean_dissimilarity_phoneme,predictor_only,0.001229912349522326,-0.0007261163137365459,0.0032277354807418177,16477,320,16477,,
X21,HVE,base,base,tr_24::mean_dissimilarity_phoneme,predictor_beyond_condition,0.0007959594315319117,-0.0007319350875843968,0.002287966748482412,16477,320,16477,,
X21,HVE,base,base,tr_24::mean_dissimilarity_phoneme,condition_beyond_predictor,0.006326832086399199,0.0010608268760061788,0.012137746249154719,16477,320,16477,,
X21,HVE,base,base,tr_24::mean_dissimilarity_phoneme,predictor_only_percent_ceiling,0.8660296846001033,-0.5824701746787453,2.195668656537095,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::mean_dissimilarity_sentence,predictor_only,0.002151038424576116,-0.0006393887343585658,0.005021173515911898,16477,320,16477,,
X21,HVE,base,base,tr_24::mean_dissimilarity_sentence,predictor_beyond_condition,-0.0001295179681107346,-0.0013539182749807198,0.0010227401661699934,16477,320,16477,,
X21,HVE,base,base,tr_24::mean_dissimilarity_sentence,condition_beyond_predictor,0.0044802286117027615,-5.1768937986126016e-05,0.009323399062632883,16477,320,16477,,
X21,HVE,base,base,tr_24::mean_dissimilarity_sentence,predictor_only_percent_ceiling,1.5146308020419965,-0.5732522440437087,3.328507568014866,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::mean_dissimilarity_word,predictor_only,0.002463649000226257,-0.0003974284885460377,0.005440174749797107,16477,320,16477,,
X21,HVE,base,base,tr_24::mean_dissimilarity_word,predictor_beyond_condition,-0.00010140839254705645,-0.0007989596591961716,0.0005534459256999613,16477,320,16477,,
X21,HVE,base,base,tr_24::mean_dissimilarity_word,condition_beyond_predictor,0.004195727611616298,-0.00026635752004012674,0.008609354305656996,16477,320,16477,,
X21,HVE,base,base,tr_24::mean_dissimilarity_word,predictor_only_percent_ceiling,1.7347522101554238,-0.3783214625559854,3.7664253311307476,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::order_phoneme,predictor_only,0.0014315528790531022,-0.001168267244831455,0.003863455420538792,16477,320,16477,,
X21,HVE,base,base,tr_24::order_phoneme,predictor_beyond_condition,0.00013502124676187895,-0.0007862964102216784,0.001072603693930486,16477,320,16477,,
X21,HVE,base,base,tr_24::order_phoneme,condition_beyond_predictor,0.005464253372098389,0.0007614453167659032,0.0106587739406318,16477,320,16477,,
X21,HVE,base,base,tr_24::order_phoneme,predictor_only_percent_ceiling,1.0080127163665196,-0.7098802117589125,2.6143689894047997,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::order_sentence,predictor_only,0.0006088016579433286,-0.0016334410465906777,0.002883694800615928,16477,320,16477,,
X21,HVE,base,base,tr_24::order_sentence,predictor_beyond_condition,-0.00028806870538517724,-0.0008367324878177736,0.00023197515583442687,16477,320,16477,,
X21,HVE,base,base,tr_24::order_sentence,condition_beyond_predictor,0.005863914641061107,0.0009206197723661573,0.010941318990433364,16477,320,16477,,
X21,HVE,base,base,tr_24::order_sentence,predictor_only_percent_ceiling,0.42868120481711625,-1.2536604437610992,2.0205326295071906,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::order_word,predictor_only,0.0001204489488751909,-0.0010529982995792805,0.00135271971488244,16477,320,16477,,
X21,HVE,base,base,tr_24::order_word,predictor_beyond_condition,-0.0001466602196691204,-0.000841512941398953,0.0005759516571413106,16477,320,16477,,
X21,HVE,base,base,tr_24::order_word,condition_beyond_predictor,0.006493675835845301,0.0009809609161181255,0.012247296198207365,16477,320,16477,,
X21,HVE,base,base,tr_24::order_word,predictor_only_percent_ceiling,0.0848128447895563,-0.745108932887391,0.9161371011286531,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::overall,predictor_only,-0.0009608717864363795,-0.002343814552749338,0.0004709131344462071,16477,320,16477,,
X21,HVE,base,base,tr_24::overall,predictor_beyond_condition,-0.000542764021461786,-0.001914101903156073,0.000844503497917085,16477,320,16477,,
X21,HVE,base,base,tr_24::overall,condition_beyond_predictor,0.007178892769364206,0.0012265630729339657,0.0133175803113317,16477,320,16477,,
X21,HVE,base,base,tr_24::overall,predictor_only_percent_ceiling,-0.6765876368928436,-1.6825683484853453,0.3735268051295043,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::overall_order_sensitive,predictor_only,0.0008065479057880752,-0.0014572584795724277,0.003327112823633152,16477,320,16477,,
X21,HVE,base,base,tr_24::overall_order_sensitive,predictor_beyond_condition,-0.00029353778378022526,-0.0008989710813851916,0.00026201899813817106,16477,320,16477,,
X21,HVE,base,base,tr_24::overall_order_sensitive,condition_beyond_predictor,0.005660699314821312,0.0005051469817514831,0.01098787389663085,16477,320,16477,,
X21,HVE,base,base,tr_24::overall_order_sensitive,predictor_only_percent_ceiling,0.5679221196012889,-1.127677363991761,2.1905592561693363,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::within_token_phoneme,predictor_only,-0.0004673035615954291,-0.0014531324954466763,0.0005050343150392867,16477,320,16477,,
X21,HVE,base,base,tr_24::within_token_phoneme,predictor_beyond_condition,0.00022245682664527214,-0.0013894056602516362,0.0017999607694406008,16477,320,16477,,
X21,HVE,base,base,tr_24::within_token_phoneme,condition_beyond_predictor,0.007450545392630314,0.0016334002565865533,0.013658212090209343,16477,320,16477,,
X21,HVE,base,base,tr_24::within_token_phoneme,predictor_only_percent_ceiling,-0.3290468269695573,-1.0263947342560578,0.3489252014359685,16477,320,16477,79.88342397630605,115.07691975609953
X21,HVE,base,base,tr_24::within_token_sentence,predictor_only,-0.0017673845500774507,-0.0035238456840672237,-2.9590189302008723e-05,16477,320,16477,,
X21,HVE,base,base,tr_24::within_token_sentence,predictor_beyond_condition,-0.001058520119811753,-0.002599813315322481,0.000530942414206339,16477,320,16477,,
X21,HVE,base,base,tr_24::within_token_sentence,condition_beyond_predictor,0.007469649434655309,0.0016906921931302448,0.013473675965523683,16477,320,16477,,
X21,HVE,base,base,tr_24::within_token_sentence,predictor_only_percent_ceiling,-1.244485011525519,-2.452962661458929,-0.07504132162789637,16477,320,16477,79.88342397630605,115.07691975609953
