pair_id,HuBERT base Tr-24,HuBERT ASR-FT Tr-24,MFCC39,STRF24
AN19P:0000670a641c43de,5.763589364642604,4.2255892050236,7.045552724806415,5.266057106281405
AN19P:0010b0194275947b,12.640685644863922,4.289387354543909,7.813937601326118,5.020690658106747
AN19P:001bf126bda6b5b3,27.68294246803608,17.484726450439695,7.437512713649304,5.43852008229446
AN19P:001e547ace0823db,16.386120424020866,18.33210972807128,7.319771021722484,5.390625091501776
AN19P:00208244b29a2615,13.880316242352206,6.984405830989011,7.797674708494242,4.092236178268396
AN19P:0025a5440f3a0afe,10.182499116076242,8.811278794000238,7.092377466338411,4.943574948543808
AN19P:002c348fdfac3565,15.395648211052858,8.211523907675556,9.989951087358808,7.835110692626893
AN19P:0033d49ca3894b45,34.38690678830039,14.775155669257986,9.299988529287456,8.131374600774507
AN19P:0035e76932377ea2,16.44925483015124,9.828120073730965,7.56112257681733,5.793405963515191
AN19P:003b50813bc40a30,12.179589151797911,10.602630638347764,8.629778769880785,6.724970887166404
AN19P:004afdec566ac638,19.033781646387222,19.658730912603872,7.666509996070869,5.295262816218763
AN19P:005f9e9e45176cab,19.60690518490637,16.954011574769254,7.9592282709129565,4.764248331381869
AN19P:006cb455f0e85dc5,12.733039081329,4.486056750402028,7.591790155957527,4.423293476399727
AN19P:00758f7eb2f69f5c,19.194590608405164,7.962876930544219,7.960694416718335,5.541501677109578
AN19P:007ee1fdf460e49d,19.00851951143325,14.788604615693169,7.90931152744091,6.609636472820193
AN19P:00869e74666c8d91,16.82561395134084,19.097261858947448,7.424090018359536,5.005242621644922
AN19P:0092a30e6e589455,11.050867282125646,6.034147052088946,6.622452756827964,4.855230730574043
AN19P:009dacc24afee71e,17.040375617328134,6.543479205206596,8.27968889723708,8.042703224707637
AN19P:00b4535c09536bd0,6.1652081892450745,2.465357207565494,6.674918111045281,4.692651408932446
AN19P:00b88d9d5e2b1a17,19.876512246293267,11.626160680136636,8.550524474272205,6.93530464208236
AN19P:00bdba7f2c2980bd,31.1856108407438,18.35828542438022,8.547988056360815,7.385012587414273
AN19P:00c0e866b7a1f2eb,21.08441990089782,7.094095213484728,6.642686150570433,5.224904111669583
AN19P:00cd3da1fdbef528,15.886554039284633,8.789459805537463,7.979910511186406,5.905909294147838
AN19P:00d85f4bd5593fa3,25.7448843114949,16.803941449765006,8.994816379969661,6.579321474236381
AN19P:00ec4c4e6610702f,26.14827621387763,26.43537332018349,8.952487078815775,6.348009543292388
AN19P:00faceafd928368f,19.96297072199741,23.270460150662945,7.176421275943806,4.369852801773697
AN19P:010107e564883453,29.846914335537463,17.562338902607348,6.955465872780263,5.206310063990576
AN19P:010531e594c5a2b9,18.591720959998284,9.432056594840216,8.653535222762255,4.536402376764388
AN19P:01066fb4d737ab7f,9.634256471977846,4.817720313518509,8.449505918058952,5.25922451734024
AN19P:01244dc8ea6dc2bf,19.212896973784957,3.1458853909541675,7.802887344512465,5.909929815976794
AN19P:015e88b4b8a018af,9.484973673512238,6.0622748730690095,7.873522411485287,4.933078555821095
AN19P:0168786aeb8ed804,8.260290340834622,6.244512887442017,7.579554735888776,5.399687930800513
AN19P:01754edc7fb58992,12.484856483137651,4.828162391045332,7.307083574656293,3.997706564790248
AN19P:0191441b3e9f2721,23.16153476453008,9.434374564823244,8.554127265450619,7.136073178244683
AN19P:0191ef32ec13d281,23.526272149991502,10.216280928382012,7.276112383900847,5.540724656164713
AN19P:0192ad2a68c416b4,20.803005373779133,13.794366314576044,7.394167232264869,5.269048292091572
AN19P:0195289d7fa56984,26.39274309835505,13.7130251072109,6.799964752588456,5.684227552270022
AN19P:0197120dc6f735de,18.09257667427712,2.3937988849706637,8.996846996184585,6.642861206820875
AN19P:019c5d8c743b23bf,18.19804340894409,11.180157295396883,8.445184277346181,5.420446666395318
AN19P:01a4a6eb62044a03,16.417442911669877,6.822005075467681,7.232187038951932,4.066313545735814
AN19P:01b4b4fad8b99c77,14.802235251657166,6.03980442766818,7.47538351972038,4.780973299635952
AN19P:01bc1f5d0035f461,15.55221512848074,9.80487580175678,7.457314764840094,5.668367088294761
AN19P:0208ed1a8add6d63,21.73738187794207,4.5378997392455,8.823350776102563,5.367898133827256
AN19P:020e99134a060750,14.929320660927818,11.282578037678515,8.949503070484303,6.008828079428601
AN19P:02194132473ebc23,11.352703494549312,2.7952179725155823,7.04544050745294,4.911024290074564
AN19P:0238c91e9ca1719a,23.16575349902624,12.415257435701944,9.691678135832769,5.8080844430434295
AN19P:024f12674d5f3833,13.922871154599369,5.716016804484927,7.262135109203084,4.583390636778812
AN19P:0252ce95dfc0676b,9.402199373185812,5.660603320087804,7.503326901299093,5.274883255313524
AN19P:02579e35ceb6fb23,17.924097620023193,10.1529295180582,7.164522956188222,4.061359873099708
AN19P:0258779e2d73d108,15.832049674951277,6.113631686199395,7.272704379467266,5.122247559169075
AN19P:027ebbf1e37be580,7.058570706737735,4.738121532088674,8.293446512405046,5.332976929528537
AN19P:02889359c97fed78,21.082043373827563,15.103078112551616,8.71094443319812,6.910905759875997
AN19P:029d7fd81c694b47,15.04545696126854,10.035261277481837,7.603032788257281,5.393478481176536
AN19P:02a2bb32d8b4b7be,9.724709393961891,6.097369066301796,7.639903864816855,4.585228833889206
AN19P:02b0dcdf58ca3aba,18.345997211057664,5.141198661618289,8.983224633322587,6.939554535966024
AN19P:02b90427b7d62b97,17.973138588637536,14.684492362413708,6.945717801542066,4.710271612041427
AN19P:02c4b038b0e20a1b,27.136675417005183,14.372297069123343,7.439908072640956,4.778520999670846
AN19P:02c59d81b673ea0b,13.22507336986834,16.466988432637187,7.382958618468139,4.461469346498669
AN19P:02cd0fb9b64a4c7c,17.238002289894485,7.933504746238322,7.820654805589181,4.143990918388276
AN19P:02d533fa3c3f3f3d,22.775773573055847,5.219941380055765,6.1190546023551216,4.754564422347186
AN19P:02d780ff88ad717b,14.073211493952227,7.779135999303623,7.131299374429966,4.784106441278243
AN19P:02d82b38fba45c3b,14.061207542005857,7.977978904259175,8.734285352928525,4.896158410474643
AN19P:02d835690dce29c4,5.694999078724187,3.0319495153026006,5.893580825163668,4.489179275314057
AN19P:02dacb5ba0d26b9e,14.99268165030096,5.171168300345053,8.027378934342321,6.38767757542198
AN19P:02e62ab55c8a15fb,24.907328379022378,18.78565506987473,8.506512341084154,5.313735311413045
AN19P:030623b6c435619d,7.225506799223441,2.302221550372549,7.209700112219377,4.460432985848254
AN19P:031946dd0a10ea40,21.93015482031456,8.352636657546556,7.600874847682785,6.394528426803301
AN19P:031f74f0d2b3291b,13.907571958149912,7.845959810410148,10.278343795584476,8.628840529048
AN19P:0327c635c70a5c15,12.67671362009622,9.870626442198615,7.663887581832514,4.608768375019747
AN19P:034d9fa9b874bee6,15.138708212075478,4.889673752063407,6.312766173692076,4.2930037134307
AN19P:0382f0a442f2ae9e,21.55745138731569,22.45349725352162,7.29835889410201,6.306984110113948
AN19P:038465c4d41eff05,17.453637228400826,33.26332556652652,7.693007456035918,6.711170038992279
AN19P:039779add272b558,17.759282159120165,6.99243249648053,7.488067282964631,4.867115257714337
AN19P:0397d53ef3bda74f,14.57813202580214,5.603679101317739,8.074056858080814,6.87030932980368
AN19P:03a7697a45f7e2b3,10.752373267241095,3.7688543256174474,8.773787901134318,4.655107411962633
AN19P:03cba08e0c6ec854,10.955870503492038,2.753642920338467,7.942905442100038,5.7420018131424
AN19P:03cdbe36982d9e19,18.268747544073776,13.77588590405967,7.187617775825631,5.652461098455762
AN19P:03da8163180797f0,15.01601981117803,9.946124443594288,7.879118315618435,4.931869035344519
AN19P:03e8ded741ecccc0,15.204072879953666,3.402662984083711,6.897857260180534,3.859388038348221
AN19P:03ed21ea8e5f0578,34.90692971348183,16.82364290004712,7.614301006102669,4.997270106857823
AN19P:03fea564625c2705,25.45693885289107,11.97477625422095,7.557461989183899,5.394701673133234
AN19P:0407418cd7a391d8,22.55113153985108,23.094511108293016,7.849962837486055,7.432911780904578
AN19P:040b1ebdcc2d9af7,17.30997049946493,16.10050786245699,7.697361542253748,5.632776919549485
AN19P:041268b415560b8f,22.818434025606557,9.120958519238751,8.044774631038681,6.559074994476012
AN19P:041a84c14d6a9304,13.786397961840883,5.151397030648789,8.505163422308401,7.1560657480199446
AN19P:04212a806b6c64de,9.497840639447451,6.318412503433938,7.033897587302934,4.016990170854762
AN19P:042a0cb19cf83bc6,20.33191495527114,12.75436954335039,10.209539105193928,7.756262533893775
AN19P:043630d765b556d5,16.230053840562263,17.24233006595876,6.338258660248499,4.130551806838424
AN19P:044a704a522cde65,13.9536808546059,5.256658530136626,7.961074981399007,4.260759523877456
AN19P:04547cc89e8cfea1,16.543869918368333,2.0912741818700025,7.308252907050891,4.865752723554006
AN19P:0454853f8a08ca77,28.53163297730355,12.17503397797222,8.420810912796485,7.728285412003284
AN19P:0456530c62dc509a,7.437582351580416,1.308766200861999,6.034804925807204,4.564867252286266
AN19P:0478ce2d64163aa3,20.072395733633066,9.176973745809477,8.177128909848152,5.959980936475489
AN19P:04a9454666b873bd,12.60630949655456,5.961688467861723,8.387111590371841,6.192665671871102
AN19P:04aa4efeb244539e,19.14650578286406,6.050311385343614,7.653254070857431,5.753854618599237
