status,z,log_likelihood,coefficient,std_error,singular,convergence,n_rows,participants,n_word_responses,similarity_mean,similarity_sd,fit_seconds,warnings,lme4_version,evaluation,tau,k,wall_seconds,dtw_cached,dtw_seconds
ok,4.4741936337403,-1535.63328066751,0.495930057290957,0.110842332247559,False,ok,3791,80,3791,0.982848278551845,0.0048432484448879,1.82,,1.1.35.5,0,2.0,0.001,3.1763996000000003,False,0.11973199999999995
ok,4.21447657886909,-1536.63195018762,0.446825849697023,0.10602167109846,False,ok,3791,80,3791,0.432933666467885,0.0984932491387403,1.56,,1.1.35.5,1,2.0,0.05,2.3496197000000008,True,0.0
ok,0.260812570959034,-1544.8071156028,0.0266536516096444,0.102194658453909,False,ok,3791,80,3791,5.4637752699507606e-09,7.62923584414757e-08,1.34,,1.1.35.5,2,2.0,2.0,2.086183599999999,True,0.0
ok,4.75598705527721,-1534.44308535896,0.525295458801197,0.110449303729356,False,ok,3791,80,3791,0.974543700140907,0.0071390215430938,1.92,,1.1.35.5,3,1.0,0.001,2.8107732999999993,False,0.12120400000000053
ok,4.31424671902596,-1536.22588564421,0.451024686469361,0.104543090797364,False,ok,3791,80,3791,0.292423642114863,0.0964125162501117,1.74,,1.1.35.5,4,1.0,0.05,2.502241700000001,True,0.0
ok,0.335716723106088,-1544.7870354925,0.0424149666359914,0.126341536529856,False,ok,3791,80,3791,6.523515603159189e-12,1.23228538060294e-10,1.6,,1.1.35.5,5,1.0,2.0,2.3740596999999983,True,0.0
ok,4.32117818257363,-1536.24740153163,0.479524287474259,0.110970727707567,False,ok,3791,80,3791,0.984468662520715,0.004406205142024,1.47,,1.1.35.5,6,3.0,0.001,2.3888940000000005,False,0.15210739999999845
ok,4.09781387620824,-1537.07913100903,0.435881004266003,0.106369156197336,False,ok,3791,80,3791,0.46787472156931,0.0971949047657917,1.56,,1.1.35.5,7,3.0,0.05,2.3391313999999994,True,0.0
ok,0.241466546179124,-1544.81114981466,0.0233760197175868,0.0968085231162665,False,ok,3791,80,3791,2.2219026390757e-08,2.77953785751144e-07,1.75,,1.1.35.5,8,3.0,2.0,2.502247999999998,True,0.0
ok,4.65273237532898,-1534.87194096401,0.503549931927041,0.108226713102414,False,ok,3791,80,3791,0.725386082891167,0.0646740649312453,1.61,,1.1.35.5,9,1.0,0.012599210498948734,2.364522700000002,True,0.0
ok,3.38081682795254,-1539.46512769073,0.358744480128697,0.106111776645988,False,ok,3791,80,3791,0.0280555019797395,0.0285608979252076,1.61,,1.1.35.5,10,1.0,0.15874010519682002,2.3637682000000027,True,0.0
ok,4.41318765384713,-1535.87171344437,0.482241496751384,0.10927282829929,False,ok,3791,80,3791,0.8055531725577,0.0488378949962104,1.45,,1.1.35.5,11,2.0,0.012599210498948734,2.2351740000000007,True,0.0
ok,3.64990464233997,-1538.62896743159,0.380891028970171,0.104356432919294,False,ok,3791,80,3791,0.082627328803241,0.0563180122769004,1.65,,1.1.35.5,12,2.0,0.15874010519682002,2.4184933000000015,True,0.0
ok,4.26842138922039,-1536.44663049066,0.46746020760044,0.109515946288944,False,ok,3791,80,3791,0.822197075789893,0.0453642955217136,1.56,,1.1.35.5,13,3.0,0.012599210498948734,2.308345099999997,True,0.0
ok,3.61641987387397,-1538.74783499926,0.376621781582678,0.104142161230641,False,ok,3791,80,3791,0.102980194920417,0.0639085325867241,1.58,,1.1.35.5,14,3.0,0.15874010519682002,2.3375383000000056,True,0.0
ok,0.348699831242513,-1544.78155505067,0.0344595050027173,0.0988228324628913,False,ok,3791,80,3791,3.13030610275701e-07,3.30833760016749e-06,1.85,,1.1.35.5,15,1.749080237694725,1.3751068413926433,2.755427499999996,False,0.12979469999999793
ok,3.94281821515251,-1537.63098081313,0.412228400190064,0.104551713443405,False,ok,3791,80,3791,0.232854186637882,0.0914882476556912,1.62,,1.1.35.5,16,2.46398788362281,0.09466503798478171,2.5677363,False,0.14436429999999945
ok,4.62950006731866,-1534.98398975455,0.510242966985459,0.110215565302062,False,ok,3791,80,3791,0.933557718932781,0.0181627997925677,1.42,,1.1.35.5,17,1.312037280884873,0.0032729742670534194,2.341413699999997,False,0.1463691999999952
ok,0.722216944638,-1544.58269116775,0.0767694405337631,0.106296925188099,False,ok,3791,80,3791,1.20955773079364e-05,8.21616032460076e-05,1.7,,1.1.35.5,18,1.116167224336399,0.723225014285739,2.616106000000002,False,0.1356740999999957
ok,3.36321896062268,-1539.5372564904,0.354243856116492,0.105328811553473,False,ok,3791,80,3791,0.0398121002900341,0.0362186831353466,1.88,,1.1.35.5,19,2.2022300234864174,0.21745470981373616,2.7883329999999944,False,0.13478119999999905
ok,4.73548731785295,-1534.53181684171,0.522836916884536,0.110408260394537,False,ok,3791,80,3791,0.966981966302396,0.0092158819677299,1.93,,1.1.35.5,20,1.04330112408653,0.001351230932501877,2.8784604999999956,False,0.140103400000001
ok,4.32756080028557,-1536.22203323798,0.480137820565034,0.110948833008505,False,ok,3791,80,3791,0.982154482994061,0.0050548499364241,1.45,,1.1.35.5,21,2.939074221575732,0.001146285213283715,2.405408399999999,False,0.1324107000000012
ok,4.49256424614077,-1535.54860813088,0.490627393956726,0.109208765212025,False,ok,3791,80,3791,0.807431788526198,0.048360471781212,1.65,,1.1.35.5,22,1.6210491012921264,0.011471866507458635,2.6043464999999983,False,0.13210890000000575
ok,4.58115222341836,-1535.1668275893,0.491363886586582,0.107257707804334,False,ok,3791,80,3791,0.614450262048411,0.0822740785087705,1.42,,1.1.35.5,23,1.0302673104786162,0.01974689280887772,2.3580249000000038,False,0.15682979999999702
ok,4.57020665278177,-1535.23628554298,0.505946636063597,0.110705417610742,False,ok,3791,80,3791,0.979202238042481,0.005850474936044,1.7,,1.1.35.5,24,1.559116041098707,0.0010980940542487157,2.620713099999996,False,0.1371906999999979
ok,4.4142666606801,-1535.87237469484,0.486252676334077,0.110154803438894,False,ok,3791,80,3791,0.901482777334838,0.0264594069709371,1.77,,1.1.35.5,25,2.1809493791874592,0.0061813948779144276,2.701767199999992,False,0.13588020000000256
ok,4.61105764628819,-1535.06124131878,0.507730089441293,0.110111416596582,False,ok,3791,80,3791,0.920326131038295,0.0215989637297378,1.6,,1.1.35.5,26,1.3566183572906085,0.00403566868553742,2.491615600000003,False,0.13209700000000169
ok,4.31502330565326,-1536.26186607906,0.470922804950317,0.109135634176841,False,ok,3791,80,3791,0.781690799752871,0.0539839619757166,1.68,,1.1.35.5,27,2.533705003914403,0.0153520754812368,2.5945415999999994,False,0.14174699999999518
ok,0.267396308403692,-1544.80565228834,0.0277571430652967,0.103805259059117,False,ok,3791,80,3791,4.14007495531164e-09,5.94896913370147e-08,1.75,,1.1.35.5,28,1.7186728801474787,1.9251973220386789,2.6839761000000095,False,0.1322707000000065
ok,4.69062832636018,-1534.72277537044,0.516349465539404,0.110081087140852,False,ok,3791,80,3791,0.92508964620213,0.0203656618614156,1.56,,1.1.35.5,29,1.124846706282454,0.003334694657881329,2.4924728999999957,False,0.133784200000008
ok,2.59377629825988,-1541.59390836228,0.285813070061107,0.110191873621813,False,ok,3791,80,3791,0.0059924033353558,0.0099206225694692,1.86,,1.1.35.5,30,2.6735281647652673,0.38926748887559115,2.7829448999999897,False,0.14918449999998984
ok,4.52635762194875,-1535.41247851594,0.496608516650647,0.109714821083192,False,ok,3791,80,3791,0.866309191118585,0.0349916116842727,1.45,,1.1.35.5,31,1.577331313937135,0.007577685934937551,2.3533458999999937,False,0.13620850000000928
ok,3.77609453044975,-1538.20615678934,0.393329859198903,0.104163138932874,False,ok,3791,80,3791,0.119156287051075,0.0686291007925684,1.8,,1.1.35.5,32,2.0193612040560662,0.13398635448630916,2.708948300000003,False,0.13156610000000057
ok,0.270933744150158,-1544.80451888056,0.0273802681358514,0.101058907304941,False,ok,3791,80,3791,1.66372486837618e-08,2.20346078012295e-07,1.64,,1.1.35.5,33,1.7649239825343255,1.760656549971247,2.548124999999999,False,0.1365981000000005
ok,4.00711372609317,-1537.40633190862,0.421838413627866,0.105272383681296,False,ok,3791,80,3791,0.335400660585087,0.0992970209375815,1.73,,1.1.35.5,34,2.8844035113697055,0.07234879519266664,2.708375399999994,False,0.13855809999999735
ok,4.39971376817619,-1535.91572484389,0.473882260638283,0.107707520445068,False,ok,3791,80,3791,0.63513137705097,0.0795324502100983,1.64,,1.1.35.5,35,1.6855856105479503,0.02501142396974086,2.5883083999999883,False,0.14127030000000218
ok,4.4373754550028,-1535.76487049566,0.478833560586036,0.107909183129002,False,ok,3791,80,3791,0.661903449324792,0.0754917843682942,1.56,,1.1.35.5,36,1.5824187919459423,0.02205740610182333,2.4813204000000013,False,0.14705549999999334
ok,4.51570256189848,-1535.45502613485,0.494304353882254,0.109463443862086,False,ok,3791,80,3791,0.8379541390756,0.0415893863289193,1.62,,1.1.35.5,37,1.577331313937135,0.009347339276734177,2.381598000000011,True,0.0
ok,4.45997953860589,-1535.6903117767,0.493605602592439,0.110674409673801,False,ok,3791,80,3791,0.96307581690715,0.0103043597357951,1.67,,1.1.35.5,38,2.0416685200516476,0.002191316743927667,2.6030575999999996,False,0.1358118999999931
