tau,seconds,physical_pairs,training_file
2.0,0.11973199999999995,5394,tau_0000_training.csv
1.0,0.12120400000000053,5394,tau_0001_training.csv
3.0,0.15210739999999845,5394,tau_0002_training.csv
1.749080237694725,0.12979469999999793,5394,tau_0003_training.csv
2.46398788362281,0.14436429999999945,5394,tau_0004_training.csv
1.312037280884873,0.1463691999999952,5394,tau_0005_training.csv
1.116167224336399,0.1356740999999957,5394,tau_0006_training.csv
2.2022300234864174,0.13478119999999905,5394,tau_0007_training.csv
1.04330112408653,0.140103400000001,5394,tau_0008_training.csv
2.939074221575732,0.1324107000000012,5394,tau_0009_training.csv
1.6210491012921264,0.13210890000000575,5394,tau_0010_training.csv
1.0302673104786162,0.15682979999999702,5394,tau_0011_training.csv
1.559116041098707,0.1371906999999979,5394,tau_0012_training.csv
2.1809493791874592,0.13588020000000256,5394,tau_0013_training.csv
1.3566183572906085,0.13209700000000169,5394,tau_0014_training.csv
2.533705003914403,0.14174699999999518,5394,tau_0015_training.csv
1.7186728801474787,0.1322707000000065,5394,tau_0016_training.csv
1.124846706282454,0.133784200000008,5394,tau_0017_training.csv
2.6735281647652673,0.14918449999998984,5394,tau_0018_training.csv
1.577331313937135,0.13620850000000928,5394,tau_0019_training.csv
2.0193612040560662,0.13156610000000057,5394,tau_0020_training.csv
1.7649239825343255,0.1365981000000005,5394,tau_0021_training.csv
2.8844035113697055,0.13855809999999735,5394,tau_0022_training.csv
1.6855856105479503,0.14127030000000218,5394,tau_0023_training.csv
1.5824187919459423,0.14705549999999334,5394,tau_0024_training.csv
2.0416685200516476,0.1358118999999931,5394,tau_0025_training.csv
