method,objective,seed,proposals,new_fits,best_tau,best_k,signed_z,log_likelihood,elapsed_seconds,singular_fits,failed_proposals,boundary_tau,boundary_k
differential_evolution,log_likelihood,42,12,0,1.124846706282454,0.0033346946578813,4.69062832636018,-1534.72277537044,0.0727033999999946,0,0,False,False
differential_evolution,z,42,12,12,1.124846706282454,0.0033346946578813,4.69062832636018,-1534.72277537044,31.0890182,0,0,False,False
grid,log_likelihood,42,12,0,1.0,0.001,4.75598705527721,-1534.44308535896,0.0716065000000014,0,0,True,True
grid,z,42,12,6,1.0,0.001,4.75598705527721,-1534.44308535896,14.134377700000002,0,0,True,True
tpe,log_likelihood,42,12,0,1.04330112408653,0.0013512309325018,4.73548731785295,-1534.53181684171,0.1002320999999994,0,0,False,False
tpe,z,42,12,12,1.04330112408653,0.0013512309325018,4.73548731785295,-1534.53181684171,31.322882799999995,0,0,False,False
