branch,language,AN19,B23,X21
Afro-Asiatic,Somali,1,0,0
Albanian,Albanian,1,0,0
Germanic,Dutch,1,0,0
Germanic,English,6,0,5
Germanic,German,1,0,0
Indo-Aryan,Bengali,1,0,0
Indo-Aryan,Hindi,1,0,0
Iranian,Farsi,0,1,0
Japonic,Japanese,1,0,0
Koreanic,Korean,12,0,0
Romance,Brazilian Portuguese,0,1,0
Romance,French,1,0,0
Romance,Romanian,1,0,0
Romance,Spanish,12,1,0
Sino-Tibetan,Mandarin,1,0,6
Slavic,Russian,1,0,0
Turkic,Turkish,1,1,0
