dataset_id,feature_key,scope,fold,model_id,n_rows,total_trials,total_log_loss,mean_log_loss,layer,measure,variant,held_out_log_likelihood_per_trial,sample_stratum
AN19,cnn_3::within_token_word,oof_fold,0.0,M_predictor,1920,1920,1333.28857575263,0.694421133204492,cnn_3,within_token_word,base,-0.6944211332044948,all exposure participants
AN19,cnn_3::within_token_word,oof_fold,1.0,M_predictor,1920,1920,1323.70816922383,0.68943133813741,cnn_3,within_token_word,base,-0.6894313381374115,all exposure participants
AN19,cnn_3::within_token_word,oof_fold,2.0,M_predictor,1920,1920,1318.49776942614,0.686717588242779,cnn_3,within_token_word,base,-0.6867175882427812,all exposure participants
AN19,cnn_3::within_type_word,oof_fold,0.0,M_predictor,1920,1920,1329.40493038419,0.692398401241766,cnn_3,within_type_word,base,-0.6923984012417657,all exposure participants
AN19,cnn_3::within_type_word,oof_fold,1.0,M_predictor,1920,1920,1323.66006751419,0.68940628516364,cnn_3,within_type_word,base,-0.6894062851636406,all exposure participants
AN19,cnn_3::within_type_word,oof_fold,2.0,M_predictor,1920,1920,1326.16523512564,0.690711059961269,cnn_3,within_type_word,base,-0.6907110599612708,all exposure participants
AN19,cnn_4::between_type_word,oof_fold,0.0,M_predictor,1920,1920,1331.6179226736,0.693551001392502,cnn_4,between_type_word,base,-0.6935510013925,all exposure participants
AN19,cnn_4::between_type_word,oof_fold,1.0,M_predictor,1920,1920,1323.48453018148,0.68931485946952,cnn_4,between_type_word,base,-0.6893148594695209,all exposure participants
AN19,cnn_4::between_type_word,oof_fold,2.0,M_predictor,1920,1920,1322.49323073397,0.688798557673943,cnn_4,between_type_word,base,-0.6887985576739427,all exposure participants
AN19,cnn_4::mean_dissimilarity_word,oof_fold,0.0,M_predictor,1920,1920,1331.58689451571,0.6935348408936,cnn_4,mean_dissimilarity_word,base,-0.693534840893599,all exposure participants
AN19,cnn_4::mean_dissimilarity_word,oof_fold,1.0,M_predictor,1920,1920,1323.1616722028,0.689146704272293,cnn_4,mean_dissimilarity_word,base,-0.6891467042722916,all exposure participants
AN19,cnn_4::mean_dissimilarity_word,oof_fold,2.0,M_predictor,1920,1920,1321.8665217501,0.688472146744842,cnn_4,mean_dissimilarity_word,base,-0.6884721467448437,all exposure participants
AN19,cnn_4::order_word,oof_fold,0.0,M_predictor,1920,1920,1330.6230077757,0.693032816549844,cnn_4,order_word,base,-0.6930328165498437,all exposure participants
AN19,cnn_4::order_word,oof_fold,1.0,M_predictor,1920,1920,1324.27095207814,0.689724454207364,cnn_4,order_word,base,-0.6897244542073646,all exposure participants
AN19,cnn_4::order_word,oof_fold,2.0,M_predictor,1920,1920,1324.72442985376,0.689960640548832,cnn_4,order_word,base,-0.6899606405488333,all exposure participants
AN19,cnn_4::overall,oof_fold,0.0,M_predictor,1920,1920,1331.34361830188,0.693408134532231,cnn_4,overall,base,-0.6934081345322292,all exposure participants
AN19,cnn_4::overall,oof_fold,1.0,M_predictor,1920,1920,1324.28661446509,0.689732611700567,cnn_4,overall,base,-0.6897326117005677,all exposure participants
AN19,cnn_4::overall,oof_fold,2.0,M_predictor,1920,1920,1319.10182239277,0.687032199162899,cnn_4,overall,base,-0.687032199162901,all exposure participants
AN19,cnn_4::overall_order_sensitive,oof_fold,0.0,M_predictor,1920,1920,1329.65611802045,0.692529228135651,cnn_4,overall_order_sensitive,base,-0.6925292281356511,all exposure participants
AN19,cnn_4::overall_order_sensitive,oof_fold,1.0,M_predictor,1920,1920,1323.25672585018,0.689196211380304,cnn_4,overall_order_sensitive,base,-0.6891962113803021,all exposure participants
AN19,cnn_4::overall_order_sensitive,oof_fold,2.0,M_predictor,1920,1920,1325.47633326415,0.690352256908412,cnn_4,overall_order_sensitive,base,-0.6903522569084115,all exposure participants
AN19,cnn_4::within_token_word,oof_fold,0.0,M_predictor,1920,1920,1331.12067512088,0.693292018292125,cnn_4,within_token_word,base,-0.693292018292125,all exposure participants
AN19,cnn_4::within_token_word,oof_fold,1.0,M_predictor,1920,1920,1325.34175451444,0.690282163809604,cnn_4,within_token_word,base,-0.6902821638096042,all exposure participants
AN19,cnn_4::within_token_word,oof_fold,2.0,M_predictor,1920,1920,1322.66835811701,0.688889769852609,cnn_4,within_token_word,base,-0.6888897698526094,all exposure participants
AN19,cnn_4::within_type_word,oof_fold,0.0,M_predictor,1920,1920,1331.25852544485,0.69336381533586,cnn_4,within_type_word,base,-0.6933638153358593,all exposure participants
AN19,cnn_4::within_type_word,oof_fold,1.0,M_predictor,1920,1920,1323.8931900395,0.689527703145572,cnn_4,within_type_word,base,-0.689527703145573,all exposure participants
AN19,cnn_4::within_type_word,oof_fold,2.0,M_predictor,1920,1920,1321.81756240571,0.688446647086306,cnn_4,within_type_word,base,-0.6884466470863073,all exposure participants
AN19,cnn_5::between_type_word,oof_fold,0.0,M_predictor,1920,1920,1331.67091646627,0.693578602326185,cnn_5,between_type_word,base,-0.6935786023261823,all exposure participants
AN19,cnn_5::between_type_word,oof_fold,1.0,M_predictor,1920,1920,1323.77780234845,0.689467605389817,cnn_5,between_type_word,base,-0.6894676053898177,all exposure participants
AN19,cnn_5::between_type_word,oof_fold,2.0,M_predictor,1920,1920,1322.64583250675,0.688878037763935,cnn_5,between_type_word,base,-0.6888780377639322,all exposure participants
AN19,cnn_5::mean_dissimilarity_word,oof_fold,0.0,M_predictor,1920,1920,1331.01239506933,0.693235622431941,cnn_5,mean_dissimilarity_word,base,-0.6932356224319427,all exposure participants
AN19,cnn_5::mean_dissimilarity_word,oof_fold,1.0,M_predictor,1920,1920,1323.28413858322,0.689210488845427,cnn_5,mean_dissimilarity_word,base,-0.6892104888454271,all exposure participants
AN19,cnn_5::mean_dissimilarity_word,oof_fold,2.0,M_predictor,1920,1920,1321.74651916585,0.688409645398881,cnn_5,mean_dissimilarity_word,base,-0.6884096453988803,all exposure participants
AN19,cnn_5::order_word,oof_fold,0.0,M_predictor,1920,1920,1330.92246124521,0.693188781898547,cnn_5,order_word,base,-0.6931887818985468,all exposure participants
AN19,cnn_5::order_word,oof_fold,1.0,M_predictor,1920,1920,1323.73018234514,0.689442803304759,cnn_5,order_word,base,-0.6894428033047605,all exposure participants
AN19,cnn_5::order_word,oof_fold,2.0,M_predictor,1920,1920,1321.13482158161,0.688091052907087,cnn_5,order_word,base,-0.6880910529070885,all exposure participants
AN19,cnn_5::overall,oof_fold,0.0,M_predictor,1920,1920,1332.75079368233,0.694141038376215,cnn_5,overall,base,-0.6941410383762135,all exposure participants
AN19,cnn_5::overall,oof_fold,1.0,M_predictor,1920,1920,1324.56717681001,0.689878737921878,cnn_5,overall,base,-0.6898787379218803,all exposure participants
AN19,cnn_5::overall,oof_fold,2.0,M_predictor,1920,1920,1319.53849822526,0.687259634492322,cnn_5,overall,base,-0.6872596344923229,all exposure participants
AN19,cnn_5::overall_order_sensitive,oof_fold,0.0,M_predictor,1920,1920,1331.42376736793,0.693449878837461,cnn_5,overall_order_sensitive,base,-0.6934498788374636,all exposure participants
AN19,cnn_5::overall_order_sensitive,oof_fold,1.0,M_predictor,1920,1920,1322.71516580606,0.688914148857325,cnn_5,overall_order_sensitive,base,-0.6889141488573229,all exposure participants
