dataset,accent,similarity,accuracy,ci_low,ci_high
AN19,KOR,0.1497957465929178,0.2665933467601806,0.2207489041294121,0.3130715021773197
AN19,KOR,0.1544506476524617,0.2734637615656043,0.2273355576359171,0.3196257914104905
AN19,KOR,0.1591055487120055,0.2804435303553764,0.2343189792871381,0.3266576569013023
AN19,KOR,0.1637604497715494,0.2875309443692332,0.2414557450091129,0.3337683394242321
AN19,KOR,0.1684153508310932,0.2947241089949323,0.2487579771778351,0.3408692267067089
AN19,KOR,0.1730702518906371,0.3020209423238683,0.2561570058115284,0.3477139479771736
AN19,KOR,0.177725152950181,0.3094191743019671,0.263665844752721,0.3542455430030683
AN19,KOR,0.1823800540097248,0.3169163465047775,0.2713954417956203,0.3608287582645358
AN19,KOR,0.1870349550692686,0.3245098125629517,0.2791654648646311,0.3676868206259438
AN19,KOR,0.1916898561288125,0.3321967392612152,0.2870715028349526,0.375250288209373
AN19,KOR,0.1963447571883564,0.3399741083304879,0.2951171262246676,0.3824789142133566
AN19,KOR,0.2009996582479002,0.3478387189490469,0.3032975823831716,0.389573607271224
AN19,KOR,0.2056545593074441,0.3557871909645357,0.3115868806046513,0.3969955535529541
AN19,KOR,0.2103094603669879,0.3638159688442633,0.3200045670987803,0.4044627413274504
AN19,KOR,0.2149643614265318,0.3719213263566244,0.3285381851065243,0.4120756845273264
AN19,KOR,0.2196192624860756,0.3800993719816497,0.3373608297924589,0.4196689693399057
AN19,KOR,0.2242741635456195,0.3883460550437067,0.3459734917772181,0.4272229149363321
AN19,KOR,0.2289290646051633,0.3966571725542682,0.354821765446602,0.4347356221554324
AN19,KOR,0.2335839656647072,0.405028376747488,0.3637867642730742,0.4424065247470867
AN19,KOR,0.2382388667242511,0.4134551832861367,0.3728473745427036,0.4503421291118452
AN19,KOR,0.2428937677837949,0.4219329801103074,0.3816391405071815,0.4583126091111346
AN19,KOR,0.2475486688433388,0.4304570368962536,0.3904515630016598,0.4665595747528253
AN19,KOR,0.2522035699028827,0.4390225150878403,0.3992235001236534,0.4747103773961634
AN19,KOR,0.2568584709624265,0.4476244784584205,0.4081628097213216,0.4828624285242487
AN19,KOR,0.2615133720219704,0.4562579041565553,0.4171324673093498,0.4908170720014809
AN19,KOR,0.2661682730815142,0.4649176941849356,0.4262810255107591,0.4987111170506021
AN19,KOR,0.2708231741410581,0.4735986872581754,0.4362421074634838,0.5065222069265413
AN19,KOR,0.2754780752006019,0.4822956709818976,0.4453531336455258,0.5145057284985188
AN19,KOR,0.2801329762601457,0.4910033942927405,0.4554455647154128,0.52282236012152
AN19,KOR,0.2847878773196897,0.499716580096644,0.4645241964000853,0.5311546332079462
AN19,KOR,0.2894427783792335,0.5084299380410244,0.4739937034427791,0.5394784201134069
AN19,KOR,0.2940976794387774,0.5171381773552786,0.483283503126202,0.5477691680541021
AN19,KOR,0.2987525804983212,0.5258360196934387,0.4926017100995524,0.5561915805556165
AN19,KOR,0.3034074815578651,0.5345182119127996,0.5019281321965451,0.5642860048635041
AN19,KOR,0.3080623826174089,0.5431795387228836,0.5115016996897178,0.5726652875917008
AN19,KOR,0.3127172836769528,0.5518148351402753,0.5211113518270264,0.5811505015986165
AN19,KOR,0.3173721847364966,0.560418998686539,0.5307736328253307,0.5892639421064395
AN19,KOR,0.3220270857960405,0.5689870012686985,0.5397964961118379,0.5981017685121522
AN19,KOR,0.3266819868555843,0.5775139006844903,0.5493879411094019,0.6061753201869351
AN19,KOR,0.3313368879151282,0.5859948516978463,0.558080654428738,0.6146090229167348
AN19,KOR,0.3359917889746721,0.5944251166337055,0.5676492405765837,0.6227463513373163
AN19,KOR,0.3406466900342159,0.602800075445299,0.5765740228185262,0.6309639772307051
AN19,KOR,0.3453015910937598,0.6111152352114294,0.5857511509642387,0.6392470625076551
AN19,KOR,0.3499564921533036,0.6193662390259091,0.5939737224129757,0.6473249668009327
AN19,KOR,0.3546113932128475,0.6275488742462029,0.6022282603683389,0.6556123104314107
AN19,KOR,0.3592662942723914,0.6356590800733457,0.6105885547100637,0.6634613109996769
AN19,KOR,0.3639211953319352,0.6436929544403598,0.6186406317444966,0.6718742869481195
AN19,KOR,0.3685760963914791,0.6516467601915661,0.6268065273284934,0.6796288302389503
AN19,KOR,0.3732309974510229,0.6595169305403765,0.634951132256324,0.6873079015728388
AN19,KOR,0.3778858985105667,0.6673000737982556,0.6428386171085984,0.6951218770877268
AN19,KOR,0.3825407995701106,0.6749929773725436,0.6505962182901643,0.703055043900749
AN19,KOR,0.3871957006296544,0.682592611035661,0.6582564272897973,0.7112073709837943
AN19,KOR,0.3918506016891984,0.6900961294728484,0.6654364158938556,0.7192079712081509
AN19,KOR,0.3965055027487422,0.697500874119968,0.672944972935859,0.7263527188720126
AN19,KOR,0.401160403808286,0.7048043743070038,0.6803738606844489,0.7335287080790265
AN19,KOR,0.4058153048678299,0.712004347726684,0.6873693119675677,0.7405660547798847
AN19,KOR,0.4104702059273737,0.7190987002511131,0.6944668646172163,0.7482121116560208
AN19,KOR,0.4151251069869176,0.7260855251224192,0.7015346020081971,0.7552395902223298
AN19,KOR,0.4197800080464615,0.7329631015461623,0.7084043352062286,0.7624084863236741
AN19,KOR,0.4244349091060053,0.7397298927186423,0.7150595559430521,0.7690876077314673
AN19,KOR,0.4290898101655492,0.7463845433212463,0.7213101549587192,0.775638677549912
AN19,KOR,0.433744711225093,0.7529258765166211,0.7277126788569719,0.781928363140056
AN19,KOR,0.4383996122846369,0.7593528904827308,0.7340343293607944,0.7883509533913974
AN19,KOR,0.4430545133441808,0.7656647545217814,0.7402524699783546,0.7945521006406188
AN19,KOR,0.4477094144037246,0.771860804781587,0.7463384221637643,0.8007139130739306
AN19,KOR,0.4523643154632685,0.7779405396272036,0.7521760931506903,0.8063930413224959
AN19,KOR,0.4570192165228123,0.7839036147006252,0.7582117247764114,0.8122806091806927
AN19,KOR,0.4616741175823562,0.7897498377060095,0.763974578489134,0.8177725322686643
AN19,KOR,0.4663290186419001,0.7954791629573195,0.7694465613732066,0.8232595486158312
AN19,KOR,0.4709839197014439,0.8010916857244496,0.7746892801927122,0.8286159719880442
AN19,KOR,0.4756388207609878,0.8065876364128816,0.7798784780677364,0.8341298319434733
AN19,KOR,0.4802937218205316,0.8119673746106982,0.7851435734910629,0.8391880576530635
AN19,KOR,0.4849486228800755,0.8172313830354122,0.790233115848767,0.8440218386415131
AN19,KOR,0.4896035239396193,0.8223802614115644,0.7951971150712556,0.8490451533746202
AN19,KOR,0.4942584249991632,0.8274147203084157,0.8003290293353867,0.8540957130914856
AN19,KOR,0.498913326058707,0.8323355749653635,0.80529259876896,0.8587270132748003
AN19,KOR,0.5035682271182509,0.8371437391309259,0.8099926943939914,0.8637693993660672
AN19,KOR,0.5082231281777947,0.8418402189393279,0.8145475185560745,0.8684103670949427
AN19,KOR,0.5128780292373386,0.8464261068468742,0.8188801653232425,0.8729046454756494
AN19,KOR,0.5175329302968825,0.8509025756484406,0.8231827454580611,0.877266781173248
AN19,KOR,0.5221878313564263,0.8552708725925701,0.8275916759393517,0.8813530034565893
AN19,KOR,0.5268427324159701,0.8595323136118405,0.8320493779297701,0.8852101437054051
AN19,KOR,0.531497633475514,0.8636882776833772,0.836647824777282,0.8889576858873729
AN19,KOR,0.536152534535058,0.8677402013326516,0.8407583291272333,0.8927725106019471
AN19,KOR,0.5408074355946018,0.8716895732920186,0.8448682155382117,0.8967277695823755
AN19,KOR,0.5454623366541456,0.8755379293238309,0.8487921827621282,0.9002575987649998
AN19,KOR,0.5501172377136895,0.8792868472164206,0.8525274482856062,0.9036765274398232
AN19,KOR,0.5547721387732334,0.882937941959775,0.8561860759910123,0.9069903710667324
AN19,KOR,0.5594270398327772,0.886492861106339,0.8597726869468048,0.9102015363768212
AN19,KOR,0.564081940892321,0.8899532803210856,0.8635173971309396,0.9132940588828052
AN19,KOR,0.5687368419518649,0.8933208991237733,0.8673454276976692,0.916287659393137
AN19,KOR,0.5733917430114088,0.8965974368251822,0.8707261710424583,0.9191870485759274
AN19,KOR,0.5780466440709526,0.8997846286580866,0.8739238251432593,0.9220127619481258
AN19,KOR,0.5827015451304964,0.9028842221027624,0.8773262650895373,0.9248083532664751
AN19,KOR,0.5873564461900403,0.9058979734059632,0.8806930621392821,0.9274873500277095
AN19,KOR,0.5920113472495843,0.9088276442915092,0.8838723664428586,0.9300940565253072
AN19,KOR,0.5966662483091281,0.9116749988599394,0.8869064756657165,0.9326101407199228
AN19,KOR,0.6013211493686719,0.9144418006740394,0.8898741662675675,0.9350419884113318
AN19,KOR,0.6059760504282157,0.9171298100265082,0.8927733895581713,0.9374823398470052
AN19,KOR,0.6106309514877596,0.9197407813855536,0.8957334152056406,0.9398299222207004
AN19,SPA,0.0925524162429589,0.0967836047563492,0.0716774742473718,0.1223057313571232
AN19,SPA,0.0980107532199976,0.1005097832777954,0.0748801748044022,0.1266089355731223
AN19,SPA,0.1034690901970362,0.1043628440518975,0.078213922860514,0.1310407972584917
AN19,SPA,0.1089274271740749,0.1083458208419116,0.0816829891876504,0.1355365565366546
AN19,SPA,0.1143857641511135,0.112461719550459,0.0852591738306809,0.1399012023745613
AN19,SPA,0.1198441011281522,0.1167135087904519,0.0889007100442319,0.1443822328596393
AN19,SPA,0.1253024381051908,0.121104109867811,0.092685000262494,0.1493313966021442
