"k","kind","status","z","log_likelihood","coefficient","std_error","singular","var_participant","var_item","var_talker","n_rows","participants","n_word_responses","predictor_shifted_mean","predictor_sd","fit_seconds","warnings","convergence","lme4_version"
1e-06,"grid","ok",3.89385342913895,-3162.85545528858,0.210112704919302,0.0539600960187564,FALSE,0.812348160068983,2.43210697775948,NA,8290,161,8290,-8.03221917143703e-06,4.74260406981028e-06,3.75,"","ok","1.1.35.5"
1.43722826598624e-06,"grid","ok",3.89385729275677,-3162.85544916359,0.210112898305699,0.0539600921421914,FALSE,0.81234836119588,2.43210741721151,NA,8290,161,8290,-1.15441050945288e-05,6.81617127021144e-06,3.97,"","ok","1.1.35.5"
2.06562508854983e-06,"grid","ok",3.89386777712771,-3162.85544102047,0.210112869611909,0.0539599394838459,FALSE,0.812349147566598,2.43210708908034,NA,8290,161,8290,-1.65914576791256e-05,9.79632512050542e-06,4.17,"","ok","1.1.35.5"
2.96877476419415e-06,"grid","ok",3.8938835349588,-3162.85542853626,0.21011334002134,0.0539598419251547,FALSE,0.812348733890256,2.43210540119087,NA,8290,161,8290,-2.3845595308949e-05,1.40794130567519e-05,4.51,"","ok","1.1.35.5"
4.26680700644649e-06,"grid","ok",3.89388061173781,-3162.85541100321,0.210113742369961,0.0539599857624265,FALSE,0.812348361834932,2.43210351845912,NA,8290,161,8290,-3.42713226623212e-05,2.02350364611691e-05,4.13,"","ok","1.1.35.5"
6.13237563517304e-06,"grid","ok",3.89386822770877,-3162.85538606599,0.210114366850216,0.0539603177516492,FALSE,0.812347980766903,2.43210490752564,NA,8290,161,8290,-4.92552159689571e-05,2.90817591845312e-05,4.22,"","ok","1.1.35.5"
8.81362360051604e-06,"grid","ok",3.89389778367115,-3162.85534952182,0.210115423209197,0.0539601794608746,FALSE,0.812348304751383,2.43210200953073,NA,8290,161,8290,-7.07899606513343e-05,4.17958721611584e-05,3.65,"","ok","1.1.35.5"
1.26671889644251e-05,"grid","ok",3.89388949571369,-3162.85529737547,0.210116661983326,0.0539606124453758,FALSE,0.812347877281609,2.4320993949693,NA,8290,161,8290,-0.000101739209025341,6.00676183715181e-05,3.82,"","ok","1.1.35.5"
1.82056420302608e-05,"grid","ok",3.89393567975689,-3162.85522252305,0.210118723124914,0.0539605017661803,FALSE,0.812347171335755,2.43209707665372,NA,8290,161,8290,-0.000146218081072012,8.63255283823502e-05,4.17,"","ok","1.1.35.5"
2.6165663326318e-05,"grid","ok",3.89395512038852,-3162.85511498352,0.21012153942976,0.0539609556179978,FALSE,0.812346805506209,2.43209227150712,NA,8290,161,8290,-0.000210139700056635,0.000124058438267938,4.51,"","ok","1.1.35.5"
3.76060309308639e-05,"grid","ok",3.89397557178264,-3162.85496047922,0.210125386569146,0.0539616601839522,FALSE,0.812346973290157,2.43208696815776,NA,8290,161,8290,-0.000302000005780988,0.00017827746991635,4.07,"","ok","1.1.35.5"
5.40484506253906e-05,"grid","ok",3.89406187078345,-3162.85473838659,0.210131183596909,0.053961952986287,FALSE,0.812346408705498,2.4320780857637,NA,8290,161,8290,-0.000434004299799081,0.000256178282924403,4.34,"","ok","1.1.35.5"
7.76799609715734e-05,"grid","ok",3.89415018477769,-3162.85441937986,0.210139110583617,0.053962764817098,FALSE,0.812344931812821,2.43206487923131,NA,8290,161,8290,-0.000623683436215148,0.000368089334274506,4.17,"","ok","1.1.35.5"
0.000111643835609,"grid","ok",3.89427143844056,-3162.85396122122,0.210151119791447,0.0539641684236578,FALSE,0.812343318619437,2.43204627657821,NA,8290,161,8290,-0.000896210647635338,0.000528827427717476,4.86,"","ok","1.1.35.5"
0.0001604576762604,"grid","ok",3.89445447441819,-3162.85330321902,0.210167831928536,0.0539659234198479,FALSE,0.812341637436313,2.43202058244163,NA,8290,161,8290,-0.00128771895688541,0.000759630869188104,4.41,"","ok","1.1.35.5"
0.0002306143078159,"grid","ok",3.89470629631192,-3162.85235936977,0.210192069649794,0.0539686573667531,FALSE,0.812338035073161,2.4319817155751,NA,8290,161,8290,-0.00185004349860041,0.00109090680698046,4.42,"","ok","1.1.35.5"
0.0003314454017339,"grid","ok",3.89506297713246,-3162.85100532008,0.210226700077061,0.0539726061712691,FALSE,0.812333507648503,2.43192805397917,NA,8290,161,8290,-0.00265748467408968,0.00156611595757136,4.47,"","ok","1.1.35.5"
0.0004763627000032,"grid","ok",3.89558585926574,-3162.84906481306,0.210276727635376,0.0539782038522466,FALSE,0.812327483836789,2.43184823173391,NA,8290,161,8290,-0.00381642003846624,0.0022472248803165,4.29000000000001,"","ok","1.1.35.5"
0.0006846419373062,"grid","ok",3.89632764907735,-3162.84628806786,0.210347969490684,0.053986211744922,FALSE,0.812318403271841,2.43173621704478,NA,8290,161,8290,-0.00547889632603291,0.00322227422811144,5.01000000000001,"","ok","1.1.35.5"
0.000983986744376,"grid","ok",3.89738131768473,-3162.84232157688,0.210449883049861,0.0539977656522664,FALSE,0.812304998506722,2.43157533407721,NA,8290,161,8290,-0.00786170856613076,0.00461571031661304,4,"","ok","1.1.35.5"
0.001,"grid","ok",3.89745992351274,-3162.84211023526,0.210455444801113,0.0539981036190954,FALSE,0.812304041081312,2.43156756300302,NA,8290,161,8290,-0.00798895854656228,0.00468998872289711,4.34999999999999,"","ok","1.1.35.5"
0.001414213562373,"grid","ok",3.89891605226109,-3162.83667148066,0.210595522301359,0.0540138642326575,FALSE,0.812285799051224,2.43134769727774,NA,8290,161,8290,-0.0112728908740239,0.00660212914777475,3.8,"","ok","1.1.35.5"
0.0020325477059837,"grid","ok",3.9010668032454,-3162.82865479824,0.210802550901529,0.0540371548434283,FALSE,0.812259161287196,2.43102105203486,NA,8290,161,8290,-0.0161479008029974,0.0094238131152362,4.89999999999999,"","ok","1.1.35.5"
0.0029212350150052,"grid","ok",3.90411011178749,-3162.81734583743,0.211095861384079,0.0540701607638392,FALSE,0.81222012628224,2.43055973172766,NA,8290,161,8290,0.976902182214189,0.0134115459077009,3.97000000000001,"","ok","1.1.35.5"
0.0041984815351543,"grid","ok",3.90833111101814,-3162.80152636829,0.21150838600651,0.0541173150376736,FALSE,0.8121636648416,2.42991107395687,NA,8290,161,8290,0.967028972230718,0.0190060021462641,4.27,"","ok","1.1.35.5"
0.0060341763365451,"grid","ok",3.91416901173902,-3162.77967168123,0.212082912569971,0.0541833814364967,FALSE,0.812083617076798,2.42901097586421,NA,8290,161,8290,0.953073004154455,0.0267723950496426,4.33,"","ok","1.1.35.5"
0.008672488792828,"grid","ok",3.92205213263471,-3162.75003808739,0.212872144058571,0.0542757048758478,FALSE,0.81196856566468,2.42776829529808,NA,8290,161,8290,0.933486213739677,0.037392440398789,3.92,"","ok","1.1.35.5"
0.0124643460295013,"grid","ok",3.93238861905685,-3162.71098823562,0.213933265071333,0.0544028797241924,FALSE,0.811804854931122,2.42610689662588,NA,8290,161,8290,0.906273241278562,0.0516037025257548,3.66000000000001,"","ok","1.1.35.5"
0.0179141104306328,"grid","ok",3.94530796228189,-3162.66180435422,0.215315167026896,0.0545749961943052,FALSE,0.811572666148555,2.42395306270588,NA,8290,161,8290,0.868999455240729,0.0700385113571512,4.14,"","ok","1.1.35.5"
0.0257466658709044,"grid","ok",3.96016188577128,-3162.60439349003,0.217027209555973,0.054802610553812,FALSE,0.81124555731157,2.42131530129404,NA,8290,161,8290,0.81895111927549,0.0929035758793744,4.55,"","ok","1.1.35.5"
0.0370038359445673,"grid","ok",3.97468822209347,-3162.54641645692,0.218978121103872,0.0550931567126883,FALSE,0.810791183031848,2.41839524845527,NA,8290,161,8290,0.753571849776833,0.119467149950698,4.74999999999999,"","ok","1.1.35.5"
0.05,"grid","ok",3.9828493762302,-3162.51057424525,0.220579203258434,0.0553822608946397,FALSE,0.810293694745487,2.41615788877034,NA,8290,161,8290,0.686499216892842,0.142736257195238,4.84,"","ok","1.1.35.5"
0.0531829589694498,"grid","ok",3.98356378484858,-3162.50627529804,0.220876431409295,0.0554469423206915,FALSE,0.810175120048219,2.41577549134361,NA,8290,161,8290,0.671298571401199,0.147435527101265,4.83000000000001,"","ok","1.1.35.5"
0.0764360518996801,"grid","ok",3.97650878888442,-3162.51987873654,0.222085614685317,0.0558493961602991,FALSE,0.809368823257032,2.41467956753297,NA,8290,161,8290,0.572794230711756,0.172542713258669,4.94999999999999,"","ok","1.1.35.5"
0.109856054330612,"grid","ok",3.93567528587864,-3162.64835076247,0.221426789060194,0.0562614476490687,FALSE,0.808374165933758,2.41723539823834,NA,8290,161,8290,0.462231414144146,0.188955025997066,4.28,"","ok","1.1.35.5"
0.157888226473676,"grid","ok",3.83293085072624,-3162.98430290153,0.216954624307846,0.0566028015524305,FALSE,0.807262086932073,2.42645928771671,NA,8290,161,8290,0.347790386360478,0.191049850591691,4.29000000000002,"","ok","1.1.35.5"
0.226921421954405,"grid","ok",3.6286903337829,-3163.64394841577,0.20583957878801,0.0567255841237415,FALSE,0.806237664434343,2.44556597094582,NA,8290,161,8290,0.240368501873899,0.176272172025268,3.80999999999997,"","ok","1.1.35.5"
0.326137881790662,"grid","ok",3.28191302763896,-3164.70500715741,0.185015342292822,0.0563742368352534,FALSE,0.805691900326825,2.47601491364895,NA,8290,161,8290,0.150347692496332,0.147275583639181,4.13,"","ok","1.1.35.5"
0.468734582318421,"grid","ok",2.78306063065523,-3166.07481117108,0.153465592396857,0.0551427413066187,FALSE,0.806098122826876,2.51475585153451,NA,8290,161,8290,0.0839389515040151,0.111200749377364,3.97999999999999,"","ok","1.1.35.5"
0.67367859095329,"grid","ok",2.1887819478674,-3167.44374214451,0.114990256308791,0.0525361863573619,FALSE,0.807626324785165,2.5539103592875,NA,8290,161,8290,0.0413716394186658,0.076283999736369,4.02000000000001,"","ok","1.1.35.5"
0.968229913107852,"grid","ok",1.61236177164297,-3168.48267960031,0.0780461069333744,0.048404835878642,FALSE,0.809768268170856,2.58499063309044,NA,8290,161,8290,0.0179251476077798,0.0484099942562571,3.75,"","ok","1.1.35.5"
