scope,objective,descriptive_tolerance,points,tau_min,tau_max,k_min,k_max
expanded,z,0.01,7,0.5,0.625,0.0029212350150052,0.0124643460295013
expanded,log_likelihood,0.1,20,0.5,0.75,0.0003314454017339,0.0179141104306328
metric_tau_ge_1,z,0.01,3,1.0,1.0,0.0124643460295013,0.0257466658709044
metric_tau_ge_1,log_likelihood,0.1,11,1.0,1.125,0.0041984815351543,0.0370038359445673
