tau,k,condition_id,n,distance_mean,distance_min,distance_max,similarity_mean,similarity_sd,similarity_min,similarity_max,below_001,above_099,zero_distances
0.5,0.0060341763365451,X21.Control,2730,37.85779287942764,8.058637884216415,158.22693028206302,0.8020365863611758,0.09538550040243217,0.3849009700185969,0.9525361289678482,0,0,0
0.5,0.0060341763365451,X21.Multi_talker,2779,36.022027686659364,8.813170663771956,167.8118232701223,0.8094408758384152,0.08406139038528349,0.3632710122818519,0.9482091052715668,0,0,0
0.5,0.0060341763365451,X21.Single_talker,2781,35.732481019050596,1.4237035190528473,209.99715793225727,0.8138658345603553,0.10607778075836069,0.2816303506704449,0.991445918062413,0,1,0
1.0,0.0179141104306328,X21.Control,2730,14.228027880181548,2.995867270720107,55.297860800716975,0.782378620647213,0.10201922207845043,0.3713493612432811,0.9477464245843232,0,0,0
1.0,0.0179141104306328,X21.Multi_talker,2779,13.544223183955022,3.355394847851314,60.59794153981947,0.7901755977952083,0.08971033496822158,0.33771321614042515,0.9416619679754064,0,0,0
1.0,0.0179141104306328,X21.Single_talker,2781,13.456750901607249,0.5198493744246662,75.17856600491896,0.7950462437752865,0.1138223156761958,0.26008230680481026,0.9907305892287538,0,1,0
