"k","kind","status","z","log_likelihood","coefficient","std_error","singular","var_participant","var_item","var_talker","n_rows","participants","n_word_responses","predictor_shifted_mean","predictor_sd","fit_seconds","warnings","convergence","lme4_version"
1e-06,"grid","ok",3.88090379703303,-3162.90388629271,0.209388622780674,0.0539535720882215,FALSE,0.812327998256959,2.43246618698381,NA,8290,161,8290,-7.88897823072335e-06,4.65641069668859e-06,3.94,"","ok","1.1.35.5"
1.43722826598624e-06,"grid","ok",3.88091411847408,-3162.90388012979,0.209388724945656,0.0539534549215905,FALSE,0.812328302645263,2.43246536278483,NA,8290,161,8290,-1.13382361367548e-05,6.69229294885233e-06,3.79,"","ok","1.1.35.5"
2.06562508854983e-06,"grid","ok",3.88089183259539,-3162.90387199895,0.209388797958469,0.0539537835607334,FALSE,0.812328665716994,2.43246563179918,NA,8290,161,8290,-1.62955789997675e-05,9.61828623791026e-06,4.19,"","ok","1.1.35.5"
2.96877476419415e-06,"grid","ok",3.88090679910494,-3162.90385951996,0.209389228919224,0.0539536865372586,FALSE,0.8123284946361,2.43246535017859,NA,8290,161,8290,-2.342035425095e-05,1.38235357938005e-05,3.92,"","ok","1.1.35.5"
4.26680700644649e-06,"grid","ok",3.88091417307687,-3162.90384208611,0.209389623524639,0.0539536857004571,FALSE,0.812328423535883,2.43246523185857,NA,8290,161,8290,-3.3660162752234e-05,1.9867293273697e-05,4,"","ok","1.1.35.5"
6.13237563517304e-06,"grid","ok",3.88092701306078,-3162.90381647731,0.209390392828685,0.0539537054224435,FALSE,0.81232812678343,2.4324630484905,NA,8290,161,8290,-4.83768573490496e-05,2.85532506868155e-05,3.99,"","ok","1.1.35.5"
8.81362360051604e-06,"grid","ok",3.88093763514471,-3162.90378046872,0.209391135399756,0.053953749089799,FALSE,0.812328390656468,2.4324623935538,NA,8290,161,8290,-6.95275953299094e-05,4.10363310891751e-05,4.33,"","ok","1.1.35.5"
1.26671889644251e-05,"grid","ok",3.88096232545653,-3162.90372758207,0.209392459121086,0.0539537469218939,FALSE,0.812328028260142,2.43246005366733,NA,8290,161,8290,-9.99249773258174e-05,5.89760800627822e-05,4.46,"","ok","1.1.35.5"
1.82056420302608e-05,"grid","ok",3.8809821764458,-3162.9036523534,0.20939459024975,0.0539540200727006,FALSE,0.812327583034937,2.43245730265967,NA,8290,161,8290,-0.000143610771776733,8.47569361005636e-05,3.8,"","ok","1.1.35.5"
2.6165663326318e-05,"grid","ok",3.88099596466243,-3162.90354438866,0.209397462325045,0.0539545684230721,FALSE,0.81232703757514,2.43245226949719,NA,8290,161,8290,-0.000206392723201212,0.000121804420850719,3.72,"","ok","1.1.35.5"
3.76060309308639e-05,"grid","ok",3.8810441714542,-3162.90338887311,0.209401012717247,0.0539548130519695,FALSE,0.812326809943047,2.43244749690586,NA,8290,161,8290,-0.000296615409282561,0.000175038774430283,4.5,"","ok","1.1.35.5"
5.40484506253906e-05,"grid","ok",3.881100904739,-3162.90316581293,0.209406832798994,0.0539555239450999,FALSE,0.81232614370949,2.43243795732108,NA,8290,161,8290,-0.000426266777957044,0.000251525277019964,4.89,"","ok","1.1.35.5"
