speaker_id,canonical_phone,mean_distance,n_word_types,n_phone_intervals,language,branch,analysis
AN19.KOR.kf2,th,41.52277996985579,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,uh,35.07679919218841,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,uw,36.212547780556974,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,v,33.28551131097677,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf2,w,61.19353856927911,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,aa,40.642231178700534,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,ae,47.910663103232494,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,ah,46.00758464683667,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,ao,39.771842785329795,2,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,ay,39.44970032620569,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,b,37.53315137739154,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,ch,24.221263304706703,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,d,54.88266139073081,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,eh,47.00467408478701,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,er,22.084004389604548,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,ey,20.679010234452253,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,f,36.07988208005772,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,g,43.68633941854755,10,10,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,hh,42.05637658710891,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,ih,52.33015772322737,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,iy,26.926021910628663,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,jh,54.8446057466242,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,k,51.67927520016449,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,l,22.580557729486088,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,m,39.37800548477161,8,8,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,n,49.40912055114448,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,ng,60.15661679111001,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,ow,41.74767460714783,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,oy,44.343656122876325,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,p,44.858748379214546,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,r,29.592416435747015,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,s,34.920745343255724,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,sh,14.17173692850872,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,t,41.48742697870698,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,th,40.44041181586094,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,uh,26.916183539086063,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,uw,57.09096649841083,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,v,32.11446224488474,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,w,59.75784544695313,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf3,y,24.747588963081423,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,aa,34.475324122867185,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,ae,20.47538214190696,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,ah,50.98899595483724,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,ao,29.25316412288874,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,ay,46.74162269586687,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,b,31.681211583453386,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,ch,39.98337256625082,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,d,38.672104001313166,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,eh,54.65364661952532,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,er,21.462403468867933,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,ey,28.077362157995402,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,f,48.40541006552463,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,g,42.72605602955544,10,10,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,hh,44.757463722336674,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,ih,52.50646476606147,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,iy,19.62452004430611,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,jh,54.34041474803297,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,k,49.98654117584392,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,l,34.8828767921947,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,m,33.87304974554886,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,n,33.4440426480125,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,ng,25.69423119248505,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,ow,25.669146805999986,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,oy,32.40456896449373,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,p,38.63555002166561,8,8,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,r,36.691166995055006,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,s,26.97089842112536,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,sh,26.950566664670188,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,t,41.684399453384295,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,th,44.55097359215851,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,uh,30.236658297957057,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,uw,19.016350317668124,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,v,34.2371461726118,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,w,75.09223822071488,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf4,y,62.52210611048613,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,aa,40.48059637108248,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,ae,16.114216113364073,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,ah,31.600391128522954,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,ao,39.05705385593294,3,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,ay,32.17426047306229,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,b,39.19981263623796,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,ch,38.49966781070383,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,d,29.8650605760788,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,eh,47.22908269764897,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,er,26.776560481189545,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,ey,23.760798848454492,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,f,50.6924093140629,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,g,35.530125946788246,8,8,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,hh,34.47412316831313,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,ih,45.96832800066444,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,iy,31.2745068857173,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,jh,38.96143020971055,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,k,34.67222781327397,8,8,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,l,29.82312529490034,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,m,34.94583107777027,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,n,28.25640355674699,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,ng,19.651323437875362,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,ow,56.60070437425688,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,oy,49.4419551675396,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,p,37.54381193385007,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,r,35.6412757738518,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,s,39.9886540161395,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,sh,9.921125558546983,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,t,43.254854386909464,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,th,52.62095255854452,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,uh,43.168671094658215,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,uw,21.230476834917752,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,v,32.90980584152624,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,w,65.10234444535824,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf5,y,57.382781389287004,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,aa,39.89433857092319,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,ae,30.126155687975473,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,ah,46.484595647922035,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,ao,46.32828947994608,3,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,ay,31.288434997717072,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,b,40.60422816646352,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,ch,59.890004570921775,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,d,42.318455781565774,5,5,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,eh,73.26542929595044,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,er,31.173761524445933,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,ey,23.66551631332599,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,f,45.60272909432952,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,g,39.96823427175374,9,9,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,hh,25.199553277539643,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,ih,26.639580019689486,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,iy,26.46336653229146,9,9,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,jh,39.27294024773798,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,k,40.58787543061589,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,l,20.125224846128432,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,m,39.320135239231284,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,n,31.40330104710525,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,ng,27.687191041139904,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,ow,57.98118594905111,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,oy,37.18338757457526,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,p,47.77970096000896,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,r,17.330088141101218,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,s,25.51565601781577,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,sh,18.7487259777067,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,t,43.43214010074606,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,th,45.6824885312468,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,uh,30.607617530290185,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,uw,35.6591870301995,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,v,27.42235488993536,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.kf6,w,46.64258935192925,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,aa,61.758370823596294,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,ae,53.993158298555784,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,ah,58.886268841910656,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,ao,65.05104132808368,3,4,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,ay,27.42612966132569,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,b,41.31824428206327,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,ch,21.46641681463592,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,d,39.584808336598144,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,eh,51.18967971055284,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,er,29.013885130776675,1,1,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,ey,40.99468039054158,6,6,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,f,49.218825503648254,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,g,50.556906627579906,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,hh,38.98641169747022,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,ih,36.39342268115733,3,3,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,iy,30.28802185353928,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,jh,45.053217918497445,4,4,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,k,53.63292073425362,7,7,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,l,37.49343501215846,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,m,46.77916132162993,9,9,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,n,32.896332145376206,2,2,Korean,Koreanic,six_reference_complete
AN19.KOR.km1,ng,22.862052887399592,2,2,Korean,Koreanic,six_reference_complete
