recording_id,speaker_id,word,accent,source_l1_language,source_filename,source_wav_relpath,legacy_key_collision,config_sha256,human_verified,status,sha256,source_rate,source_channels,decoded_samples,duration_seconds,resampled_samples,chosen_dictionary_variant,model_frames,lexical_identity_unresolved,short_phone_count,low_posterior_phone_count,annotation_word
AN19-rec-8789a9687eee79fed3bf,AN19.ENG.em1,neck,ENG,English,em1ew48 neck.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew48 neck.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,b3a2843177e4322150b4e2d1e46b35ab56cf0ac428aa5272b2d5b4e7651f4c8d,22050,1,9216,0.4179591836734694,6688,0,39,False,2,1,neck
AN19-rec-f01f2eddd63ee5add94f,AN19.ENG.em1,watch,ENG,English,em1ew49 watch.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew49 watch.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,283307f3adc4cdb817bbf83a5d79fc24f31e292438e13df8f8101a6dae489bb7,22050,1,13376,0.6066213151927438,9706,0,58,False,1,2,watch
AN19-rec-795abbb50408ce874713,AN19.ENG.em1,judge,ENG,English,em1ew50 judge.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew50 judge.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,9c9a53b1c7c546e2e02d0e99c7ac6c7c1ab8d74bd9a87e7e7140c7ce2cb13b2e,22050,1,9696,0.4397278911564626,7036,0,42,False,3,1,judge
AN19-rec-7fdd6c731c59b6d4244a,AN19.ENG.em1,dog,ENG,English,em1ew51 dog.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew51 dog.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,a982aae6737ee7c302b2501088315ce0d9d2de7fba2ed2361d0392b18dacaf26,22050,1,9920,0.44988662131519275,7199,0,43,False,1,3,dog
AN19-rec-c06dbf065175e15ad1f8,AN19.ENG.em1,vote,ENG,English,em1ew52 vote.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew52 vote.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,566ae117dfbbfad5d08e2e9b9d85584b9783eb5e7937fe7c5bbf1b0a78d99ad8,22050,1,11840,0.5369614512471655,8592,0,51,False,2,2,vote
AN19-rec-beda7d7e1704e27aac72,AN19.ENG.em1,league,ENG,English,em1ew53 league.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew53 league.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,fed5239d9ed858aac81d9219af0666aa8a415cbb3dd29596d4eb32a21fb9615f,22050,1,11968,0.5427664399092971,8685,0,52,False,0,1,league
AN19-rec-38bccf3aa1bbb43f3031,AN19.ENG.em1,thick,ENG,English,em1ew54 thick.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew54 thick.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,e941028ab28e6ad1bf944302b7d2f1d6e0361346b29a9bbb2bf1cd85d5e035e9,22050,1,12544,0.5688888888888889,9103,0,54,False,1,2,thick
AN19-rec-31c1778d98981cff50eb,AN19.ENG.em1,page,ENG,English,em1ew55 page.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew55 page.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,1dad0b211ae3a8d4c3c721011daf60f28e3af57b315e46baf3dd812bc8e8b4e8,22050,1,11968,0.5427664399092971,8685,0,52,False,0,3,page
AN19-rec-fbab9bd0b7a8d35f74d8,AN19.ENG.em1,hung,ENG,English,em1ew56 hung.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew56 hung.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,7a6f61094bb04f32810fd9edd46f1e082d4fe9b22bfc28dff85626247fd1aa35,22050,1,11520,0.5224489795918368,8360,0,50,False,2,2,hung
AN19-rec-ec366505ebca26c097e1,AN19.ENG.em1,join,ENG,English,em1ew57 join.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew57 join.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,25179c70460556dd68c711c3567be5a93df45c50d03a18859ecafdf5df4fc4cd,22050,1,10752,0.4876190476190476,7802,0,46,False,1,2,join
AN19-rec-6a084e10d53ea499b8a5,AN19.ENG.em1,shop,ENG,English,em1ew58 shop.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew58 shop.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,0866e2429108b1688dee22bef28317043cd2ecb1d63bf1804af128844432131a,22050,1,12544,0.5688888888888889,9103,0,54,False,1,2,shop
AN19-rec-119544c86b598ce09479,AN19.ENG.em1,roof,ENG,English,em1ew59 roof.WAV,data/raw_data/alexander_nygaard19/sound_stimuli/L1-English/em1/em1ew59 roof.WAV,False,cfaee04c2fc09bfd72583ac4f7d864f21c40994d9f3e40281baea4d0fd078ac0,False,aligned,4cfb3765e050de722a6a7baf9642897c2a274ddae8d7f81a5178c5f175ac5f25,22050,1,11904,0.5398639455782313,8638,0,52,False,0,2,roof
