speaker_id,canonical_phone,comparison_word,mean_distance,n_phone_intervals,analysis
AN19.KOR.kf1,k,king,62.5162977925319,1,six_reference_complete
AN19.KOR.kf1,k,suck,89.13307323732973,1,six_reference_complete
AN19.KOR.kf1,k,thick,44.055742396390315,1,six_reference_complete
AN19.KOR.kf1,l,hurl,31.050141313489295,1,six_reference_complete
AN19.KOR.kf1,l,league,35.242168593404195,1,six_reference_complete
AN19.KOR.kf1,l,lice,19.807047930744883,1,six_reference_complete
AN19.KOR.kf1,m,bum,48.4939213071851,1,six_reference_complete
AN19.KOR.kf1,m,mall,37.37520710873545,1,six_reference_complete
AN19.KOR.kf1,m,mote,55.3328974493632,1,six_reference_complete
AN19.KOR.kf1,m,move,35.14597636244222,1,six_reference_complete
AN19.KOR.kf1,m,mum,30.898293704705736,1,six_reference_complete
AN19.KOR.kf1,m,rhyme,31.852578506245667,1,six_reference_complete
AN19.KOR.kf1,m,theme,30.305448160693285,1,six_reference_complete
AN19.KOR.kf1,n,fin,29.682619894908843,1,six_reference_complete
AN19.KOR.kf1,ng,long,24.478775894317945,1,six_reference_complete
AN19.KOR.kf1,ow,mote,53.07272335792647,1,six_reference_complete
AN19.KOR.kf1,ow,soak,25.57497254555366,1,six_reference_complete
AN19.KOR.kf1,oy,soil,23.814882878995064,1,six_reference_complete
AN19.KOR.kf1,oy,voice,45.923473242912245,1,six_reference_complete
AN19.KOR.kf1,p,deep,24.58530571759641,1,six_reference_complete
AN19.KOR.kf1,p,page,15.05040119367033,1,six_reference_complete
AN19.KOR.kf1,p,path,29.89942816403493,1,six_reference_complete
AN19.KOR.kf1,p,pool,25.139164979869495,1,six_reference_complete
AN19.KOR.kf1,p,pup,45.72086934828775,1,six_reference_complete
AN19.KOR.kf1,p,ship,29.870090179641736,1,six_reference_complete
AN19.KOR.kf1,p,shop,45.358375980300565,1,six_reference_complete
AN19.KOR.kf1,r,cheer,17.83328936639848,1,six_reference_complete
AN19.KOR.kf1,r,rim,64.94336958475759,1,six_reference_complete
AN19.KOR.kf1,r,rough,21.92227939906985,1,six_reference_complete
AN19.KOR.kf1,r,whore,69.34681744625966,1,six_reference_complete
AN19.KOR.kf1,s,gas,20.559552269306746,1,six_reference_complete
AN19.KOR.kf1,s,lice,32.65655761079477,1,six_reference_complete
AN19.KOR.kf1,s,mace,51.49741314028223,1,six_reference_complete
AN19.KOR.kf1,s,peace,20.583838424830105,1,six_reference_complete
AN19.KOR.kf1,s,sane,21.962662507046176,1,six_reference_complete
AN19.KOR.kf1,s,soil,16.633472222753138,1,six_reference_complete
AN19.KOR.kf1,sh,hash,33.865698448115545,1,six_reference_complete
AN19.KOR.kf1,sh,shall,11.478736351791042,1,six_reference_complete
AN19.KOR.kf1,sh,ship,13.046052934195231,1,six_reference_complete
AN19.KOR.kf1,sh,shop,15.146179979333908,1,six_reference_complete
AN19.KOR.kf1,t,goat,34.52856945644498,1,six_reference_complete
AN19.KOR.kf1,t,hoot,44.168751381406544,1,six_reference_complete
AN19.KOR.kf1,t,route,38.26077340194655,1,six_reference_complete
AN19.KOR.kf1,t,toot,17.128815594925175,1,six_reference_complete
AN19.KOR.kf1,t,white,47.46572031828188,1,six_reference_complete
AN19.KOR.kf1,th,both,72.70575650393816,1,six_reference_complete
AN19.KOR.kf1,th,death,49.52659814299653,1,six_reference_complete
AN19.KOR.kf1,th,mouth,78.17178974622188,1,six_reference_complete
AN19.KOR.kf1,th,theme,24.316392271318673,1,six_reference_complete
AN19.KOR.kf1,th,thick,47.31521362227335,1,six_reference_complete
AN19.KOR.kf1,uh,full,28.046668413789217,1,six_reference_complete
AN19.KOR.kf1,uh,pull,47.385894444028715,1,six_reference_complete
AN19.KOR.kf1,uw,fool,28.834685964879515,1,six_reference_complete
AN19.KOR.kf1,uw,lose,11.070657190259126,1,six_reference_complete
