"dataset_id","feature_key","held_out_fold","n_training_rows","n_held_out_rows","training_mean","training_sd"
"X21","tr_22",0,10969,5508,3.57250745354006,4.33476641476305
"X21","tr_22",1,10974,5503,3.50094734153238,4.33382673313891
"X21","tr_22",2,11011,5466,3.54876822220745,4.43066835741962
