feature_key,M_condition,M_joint,M_predictor,predictor_oof_total_log_loss,predictor_oof_total_trials,layer,dataset_id,variant,predictor_beyond_condition_oof_gain,condition_beyond_predictor_oof_gain,joint_estimate,joint_std_error,joint_z_value,joint_p_value,joint_conf_low,joint_conf_high,predictor_beyond_condition_lrt_chisq,predictor_beyond_condition_lrt_df,predictor_beyond_condition_lrt_p,condition_beyond_predictor_lrt_chisq,condition_beyond_predictor_lrt_df,condition_beyond_predictor_lrt_p,predictor_beyond_condition_oof_ci_low,predictor_beyond_condition_oof_ci_high,condition_beyond_predictor_oof_ci_low,condition_beyond_predictor_oof_ci_high,all_fits_converged,any_singular_fit
cnn_3::overall_order_sensitive,0.684140214084024,0.684423174135676,0.68977851860139,3973.12426714401,5760,cnn_3,AN19,base,-0.00028296005165195925,0.0053553444657139515,0.0778091597626638,0.0516649526076756,1.50603370051488,0.132058522637684,-0.0234541473483804,0.179072466873708,2.13650882302227,1,0.14382888279552,18.6860489892561,5,0.0021988140816017,-0.0016859054317748625,0.0011070133096717136,-0.006463446905361607,0.01701110043990272,True,False
cnn_3::overall_order_sensitive,0.684140214084024,0.684423174135676,0.68977851860139,3973.12426714401,5760,cnn_3,AN19,ft,-0.00028296005165195925,0.0053553444657139515,0.0778091597626638,0.0516649526076756,1.50603370051488,0.132058522637684,-0.0234541473483804,0.179072466873708,2.13650882302227,1,0.14382888279552,18.6860489892561,5,0.0021988140816017,-0.0016588745091219224,0.0011650704658527527,-0.006709433485717452,0.016879323286441157,True,False
cnn_6::overall_order_sensitive,0.48721765133721,0.487382567099342,0.490355675678278,8079.59046815099,16477,cnn_6,X21,base,-0.00016491576213201187,0.002973108578935957,-0.0759641866005905,0.0826383324440062,-0.91923668295294,0.35797178785868,-0.237935318190843,0.0860069449896615,0.831284308367685,1,0.361901420591303,21.4227143737644,3,8.60016554702931e-05,-0.001053893691923983,0.0007078998691787395,-0.0008764144849949145,0.00685959051190294,True,False
cnn_6::overall_order_sensitive,0.48721765133721,0.487382567099342,0.490355675678278,8079.59046815099,16477,cnn_6,X21,ft,-0.00016491576213201187,0.002973108578935957,-0.0759641866005905,0.0826383324440062,-0.91923668295294,0.35797178785868,-0.237935318190843,0.0860069449896615,0.831284308367685,1,0.361901420591303,21.4227143737644,3,8.60016554702931e-05,-0.0010520555415183858,0.00068039616300653,-0.0008388092704497841,0.006753208133614058,True,False
tr_6::overall_order_sensitive,0.570954682815897,0.57296288693982,0.568654114048756,17761.3425981988,31234,tr_6,B23,base,-0.0020082041239229964,-0.004308772891064017,5.2833005251987,1.80348379406659,2.92949708923396,0.00339510992851,1.74847228882818,8.81812876156921,5.77316107771185,1,0.0162727380648464,9.96698357971763,7,0.19045221317448,-0.007452023811809532,0.0032782444971549032,-0.010801659500236904,0.002406052011833382,True,False
tr_20::overall_order_sensitive,0.570954682815897,0.56655836761732,0.568186345942328,17746.7323291627,31234,tr_20,B23,ft,0.004396315198576972,0.0016279783250079394,-13.1518747471095,1.84151218765038,-7.14188851711603,9.20572503257986e-13,-16.7612386349042,-9.54251085931474,10.1959460057915,1,0.0014074973642009,15.9550932342208,7,0.0255298170357309,-0.0021383302299821214,0.01488430973460382,-0.007257203694451058,0.012028567321750143,True,False
