dataset_id,feature_key,scope,fold,model_id,n_rows,predictor_oof_total_trials,predictor_oof_total_log_loss,M_predictor,layer,measure,variant,selection_stratum,M_condition,M_joint,predictor_beyond_condition_oof_gain,condition_beyond_predictor_oof_gain,predictor_beyond_condition_oof_ci_low,predictor_beyond_condition_oof_ci_high,condition_beyond_predictor_oof_ci_low,condition_beyond_predictor_oof_ci_high,all_fits_converged,any_singular_fit
B23,tr_12::between_type_sentence,oof_all,,M_predictor,10080,54096,30724.5458862099,0.567963359328044,tr_12,between_type_sentence,base,order_independent_168_participants,0.570434716643507,0.570534465507165,-9.974886365804458e-05,-0.002571106179121041,-0.0006783392802828706,0.0003890217605718416,-0.004730649456041651,-0.0005901981769101727,True,False
B23,tr_4::between_type_sentence,oof_all,,M_predictor,10080,54096,30726.7125330124,0.568003411213627,tr_4,between_type_sentence,ft,order_independent_168_participants,0.570434716643507,0.570534466281336,-9.974963782899415e-05,-0.0025310550677090093,-0.0006976690145935343,0.0003912641606902501,-0.0041784592948110435,-0.0009981400536239159,True,False
