dataset_id,family,variant,feature_key,estimate,std_error,z_value,p_value,conf_low,conf_high,coefficient_q_bh,chisq,df,lrt_p_value,M_condition,M_joint,M_predictor,oof_gain_joint_vs_condition,model_directory,diagnostics_valid,numerically_valid,numerical_note,selection_rule,predictor_beyond_condition_oof_gain,condition_beyond_predictor_oof_gain,predictor_beyond_condition_oof_ci_low,predictor_beyond_condition_oof_ci_high,condition_beyond_predictor_oof_ci_low,condition_beyond_predictor_oof_ci_high,all_fits_converged,any_singular_fit
AN19,HuBERT t-SNE,base,tr_10,0.478907614150832,0.110641130619362,4.32847722605452,1.50143854931052e-05,0.262050998136883,0.695764230164782,0.0001583036235528,17.2145628463859,1,3.33867214630292e-05,0.684831087970661,0.612547372626821,0.619244977645451,0.0722837153438399,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_base_tsne-confirmatory,True,True,ok,minimum three-fold held-out mean log loss from M_predictor,0.07228371534383993,0.006697605018629926,0.06448201624982397,0.08003234296067951,-0.0038685783663471676,0.017084464895055964,True,False
AN19,HuBERT t-SNE,ft,tr_10,0.37246797230328,0.116617563286179,3.19392689923767,0.0014035165226525,0.143897548262368,0.601038396344191,0.009817432435251,9.41149138906349,1,0.0021562976955753,0.684884596737085,0.631497990001816,0.636032774020209,0.053386606735269,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\AN19-AN19_hubert_ft_tsne-confirmatory,True,True,ok,minimum three-fold held-out mean log loss from M_predictor,0.05338660673526907,0.004534784018393023,0.04572656015667016,0.06108947751661516,-0.006174229480131112,0.015314411396805587,True,False
X21,HuBERT t-SNE,base,tr_14,0.119450136690251,0.0454846726971534,2.62616238849459,0.0086353609318526,0.0303001782038305,0.208600095176672,0.1554364967733468,6.47980283668039,1,0.0109107085701912,0.48721765133721,0.481475623160151,0.482788193252165,0.0057420281770589,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\X21-X21_hubert_base_tsne-confirmatory,True,True,ok,minimum three-fold held-out mean log loss from M_predictor,0.005742028177058989,0.001312570092013965,0.004966331137714184,0.006572260039917581,-0.0028808995378614794,0.005684827241105984,True,False
X21,HuBERT t-SNE,ft,tr_22,0.0849228715033007,0.0379853245919111,2.23567581469041,0.0253730143909839,0.0104716353031549,0.159374107703446,0.1719435796869108,4.74131315029626,1,0.0294465866764972,0.48721765133721,0.480443093404869,0.483093297404871,0.0067745579323409,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\X21-X21_hubert_ft_tsne-confirmatory,True,True,ok,minimum three-fold held-out mean log loss from M_predictor,0.006774557932340997,0.0026502040000019877,0.005919380842940831,0.007621476457116473,-0.0022226634480965266,0.007700889523166191,True,False
B23,HuBERT t-SNE,base,tr_24,0.0242718898389972,0.0132285362826601,1.83481296194596,0.0665334073965881,-0.0016560412750165,0.0501998209530111,0.2170249896429202,3.35872108626791,1,0.0668499660600757,0.570434716643507,0.56990377273366,0.568779658317399,0.0005309439098469,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\B23-B23_hubert_base_tsne-confirmatory,True,True,ok,minimum three-fold held-out mean log loss from M_predictor,0.0005309439098469815,-0.001124114416261035,0.0004048617643981314,0.0006576625973523779,-0.004215297078795382,0.002133893429412669,True,False
B23,HuBERT t-SNE,ft,tr_20,0.0291309755084481,0.0158483354493238,1.83810947222794,0.066046275696304,-0.0019317619722266,0.0601937129891228,0.2517041895801,3.37390974938171,1,0.0662363905076306,0.570434716643507,0.570139924032308,0.569008063509715,0.000294792611199,C:\Users\Alex\Documents\GitHub\Similarity-based inferences predict cross-talker generalization during human speech perception\cross_talker_generalization\artifacts\models\B23-B23_hubert_ft_tsne-confirmatory,True,True,ok,minimum three-fold held-out mean log loss from M_predictor,0.000294792611199024,-0.0011318605225929534,0.00017008629406411687,0.0004283405079225124,-0.0042674831016583465,0.00226432107594012,True,False
