dataset_id,model_variant,representation,layer,fold,type,fold_val,fold_train,alpha,k,z_train,z_test,poll_train,poll_test,optimism
B23,acoustic_baseline,strf24_legacy,global_z,1,corrected,2,3,0.1,0.0010037010865477953,-0.7664698620325259,1.1527888602983356,-0.07599956356577513,-0.0835939476943056,0.09992668078886774
B23,acoustic_baseline,strf24_legacy,global_z,2,corrected,3,1,0.1,0.9897009277423171,-0.36209051559091093,0.4618350863575966,-0.0836271609747685,-0.0822765260112589,-0.016150673390874774
B23,acoustic_baseline,strf24_legacy,global_z,3,corrected,1,2,0.1,0.0010037010865477953,2.68896723034401,-0.7664705925418513,-0.08208111559176354,-0.07599956356577642,-0.07409197575035609
