canonical_phone,language,branch,mean_similarity,ci_low,ci_high,n_talkers,n_instances
ch,Turkish,Turkic,0.002112389273492923,,,1,4
d,Albanian,Albanian,0.00016515620843861683,,,1,4
d,Bengali,Indo-Aryan,6.248911521195556e-09,,,1,6
d,Dutch,Germanic,0.013705992816607998,,,1,6
d,French,Romance,1.4690337802005678e-06,,,1,6
d,German,Germanic,1.10538786978047e-05,,,1,5
d,Hindi,Indo-Aryan,8.134886963574029e-07,,,1,5
d,Japanese,Japonic,4.592209187139403e-06,,,1,6
d,Korean,Koreanic,0.0013117849882131917,0.00023814946629334603,0.0029383584341149127,12,63
d,Mandarin,Sino-Tibetan,2.0334904320608444e-05,,,1,6
d,Romanian,Romance,0.003789615493184396,,,1,6
d,Russian,Slavic,0.012518982725659012,,,1,5
d,Somali,Afro-Asiatic,0.0009022290807218652,,,1,5
d,Spanish,Romance,0.0005275631437424839,1.9800731201988396e-05,0.0014147967546687757,12,57
d,Turkish,Turkic,0.0014421465351897268,,,1,4
eh,Albanian,Albanian,0.026558992429551512,,,1,4
eh,Bengali,Indo-Aryan,0.0009421040143425384,,,1,4
eh,Dutch,Germanic,0.00037151810116242467,,,1,4
eh,French,Romance,3.1840760415420356e-05,,,1,4
eh,German,Germanic,0.0001612475714866881,,,1,4
eh,Hindi,Indo-Aryan,0.0036189434316064415,,,1,3
eh,Japanese,Japonic,5.248913924311536e-07,,,1,4
eh,Korean,Koreanic,0.0010052962374876228,0.0003236558459689044,0.0017382084729274958,12,41
eh,Mandarin,Sino-Tibetan,5.148857795218816e-41,,,1,1
eh,Romanian,Romance,9.376304977728011e-08,,,1,3
eh,Russian,Slavic,3.8094943880623756e-08,,,1,4
eh,Somali,Afro-Asiatic,3.592745916189403e-07,,,1,3
eh,Spanish,Romance,0.0004225264957032587,1.351777865143066e-06,0.0012489505697012879,12,45
eh,Turkish,Turkic,0.0029444064468176767,,,1,4
er,Albanian,Albanian,1.5748207757492874e-19,,,1,1
er,Bengali,Indo-Aryan,0.0001442589957205,,,1,1
er,French,Romance,1.9877664221001527e-05,,,1,1
er,German,Germanic,1.436368943858211e-07,,,1,1
er,Hindi,Indo-Aryan,4.413411962730928e-11,,,1,1
er,Japanese,Japonic,3.2596859394572466e-15,,,1,1
er,Korean,Koreanic,0.0007969381072571338,1.0487279549272612e-05,0.002344230496938359,11,11
er,Mandarin,Sino-Tibetan,0.0001941873241737,,,1,1
er,Romanian,Romance,6.933000819379605e-06,,,1,1
er,Russian,Slavic,1.2609125176572313e-07,,,1,1
er,Spanish,Romance,7.497036821013194e-05,1.0107814366170007e-06,0.00018814591799714902,12,12
er,Turkish,Turkic,4.204352004129417e-06,,,1,1
ey,Albanian,Albanian,1.9378624385318005e-05,,,1,6
ey,Bengali,Indo-Aryan,0.00014355272438527144,,,1,6
ey,Dutch,Germanic,0.00042723107298158765,,,1,6
ey,French,Romance,0.0009335935620489615,,,1,6
ey,German,Germanic,0.009920752873143686,,,1,6
ey,Hindi,Indo-Aryan,8.629697613455924e-05,,,1,6
ey,Japanese,Japonic,0.0007882859572359841,,,1,6
ey,Korean,Koreanic,0.001787263561053262,0.0003043958084599564,0.00407909109271047,12,67
ey,Mandarin,Sino-Tibetan,0.0001188030437277207,,,1,4
ey,Romanian,Romance,0.0006287869184891644,,,1,6
ey,Russian,Slavic,0.007129121063396857,,,1,6
ey,Somali,Afro-Asiatic,0.0025814200072629993,,,1,6
ey,Spanish,Romance,0.0013472326041296598,0.00019645690152934482,0.002814762275727768,12,67
ey,Turkish,Turkic,0.0009705991508095124,,,1,6
f,Albanian,Albanian,1.0314824243093553e-08,,,1,3
f,Bengali,Indo-Aryan,3.8152801018243915e-08,,,1,2
f,Dutch,Germanic,1.2989986980838727e-07,,,1,4
f,French,Romance,1.2372417543221288e-07,,,1,4
f,German,Germanic,0.0005519530277416489,,,1,4
f,Hindi,Indo-Aryan,2.3819160833863178e-06,,,1,4
f,Japanese,Japonic,1.043949833589549e-10,,,1,3
f,Korean,Koreanic,0.0004219825208537301,1.6669484443312555e-05,0.0011929323207106432,12,42
f,Mandarin,Sino-Tibetan,1.683984527537469e-08,,,1,4
f,Romanian,Romance,5.3538322211231425e-08,,,1,3
f,Russian,Slavic,6.756808528156097e-08,,,1,4
f,Somali,Afro-Asiatic,3.741800853693434e-06,,,1,3
