dataset_id,feature_key,comparison_id,reduced_model,full_model,reduced_log_likelihood,full_log_likelihood,delta_log_likelihood,chisq,df,p_value,status,reason,analysis_id,family,variant,selection_stratum,selection_oof_mean_log_loss,model_directory
X21,cnn_6::order_word,predictor_beyond_condition,M_condition,M_joint,-5484.31138836264,-5482.44223930174,1.86914906090533,3.73829812181066,1,0.0531785837008811,ok,,X21-HVE-base-all-exposure-participants-cnn-6--order-word,HVE,base,all_exposure_participants,0.488145038439055,models\X21-HVE-base-all-exposure-participants-cnn-6--order-word
X21,cnn_6::order_word,condition_beyond_predictor,M_predictor,M_joint,-5487.94646614599,-5482.44223930174,5.50422684425212,11.0084536885042,3,0.011680251002777,ok,,X21-HVE-base-all-exposure-participants-cnn-6--order-word,HVE,base,all_exposure_participants,0.488145038439055,models\X21-HVE-base-all-exposure-participants-cnn-6--order-word
X21,tr_14,predictor_beyond_condition,M_condition,M_joint,-5484.31138836264,-5481.05257142511,3.25881693753399,6.51763387506799,1,0.0106810013552794,ok,,X21-SBI-base-tr-14,SBI,base,selected_hubert_layer,0.482788193252165,models\X21-SBI-base-tr-14
X21,tr_14,condition_beyond_predictor,M_predictor,M_joint,-5491.55408016013,-5481.05257142511,10.5015087350239,21.0030174700478,3,0.000105124386361,ok,,X21-SBI-base-tr-14,SBI,base,selected_hubert_layer,0.482788193252165,models\X21-SBI-base-tr-14
