canonical_phone,speaker_id,language,branch,mean_similarity,n_instances
ah,AN19.MIX.if2,Dutch,Germanic,3.096610267584029e-05,3
ah,AN19.MIX.if3,French,Romance,1.0658577224449712e-07,3
ah,AN19.MIX.if4,German,Germanic,1.689365027547034e-05,2
ah,AN19.MIX.if5,Japanese,Japonic,5.602600425458853e-08,3
ah,AN19.MIX.if6,Somali,Afro-Asiatic,4.480833911007759e-24,1
ah,AN19.MIX.im1,Romanian,Romance,7.333505400655206e-15,3
ah,AN19.MIX.im2,Bengali,Indo-Aryan,3.93644808280085e-10,3
ah,AN19.MIX.im3,Russian,Slavic,1.233049063794568e-06,3
ah,AN19.MIX.im4,Mandarin,Sino-Tibetan,0.008312731550315679,3
ah,AN19.MIX.im5,Turkish,Turkic,8.16486329488639e-07,2
ah,AN19.MIX.im6,Hindi,Indo-Aryan,3.7044678415972785e-06,2
ah,AN19.SPA.sf1,Spanish,Romance,1.012041400097667e-05,3
ah,AN19.SPA.sf2,Spanish,Romance,2.644478396231221e-06,3
ah,AN19.SPA.sf3,Spanish,Romance,0.00025315368763124333,2
ah,AN19.SPA.sf4,Spanish,Romance,3.8581907615196314e-13,2
ah,AN19.SPA.sf5,Spanish,Romance,3.631222720974641e-08,1
ah,AN19.SPA.sf6,Spanish,Romance,6.120744158235409e-13,2
ah,AN19.SPA.sm2,Spanish,Romance,5.345183562880823e-15,3
ah,AN19.SPA.sm3,Spanish,Romance,1.2290869306775284e-12,3
ah,AN19.SPA.sm4,Spanish,Romance,4.0944685821681337e-07,3
ah,AN19.SPA.sm5,Spanish,Romance,2.162936806293792e-05,3
ah,AN19.SPA.sm6,Spanish,Romance,0.0008955995200381658,3
ah,AN19.SPA.sm7,Spanish,Romance,0.0001321480935712377,3
ao,AN19.KOR.kf1,Korean,Koreanic,2.782848528909878e-21,1
ao,AN19.KOR.kf3,Korean,Koreanic,1.4195965063135683e-08,3
ao,AN19.KOR.kf4,Korean,Koreanic,2.5665499950744845e-05,2
ao,AN19.KOR.kf5,Korean,Koreanic,1.5790670995282072e-05,4
ao,AN19.KOR.kf6,Korean,Koreanic,1.787433996468535e-05,4
ao,AN19.KOR.km1,Korean,Koreanic,1.3937182080637626e-15,4
ao,AN19.KOR.km2,Korean,Koreanic,0.0020753123290345966,4
ao,AN19.KOR.km3,Korean,Koreanic,3.012923381188939e-10,3
ao,AN19.KOR.km6,Korean,Koreanic,3.034645314626067e-07,2
ao,AN19.KOR.km7,Korean,Koreanic,0.00849786517547629,4
ao,AN19.KOR.km8,Korean,Koreanic,0.001490755367941241,4
ao,AN19.MIX.if1,Albanian,Albanian,8.02935972383707e-06,1
ao,AN19.MIX.if2,Dutch,Germanic,7.887956340018886e-07,1
ao,AN19.MIX.if3,French,Romance,3.087006610430711e-07,1
ao,AN19.MIX.if4,German,Germanic,9.636227390315648e-06,2
ao,AN19.MIX.if5,Japanese,Japonic,5.831410834371564e-06,2
ao,AN19.MIX.if6,Somali,Afro-Asiatic,4.879812169757945e-11,2
ao,AN19.MIX.im1,Romanian,Romance,9.854320091528186e-11,2
ao,AN19.MIX.im2,Bengali,Indo-Aryan,4.744332064045161e-05,2
ao,AN19.MIX.im3,Russian,Slavic,1.994409422582023e-06,2
ao,AN19.MIX.im4,Mandarin,Sino-Tibetan,7.643929468568398e-07,2
ao,AN19.MIX.im5,Turkish,Turkic,6.6053707323519215e-06,1
ao,AN19.MIX.im6,Hindi,Indo-Aryan,0.0092685363194074,1
ao,AN19.SPA.sf1,Spanish,Romance,7.233577248754652e-09,4
ao,AN19.SPA.sf2,Spanish,Romance,2.8954436577455294e-08,2
ao,AN19.SPA.sf3,Spanish,Romance,1.1175128171580149e-18,1
ao,AN19.SPA.sf4,Spanish,Romance,1.1542317241920819e-08,4
ao,AN19.SPA.sf5,Spanish,Romance,7.095877377606589e-07,4
ao,AN19.SPA.sf6,Spanish,Romance,1.1377139016831207e-12,2
ao,AN19.SPA.sm2,Spanish,Romance,3.726304733506861e-07,2
ao,AN19.SPA.sm3,Spanish,Romance,1.2101388755620904e-10,3
ao,AN19.SPA.sm4,Spanish,Romance,1.4635914867445456e-07,4
ao,AN19.SPA.sm5,Spanish,Romance,8.40642068346329e-06,4
ao,AN19.SPA.sm6,Spanish,Romance,3.405346502510939e-07,4
ao,AN19.SPA.sm7,Spanish,Romance,3.069225817218249e-09,3
ay,AN19.KOR.kf1,Korean,Koreanic,5.273590603440567e-05,5
ay,AN19.KOR.kf2,Korean,Koreanic,0.004375688453686008,6
ay,AN19.KOR.kf3,Korean,Koreanic,0.000823982200700881,6
ay,AN19.KOR.kf4,Korean,Koreanic,0.005106343805281362,6
ay,AN19.KOR.kf5,Korean,Koreanic,0.004532207415585779,5
ay,AN19.KOR.kf6,Korean,Koreanic,2.3954962956238143e-05,6
ay,AN19.KOR.km1,Korean,Koreanic,0.001053952876632183,6
ay,AN19.KOR.km2,Korean,Koreanic,0.00029120559804633424,5
ay,AN19.KOR.km3,Korean,Koreanic,4.4836647014314876e-05,6
ay,AN19.KOR.km6,Korean,Koreanic,0.00012134348226490014,5
ay,AN19.KOR.km7,Korean,Koreanic,7.942415092309397e-05,5
ay,AN19.KOR.km8,Korean,Koreanic,0.0005790874256537972,6
ay,AN19.MIX.if1,Albanian,Albanian,0.006057453883694543,6
ay,AN19.MIX.if2,Dutch,Germanic,0.006401280250529376,6
ay,AN19.MIX.if3,French,Romance,0.010421259489834321,6
ay,AN19.MIX.if4,German,Germanic,0.0014666071473466308,6
ay,AN19.MIX.if5,Japanese,Japonic,0.01026544671621963,6
ay,AN19.MIX.if6,Somali,Afro-Asiatic,0.002792301506953027,6
ay,AN19.MIX.im1,Romanian,Romance,0.0017474768024131936,6
ay,AN19.MIX.im2,Bengali,Indo-Aryan,0.005667382117996836,6
ay,AN19.MIX.im3,Russian,Slavic,0.007386469555628752,6
ay,AN19.MIX.im4,Mandarin,Sino-Tibetan,0.00047230999114949843,6
ay,AN19.MIX.im5,Turkish,Turkic,0.0020567563527043443,6
ay,AN19.MIX.im6,Hindi,Indo-Aryan,0.002407758396042823,6
ay,AN19.SPA.sf1,Spanish,Romance,0.0008299479200150174,6
ay,AN19.SPA.sf2,Spanish,Romance,6.214356840226156e-07,6
ay,AN19.SPA.sf3,Spanish,Romance,0.0011477510592215693,6
ay,AN19.SPA.sf4,Spanish,Romance,0.0004340705533726398,6
ay,AN19.SPA.sf5,Spanish,Romance,0.00015675978814123537,5
ay,AN19.SPA.sf6,Spanish,Romance,1.1219691297031689e-05,5
ay,AN19.SPA.sm2,Spanish,Romance,2.3615542021148867e-05,5
ay,AN19.SPA.sm3,Spanish,Romance,1.2340109124065334e-05,6
ay,AN19.SPA.sm4,Spanish,Romance,7.322600154862814e-05,6
ay,AN19.SPA.sm5,Spanish,Romance,0.00013385620304704257,6
ay,AN19.SPA.sm6,Spanish,Romance,0.00037968008606113166,6
ay,AN19.SPA.sm7,Spanish,Romance,6.201321557386626e-07,5
b,AN19.KOR.kf1,Korean,Koreanic,1.558580516220523e-07,4
b,AN19.KOR.kf2,Korean,Koreanic,0.00012805624368459318,3
b,AN19.KOR.kf3,Korean,Koreanic,1.1091054761757655e-06,4
b,AN19.KOR.kf4,Korean,Koreanic,0.004470156149593647,5
b,AN19.KOR.kf5,Korean,Koreanic,0.00019992834433016203,5
b,AN19.KOR.kf6,Korean,Koreanic,7.102489302932569e-05,4
b,AN19.KOR.km1,Korean,Koreanic,3.7895407997750154e-06,3
b,AN19.KOR.km2,Korean,Koreanic,0.0012107457300679473,5
b,AN19.KOR.km3,Korean,Koreanic,9.956505720850708e-07,5
b,AN19.KOR.km6,Korean,Koreanic,0.006530242762983827,3
b,AN19.KOR.km7,Korean,Koreanic,0.0077122515225072335,5
b,AN19.KOR.km8,Korean,Koreanic,0.004560132272009923,4
b,AN19.MIX.if1,Albanian,Albanian,0.0317860807369993,5
b,AN19.MIX.if2,Dutch,Germanic,8.436776829761788e-06,4
b,AN19.MIX.if3,French,Romance,1.309552672190911e-08,5
b,AN19.MIX.if4,German,Germanic,0.022881855799699865,4
b,AN19.MIX.if5,Japanese,Japonic,7.94386058968461e-06,5
b,AN19.MIX.if6,Somali,Afro-Asiatic,0.02621880152359752,5
b,AN19.MIX.im1,Romanian,Romance,2.9700428408716087e-06,5
b,AN19.MIX.im2,Bengali,Indo-Aryan,0.015804663019546594,4
b,AN19.MIX.im3,Russian,Slavic,5.024063266163103e-07,4
b,AN19.MIX.im4,Mandarin,Sino-Tibetan,0.0028679525261284633,5
b,AN19.MIX.im5,Turkish,Turkic,0.010232109558785096,5
b,AN19.MIX.im6,Hindi,Indo-Aryan,3.381850714074627e-05,5
b,AN19.SPA.sf1,Spanish,Romance,2.6484030506629e-11,4
b,AN19.SPA.sf2,Spanish,Romance,6.064504738532923e-08,5
b,AN19.SPA.sf3,Spanish,Romance,1.2797851310768347e-08,5
b,AN19.SPA.sf4,Spanish,Romance,2.3538225568258024e-06,5
b,AN19.SPA.sf5,Spanish,Romance,0.0006130922702070018,5
b,AN19.SPA.sf6,Spanish,Romance,5.506347603818326e-09,4
b,AN19.SPA.sm2,Spanish,Romance,2.851764475174198e-09,5
b,AN19.SPA.sm3,Spanish,Romance,0.011350136493719937,4
b,AN19.SPA.sm4,Spanish,Romance,2.4877782573817877e-06,5
b,AN19.SPA.sm5,Spanish,Romance,0.0014703833870795741,4
b,AN19.SPA.sm6,Spanish,Romance,2.759085553820507e-07,4
b,AN19.SPA.sm7,Spanish,Romance,0.0011061065060697537,4
ch,AN19.KOR.kf1,Korean,Koreanic,0.024293807822812923,4
ch,AN19.KOR.kf2,Korean,Koreanic,0.002725488237815533,3
ch,AN19.KOR.kf3,Korean,Koreanic,0.0037728840318959375,4
ch,AN19.KOR.kf4,Korean,Koreanic,0.013758352205968789,4
ch,AN19.KOR.kf5,Korean,Koreanic,1.2299458054254425e-06,3
ch,AN19.KOR.kf6,Korean,Koreanic,1.9386270104958537e-12,3
