dataset_id,feature_key,scope,fold,model_id,term,estimate,std_error,z_value,p_value,conf_low,conf_high,source_file,model_variant,layer,measure,fit_ok,singular,convergence,formula,n_rows,sample_stratum
AN19,cnn_2::overall_order_sensitive,revised_training_two_folds,1.0,M_predictor,variability_z,0.0541352704890984,0.0553823383294571,0.977482571556655,0.328330301924013,-0.0544141126366375,0.162684653614834,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,overall_order_sensitive,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::overall_order_sensitive,revised_training_two_folds,2.0,M_predictor,variability_z,0.0918443914567239,0.0646309459928899,1.42105906150326,0.155299590099977,-0.0348322626893402,0.218521045602788,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,overall_order_sensitive,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::within_token_word,revised_training_two_folds,0.0,M_predictor,variability_z,-0.0441517816878627,0.0651978228268777,-0.677197178885875,0.498280857450698,-0.171939514428543,0.0836359510528175,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,within_token_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::within_token_word,revised_training_two_folds,1.0,M_predictor,variability_z,-0.0940677018206682,0.0593544808903942,-1.58484583488105,0.11300136558957,-0.210402484365841,0.0222670807245045,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,within_token_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::within_token_word,revised_training_two_folds,2.0,M_predictor,variability_z,-0.041306935741654,0.0694972649852286,-0.594367789155928,0.552266147489236,-0.177521575112702,0.0949077036293941,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,within_token_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::within_type_word,revised_training_two_folds,0.0,M_predictor,variability_z,-0.0511179208644628,0.0609641310005221,-0.838491749583457,0.401754579459698,-0.170607617625486,0.0683717758965605,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,within_type_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::within_type_word,revised_training_two_folds,1.0,M_predictor,variability_z,-0.0592278204002277,0.0567424666148464,-1.04380059475122,0.296577656388731,-0.170443054965327,0.0519874141648712,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,within_type_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_2::within_type_word,revised_training_two_folds,2.0,M_predictor,variability_z,-0.139042917922249,0.0632728667121792,-2.19751253811115,0.0279838620170732,-0.26305773667812,-0.0150280991663779,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_2,within_type_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::between_type_word,revised_training_two_folds,0.0,M_predictor,variability_z,0.0742038553098549,0.0606031826930264,1.22442175497152,0.220793166650739,-0.0445783827684767,0.192986093388187,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,between_type_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::between_type_word,revised_training_two_folds,1.0,M_predictor,variability_z,0.0099227305062733,0.0557375179138325,0.178026056373975,0.858702512568927,-0.0993228046048383,0.119168265617385,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,between_type_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::between_type_word,revised_training_two_folds,2.0,M_predictor,variability_z,0.133189007078351,0.0628542801435515,2.11901252825049,0.0340894081877149,0.0099946179969904,0.256383396159712,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,between_type_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::mean_dissimilarity_word,revised_training_two_folds,0.0,M_predictor,variability_z,-0.0884518686217201,0.0599036186012258,-1.47656970792596,0.1397910167112,-0.205862961080123,0.0289592238366825,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,mean_dissimilarity_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::mean_dissimilarity_word,revised_training_two_folds,1.0,M_predictor,variability_z,-0.072041001220823,0.055266040737975,-1.30353107005404,0.192393516137179,-0.180362441067254,0.0362804386256081,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,mean_dissimilarity_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::mean_dissimilarity_word,revised_training_two_folds,2.0,M_predictor,variability_z,-0.155720025086334,0.0621282185828332,-2.50642990638333,0.0121957235667844,-0.277491333508687,-0.0339487166639805,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,mean_dissimilarity_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::order_word,revised_training_two_folds,0.0,M_predictor,variability_z,-0.00514701519147,0.0631468095255521,-0.081508713268994,0.935037395750576,-0.128914761861552,0.118620731478612,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,order_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
AN19,cnn_3::order_word,revised_training_two_folds,1.0,M_predictor,variability_z,0.0847337462628509,0.0575436859319737,1.47251162122323,0.140882771144838,-0.0280518781638176,0.197519370689519,cross_talker_generalization/artifacts/models/AN19-HVE-base-revised-selection/coefficients.csv,base,cnn_3,order_word,True,False,ok,"cbind(response_correct, response_incorrect) ~ variability_z + (1 | participant_id) + (1 | analysis_item_id) + (1 | test_talker_id)",3840,all_exposure_participants
