"dataset_id","feature_key","model_id","term","estimate","std_error","z_value","p_value","conf_low","conf_high"
"B23","tr_24","M_condition","(Intercept)",2.15206944741188,0.345780716554669,6.22379833339153,4.8526075255434e-10,1.47433924296473,2.82979965185903
"B23","tr_24","M_condition","condition_idB23.b_FAR",0.219538770950978,0.218449213150565,1.00498769386577,0.314902775568737,-0.208621686824129,0.647699228726084
"B23","tr_24","M_condition","condition_idB23.b_SPA",0.0320462403965561,0.215984119014364,0.148373132908096,0.882048302199808,-0.391282632871597,0.455375113664709
"B23","tr_24","M_condition","condition_idB23.b_TUR",-0.20792416267797,0.221100475155439,-0.940405770416345,0.347009463444303,-0.64128109398263,0.22543276862669
"B23","tr_24","M_condition","condition_idB23.c_noBRP",0.130590504581278,0.215989906640081,0.604613922070395,0.545435554029833,-0.292749712433281,0.553930721595837
"B23","tr_24","M_condition","condition_idB23.c_noFAR",0.0564336066254564,0.221234792717833,0.255084681447158,0.798657695331534,-0.377186587101496,0.490053800352409
"B23","tr_24","M_condition","condition_idB23.c_noSPA",-0.0528401629563567,0.218347750397795,-0.242000033708111,0.808780137110544,-0.480801753736036,0.375121427823322
"B23","tr_24","M_condition","condition_idB23.c_noTUR",0.291260985524207,0.218540083324804,1.33275773072403,0.182611321166445,-0.137077577792409,0.719599548840824
"B23","tr_24","M_condition","outer_fold1",0.0425146643669818,0.134015498633371,0.317236922598707,0.751063835520253,-0.220155712954425,0.305185041688389
"B23","tr_24","M_condition","outer_fold2",0.0428770448725149,0.134053851685757,0.319849406289536,0.749082492530264,-0.219868504431569,0.305622594176599
"B23","tr_24","M_condition","test_talker_idB23.FAR.FAR",-0.864678525579908,0.423241852769026,-2.04298917964473,0.0410535092599695,-1.6942325570072,-0.0351244941526178
"B23","tr_24","M_condition","test_talker_idB23.SPA.SPA",-0.833426363829421,0.423652176983377,-1.96724201859141,0.0491553159660577,-1.66378463071684,-0.00306809694200305
"B23","tr_24","M_condition","test_talker_idB23.TUR.TUR",-1.76720293030932,0.423331593983011,-4.1745122627919,2.9862513496298e-05,-2.59693285451602,-0.937473006102618
"B23","tr_24","M_predictor","(Intercept)",2.20699474835193,0.315584182428835,6.99336301130878,2.68373903588092e-12,1.58844975079142,2.82553974591245
"B23","tr_24","M_predictor","similarity_z",0.0244308548163356,0.0132265967592601,1.84710060047996,0.064732561491125,-0.00149327483181414,0.0503549844644853
"B23","tr_24","M_predictor","outer_fold1",0.0424906101788949,0.136798116221947,0.310608152746462,0.756098528572142,-0.225633697616122,0.310614917973912
"B23","tr_24","M_predictor","outer_fold2",0.0489637700299641,0.136778094100466,0.357979619119414,0.720358565805984,-0.219121294406949,0.317048834466877
"B23","tr_24","M_predictor","test_talker_idB23.FAR.FAR",-0.862959257738241,0.423972633515228,-2.03541264110209,0.0418093704458751,-1.69394561942809,-0.031972896048394
"B23","tr_24","M_predictor","test_talker_idB23.SPA.SPA",-0.824003997440584,0.423877967396371,-1.94396515228651,0.0518996535257993,-1.65480481353747,0.00679681865630277
"B23","tr_24","M_predictor","test_talker_idB23.TUR.TUR",-1.76300207454452,0.423743687103807,-4.1605388545001,3.17497593821578e-05,-2.59353970126798,-0.932464447821059
"B23","tr_24","M_joint","(Intercept)",2.14562238924429,0.346934828320688,6.18451136667372,6.22951248311992e-10,1.46563012573574,2.82561465275284
"B23","tr_24","M_joint","condition_idB23.b_FAR",0.221439270852642,0.218815194871487,1.01199220183359,0.311541782011115,-0.207438511095473,0.650317052800756
"B23","tr_24","M_joint","condition_idB23.b_SPA",0.0352128195242389,0.216295369330144,0.162799692075199,0.87067615072223,-0.388726104362843,0.45915174341132
"B23","tr_24","M_joint","condition_idB23.b_TUR",-0.20119191188038,0.221361799150386,-0.908882709901071,0.363412041385913,-0.635061038215137,0.232677214454378
"B23","tr_24","M_joint","condition_idB23.c_noBRP",0.133977246704462,0.216303644111684,0.619394311430488,0.53565662772123,-0.289977895754439,0.557932389163363
"B23","tr_24","M_joint","condition_idB23.c_noFAR",0.0593516927313968,0.221597959590103,0.267835014551495,0.788826317329245,-0.374980308065204,0.493683693527998
"B23","tr_24","M_joint","condition_idB23.c_noSPA",-0.0503088296149696,0.218697537664497,-0.230038390702634,0.818061938076933,-0.478956003437383,0.378338344207444
"B23","tr_24","M_joint","condition_idB23.c_noTUR",0.293065840700224,0.218841216639859,1.33917113604114,0.180514966654958,-0.135862943913898,0.721994625314347
"B23","tr_24","M_joint","similarity_z",0.0241034228322719,0.013226019969146,1.82242450022765,0.0683905998922349,-0.00181957630725439,0.0500264219717981
"B23","tr_24","M_joint","outer_fold1",0.0426017417716142,0.134031790222887,0.31784803963873,0.750600208443399,-0.220100567065245,0.305304050608473
"B23","tr_24","M_joint","outer_fold2",0.0429892039462631,0.134078096504433,0.320628089651032,0.748492248128054,-0.219803865202426,0.305782273094952
"B23","tr_24","M_joint","test_talker_idB23.FAR.FAR",-0.862972846505479,0.424076291474415,-2.03494716364625,0.0418561896621952,-1.69416237779533,-0.0317833152156263
"B23","tr_24","M_joint","test_talker_idB23.SPA.SPA",-0.824054639114793,0.424361519660716,-1.94186937537041,0.0521529156495848,-1.6558032176498,0.00769393942021135
"B23","tr_24","M_joint","test_talker_idB23.TUR.TUR",-1.76300784013026,0.424187689279626,-4.15619756227314,3.23588036611822e-05,-2.59441571111832,-0.93159996914219
