tau_index,k_index,tau,k,status,z,log_likelihood,kind,coefficient,std_error,singular,var_participant,var_item,n_rows,participants,n_word_responses,predictor_mean,predictor_sd,predictor_min,predictor_max,n_zero,n_one,fit_seconds,warnings,convergence,lme4_version,wall_seconds,flagged,z_stable,log_likelihood_stable,z_difference,log_likelihood_difference
0,0,0.5,1e-06,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.52667678134858,-3892.38405425934,,
0,1,0.5,1.4372282659862436e-06,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.999960322812036,3.49959087820431e-05,0.999698231690062,1.0,0.0,2679.0,,,,1.1.35.5,90.04700000002049,True,4.52668383094943,-3892.38402130408,,
0,2,0.5,2.0656250885498287e-06,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.999942975703363,5.02958028897143e-05,0.999566318668997,1.0,0.0,2679.0,,,,1.1.35.5,90.04700000002049,True,4.52667222968314,-3892.3839737742,,
0,3,0.5,2.9687747641941507e-06,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.999918044885516,7.22838511827322e-05,0.99937676003174,1.0,0.0,2679.0,,,,1.1.35.5,90.04700000002049,True,4.5267014494311,-3892.38390539705,,
0,4,0.5,4.266807006446487e-06,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.999882215544935,0.0001038828206862,0.999104383958875,1.0,0.0,2679.0,,,,1.1.35.5,90.03100000007544,True,4.52670823458166,-3892.38380710748,,
0,5,0.5,6.132375635173039e-06,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.99983072460162,0.0001492918150226,0.998713047379954,1.0,0.0,2679.0,,,,1.1.35.5,90.04700000002049,True,4.52674123650492,-3892.3836663588,,
0,6,0.5,8.813623600516035e-06,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.5268082876648,-3892.38346362543,,
0,7,0.5,1.266718896442512e-05,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.999650396554049,0.0003082976542572,0.99734346117945,1.0,0.0,2679.0,,,,1.1.35.5,90.04700000002049,True,4.52687010627918,-3892.38317244762,,
0,8,0.5,1.82056420302608e-05,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.999497608319106,0.0004429927246295,0.996184165784126,1.0,0.0,2679.0,,,,1.1.35.5,90.04700000002049,True,4.52697097210209,-3892.38275437484,,
0,9,0.5,2.616566332631805e-05,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.52712022885266,-3892.38215393138,,
0,10,0.5,3.7606030930863934e-05,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.998962740876521,0.0009143240332203,0.99213394102565,1.0,0.0,2679.0,,,,1.1.35.5,90.04700000002049,True,4.52731872706562,-3892.38129196948,,
0,11,0.5,5.404845062539061e-05,timeout,,,grid,,,,,,10969.0,213.0,10969.0,0.998509822828998,0.0013132008474941,0.988714147465949,1.0,0.0,2679.0,,,,1.1.35.5,90.04700000002049,True,4.52759091949641,-3892.38005537597,,
0,12,0.5,7.76799609715734e-05,nonconverged,2.56625081608355,-3892.37828314333,grid,116.184665244692,45.2740879872396,False,0.88341350617198,2.60175358497815,10969.0,213.0,10969.0,0.997859515551368,0.0018855306126282,0.983819758432853,1.0,0.0,2679.0,69.12,"Model is nearly unidentifiable: large eigenvalue ratio
 - Rescale variables?","Model is nearly unidentifiable: large eigenvalue ratio
 - Rescale variables?",1.1.35.5,70.125,True,4.52804042166443,-3892.37828192038,-1.9617896055808801,-1.2229502317495644e-06
0,13,0.5,0.000111643835609,ok,8.76630949171752,-3892.37574215832,grid,80.9885328619737,9.23861209081112,False,0.883380272942289,2.60169883266218,10969.0,213.0,10969.0,0.996926194117762,0.0027061477926793,0.976827807945137,1.0,0.0,2679.0,53.01,,ok,1.1.35.5,54.03200000000652,False,4.52863534143864,-3892.37574245771,4.237674150278879,2.9939019441371784e-07
0,14,0.5,0.0001604576762604,ok,5.54567242090555,-3892.37211119515,grid,56.495837080555,10.1873736478885,False,0.883334570360235,2.6016247451125,10969.0,213.0,10969.0,0.995587515694796,0.0038815471204009,0.96686571966086,1.0,0.0,2679.0,39.32,,ok,1.1.35.5,40.32799999997951,False,4.5295189320463,-3892.37211194318,1.01615348885925,7.480298336304259e-07
0,15,0.5,0.0002306143078159,ok,5.0174078245981,-3892.36693123648,grid,39.4544648832583,7.86351563646684,False,0.883267315612034,2.60151725021609,10969.0,213.0,10969.0,0.993669124436467,0.0055626177754344,0.95272560039284,1.0,0.0,2679.0,30.59,,ok,1.1.35.5,31.5,False,4.53075061330955,-3892.36693148591,0.48665721128855033,2.4942983145592734e-07
0,16,0.5,0.0003314454017339,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.53250922501886,-3892.35956432694,,
0,17,0.5,0.0004763627000032,ok,4.65362389460613,-3892.34913538192,grid,19.3468622038387,4.15737555118345,False,0.883038949593979,2.60116100684099,10969.0,213.0,10969.0,0.987000923516481,0.0113754817149766,0.904805918347465,1.0,0.0,2679.0,24.52,,ok,1.1.35.5,25.530999999959025,False,4.5349560571794,-3892.34913507856,0.11866783742673004,-3.0336013878695667e-07
0,18,0.5,0.0006846419373062,ok,4.60378739884562,-3892.33446994301,grid,13.6071167145288,2.95563533579781,False,0.882847690945916,2.60086831845635,10969.0,213.0,10969.0,0.981411633635544,0.0162116282568914,0.866084447243815,1.0,0.0,2679.0,16.08,,ok,1.1.35.5,17.0,False,4.53846174075239,-3892.33447013502,0.06532565809323021,1.9201024770154618e-07
0,19,0.5,0.000983986744376,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.54327092633154,-3892.31404425231,,
0,20,0.5,0.001,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.54351343264759,-3892.31297273651,,
0,21,0.5,0.001414213562373,ok,4.56157266025764,-3892.28598497218,grid,6.83610968008107,1.49863000969822,False,0.882199051074869,2.59992848133338,10969.0,213.0,10969.0,0.962272292932776,0.0325250019202477,0.743058257538208,1.0,0.0,2679.0,9.95,,ok,1.1.35.5,10.93799999996554,False,4.5498596171562,-3892.28598503644,0.011713043101440057,6.425989340641536e-08
0,22,0.5,0.0020325477059837,ok,4.56116392774391,-3892.24819925639,grid,4.90467325733344,1.07531177020411,False,0.881672889515348,2.59921425987738,10969.0,213.0,10969.0,0.946568971834198,0.0456285944889712,0.652574975361137,1.0,0.0,2679.0,8.17,,ok,1.1.35.5,9.140999999945052,False,4.55870409349351,-3892.24819898426,0.0024598342503994175,-2.7212990971747786e-07
0,23,0.5,0.0029212350150052,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.57015832106389,-3892.19876216467,,
0,24,0.5,0.0041984815351543,ok,4.58792167828828,-3892.13674970111,grid,2.63062385621347,0.573380288652822,False,0.87998827246915,2.59733030562344,10969.0,213.0,10969.0,0.895050478132737,0.0868944816547213,0.414091137699371,1.0,0.0,2679.0,6.42,,ok,1.1.35.5,7.405999999959022,False,4.58432846792846,-3892.13674988108,0.003593210359820631,1.7996990209212527e-07
0,25,0.5,0.0060341763365451,ok,4.6044974623473,-3892.06368541987,grid,1.98566562951211,0.43124480917834,False,0.878734750631443,2.59637623943575,10969.0,213.0,10969.0,0.855260913541189,0.117022455937466,0.281630350670441,1.0,0.0,2679.0,8.19,,ok,1.1.35.5,9.219000000040978,False,4.60060097924978,-3892.0636855488,0.0038964830975203313,1.289299689233303e-07
0,26,0.5,0.008672488792828,not_started_budget,,,,,,,,,,,,,,,,,,,,,,,True,4.61720910730789,-3891.98562346769,,
