tau_index,k_index,tau,k,status,z,log_likelihood,kind,coefficient,std_error,singular,var_participant,var_item,n_rows,participants,n_word_responses,predictor_mean,predictor_sd,predictor_min,predictor_max,n_zero,n_one,fit_seconds,warnings,convergence,lme4_version,wall_seconds
0,0,0.5,1e-06,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
0,1,0.5,1.4372282659862436e-06,timeout,,,grid,,,NA,NA,NA,10969,213,10969,0.999960322812036,3.49959087820431e-05,0.999698231690062,1,0,2679,NA,,,1.1.35.5,90.04700000002049
0,2,0.5,2.0656250885498287e-06,timeout,,,grid,,,NA,NA,NA,10969,213,10969,0.999942975703363,5.02958028897143e-05,0.999566318668997,1,0,2679,NA,,,1.1.35.5,90.04700000002049
0,3,0.5,2.9687747641941507e-06,timeout,,,grid,,,NA,NA,NA,10969,213,10969,0.999918044885516,7.22838511827322e-05,0.99937676003174,1,0,2679,NA,,,1.1.35.5,90.04700000002049
0,4,0.5,4.266807006446487e-06,timeout,,,grid,,,NA,NA,NA,10969,213,10969,0.999882215544935,0.000103882820686249,0.999104383958875,1,0,2679,NA,,,1.1.35.5,90.03100000007544
0,5,0.5,6.132375635173039e-06,timeout,,,grid,,,NA,NA,NA,10969,213,10969,0.99983072460162,0.00014929181502267,0.998713047379954,1,0,2679,NA,,,1.1.35.5,90.04700000002049
0,6,0.5,8.813623600516035e-06,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
0,7,0.5,1.266718896442512e-05,timeout,,,grid,,,NA,NA,NA,10969,213,10969,0.999650396554049,0.000308297654257276,0.99734346117945,1,0,2679,NA,,,1.1.35.5,90.04700000002049
0,8,0.5,1.8205642030260796e-05,timeout,,,grid,,,NA,NA,NA,10969,213,10969,0.999497608319106,0.00044299272462959,0.996184165784126,1,0,2679,NA,,,1.1.35.5,90.04700000002049
0,9,0.5,2.6165663326318052e-05,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
0,10,0.5,3.7606030930863934e-05,timeout,,,grid,,,NA,NA,NA,10969,213,10969,0.998962740876521,0.000914324033220307,0.99213394102565,1,0,2679,NA,,,1.1.35.5,90.04700000002049
0,11,0.5,5.4048450625390614e-05,timeout,,,grid,,,NA,NA,NA,10969,213,10969,0.998509822828998,0.00131320084749419,0.988714147465949,1,0,2679,NA,,,1.1.35.5,90.04700000002049
0,12,0.5,7.76799609715734e-05,nonconverged,2.56625081608355,-3892.37828314333,grid,116.184665244692,45.2740879872396,FALSE,0.88341350617198,2.60175358497815,10969,213,10969,0.997859515551368,0.00188553061262823,0.983819758432853,1,0,2679,69.12,"Model is nearly unidentifiable: large eigenvalue ratio
 - Rescale variables?","Model is nearly unidentifiable: large eigenvalue ratio
 - Rescale variables?",1.1.35.5,70.125
0,13,0.5,0.00011164383560905365,ok,8.76630949171752,-3892.37574215832,grid,80.9885328619737,9.23861209081112,FALSE,0.883380272942289,2.60169883266218,10969,213,10969,0.996926194117762,0.00270614779267932,0.976827807945137,1,0,2679,53.01,,ok,1.1.35.5,54.03200000000652
0,14,0.5,0.0001604576762604534,ok,5.54567242090555,-3892.37211119515,grid,56.495837080555,10.1873736478885,FALSE,0.883334570360235,2.6016247451125,10969,213,10969,0.995587515694796,0.00388154712040095,0.96686571966086,1,0,2679,39.32,,ok,1.1.35.5,40.32799999997951
0,15,0.5,0.0002306143078159937,ok,5.0174078245981,-3892.36693123648,grid,39.4544648832583,7.86351563646684,FALSE,0.883267315612034,2.60151725021609,10969,213,10969,0.993669124436467,0.00556261777543447,0.95272560039284,1,0,2679,30.59,,ok,1.1.35.5,31.5
0,16,0.5,0.00033144540173399875,not_started_budget,,,,,,,,,,,,,,,,,,,,,,
