dataset_id,feature_key,scope,fold,model_id,term,estimate,std_error,z_value,p_value,conf_low,conf_high,fitted_condition_id
AN19,mfcc39,cv_train,0.0,M_null,(Intercept),2.05863913369907,0.442963521912112,4.64742361811798,3.36106484785109e-06,1.19043063075133,2.92684763664682,AN19.Korean.test_Korean
AN19,mfcc39,cv_train,0.0,M_predictor,(Intercept),2.00265591648423,0.411780586417495,4.86340537301043,1.15383199575316e-06,1.19556596710594,2.80974586586252,AN19.Korean.test_Korean
AN19,mfcc39,cv_train,0.0,M_predictor,similarity_z,1.28486297511128,0.366413734152347,3.50659065245916,0.0004538868015394,0.566692056172677,2.00303389404988,AN19.Korean.test_Korean
AN19,mfcc39,cv_train,1.0,M_null,(Intercept),1.77248233606777,0.379026934150774,4.67640206108068,2.91951934956382e-06,1.02958954513225,2.51537512700329,AN19.Korean.test_Korean
AN19,mfcc39,cv_train,1.0,M_predictor,(Intercept),1.71534564591743,0.355103293728579,4.83055402811483,1.36153661606429e-06,1.01934319020941,2.41134810162544,AN19.Korean.test_Korean
AN19,mfcc39,cv_train,1.0,M_predictor,similarity_z,0.998519584118124,0.329122796265716,3.03388156471536,0.0024142918997052,0.353438903437321,1.64360026479893,AN19.Korean.test_Korean
AN19,mfcc39,cv_train,2.0,M_null,(Intercept),1.87613853474538,0.371427682900564,5.05115429225464,4.39148156426878e-07,1.14814027626027,2.60413679323048,AN19.Korean.test_Korean
AN19,mfcc39,cv_train,2.0,M_predictor,(Intercept),1.84047724599819,0.350295112061171,5.25407629917713,1.48769202149977e-07,1.1538988263583,2.52705566563809,AN19.Korean.test_Korean
AN19,mfcc39,cv_train,2.0,M_predictor,similarity_z,1.09358017232818,0.321188669061937,3.40479063449556,0.0006621479835456,0.464050380966781,1.72310996368957,AN19.Korean.test_Korean
AN19,mfcc39,full,,M_null,(Intercept),1.84366475595434,0.362531200051927,5.08553403318187,3.66593084942206e-07,1.13310360385256,2.55422590805611,AN19.Korean.test_Korean
AN19,mfcc39,full,,M_predictor,(Intercept),1.80521636674167,0.340518116914502,5.30138126892945,1.1492978287129e-07,1.13780085758924,2.47263187589409,AN19.Korean.test_Korean
AN19,mfcc39,full,,M_predictor,similarity_z,1.08936218960879,0.320991503011501,3.39374151461498,0.000689447349307,0.460218843706248,1.71850553551133,AN19.Korean.test_Korean
AN19,strf24_legacy,cv_train,0.0,M_null,(Intercept),2.05859619688905,0.442950100452878,4.64746750206019,3.3603501266329e-06,1.19041400000141,2.92677839377669,AN19.Korean.test_Korean
AN19,strf24_legacy,cv_train,0.0,M_predictor,(Intercept),1.99124603492838,0.396904951957898,5.01693421839596,5.25025340028315e-07,1.2133123290909,2.76917974076586,AN19.Korean.test_Korean
AN19,strf24_legacy,cv_train,0.0,M_predictor,similarity_z,1.58465453945393,0.35433912238617,4.47214106300949,7.74403140110203e-06,0.890149859577041,2.27915921933083,AN19.Korean.test_Korean
AN19,strf24_legacy,cv_train,1.0,M_null,(Intercept),1.77248233606777,0.379026934150774,4.67640206108068,2.91951934956382e-06,1.02958954513225,2.51537512700329,AN19.Korean.test_Korean
AN19,strf24_legacy,cv_train,1.0,M_predictor,(Intercept),1.70420652070369,0.34089760290461,4.99917425697053,5.75763515623503e-07,1.03604721901065,2.37236582239673,AN19.Korean.test_Korean
AN19,strf24_legacy,cv_train,1.0,M_predictor,similarity_z,1.34951489130545,0.326419313722464,4.13429853741088,3.56040416217538e-05,0.709733036409417,1.98929674620148,AN19.Korean.test_Korean
