dataset_id,fold,SubjectID,Keyword,TestTalker,ceiling_z,numCorrect,numIncorrect
AN19,1,AN19.8,curve,AN19.KOR.km3,0.7158719488095222,1,0
AN19,1,AN19.8,dirt,AN19.KOR.km8,0.35088676969468063,1,0
AN19,1,AN19.8,dog,AN19.KOR.kf1,-0.2516126945097697,1,0
AN19,1,AN19.8,hag,AN19.KOR.km8,0.2733958395969432,1,0
AN19,1,AN19.8,hash,AN19.KOR.kf5,0.35088676969468063,1,0
AN19,1,AN19.8,hung,AN19.KOR.kf1,0.0023865614072582204,1,0
AN19,1,AN19.8,hurl,AN19.KOR.kf3,0.35088676969468063,1,0
AN19,1,AN19.8,join,AN19.KOR.kf3,0.2733958395969432,1,0
AN19,1,AN19.8,judge,AN19.KOR.kf1,0.7158719488095222,1,0
AN19,1,AN19.8,lose,AN19.KOR.km1,0.09380095739003347,1,0
AN19,1,AN19.8,main,AN19.KOR.km1,0.35088676969468063,1,0
AN19,1,AN19.8,mum,AN19.KOR.km1,0.0023865614072582204,1,0
AN19,1,AN19.8,noise,AN19.KOR.km3,0.7158719488095222,1,0
AN19,1,AN19.8,path,AN19.KOR.km3,0.47783501870924494,1,0
AN19,1,AN19.8,real,AN19.KOR.km8,0.7158719488095222,1,0
AN19,1,AN19.8,rim,AN19.KOR.km1,0.35088676969468063,1,0
AN19,1,AN19.8,roof,AN19.KOR.kf5,0.7158719488095222,1,0
AN19,1,AN19.8,shop,AN19.KOR.kf5,0.7158719488095222,1,0
AN19,1,AN19.8,soil,AN19.KOR.km1,0.7158719488095222,1,0
AN19,1,AN19.8,suck,AN19.KOR.km8,0.2733958395969432,1,0
AN19,1,AN19.8,theme,AN19.KOR.km1,0.47783501870924494,1,0
AN19,1,AN19.8,thick,AN19.KOR.kf3,-0.05224376945150042,1,0
AN19,1,AN19.8,vice,AN19.KOR.km8,0.0023865614072582204,1,0
AN19,1,AN19.8,vote,AN19.KOR.kf3,0.06135366074586355,1,0
AN19,1,AN19.8,wash,AN19.KOR.km3,0.7158719488095222,1,0
AN19,1,AN19.8,wave,AN19.KOR.km3,0.47783501870924494,1,0
