"dataset_id","feature_key","model_id","formula","optimizer","random_structure","structure_reason","n_rows","total_trials","fit_ok","singular","convergence","warnings","error","log_likelihood","deviance","AIC","n_observations"
"B23","tr_12::between_type_sentence","M_condition","cbind(response_correct, response_incorrect) ~ condition_id + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)","bobyqa","participant_item_intercepts_with_fixed_talker_block","primary registered structure accepted",10080,54096,TRUE,FALSE,"ok","",,-14865.8376770695,19186.7283829847,29761.6753541391,10080
"B23","tr_12::between_type_sentence","M_predictor","cbind(response_correct, response_incorrect) ~ variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)","bobyqa","participant_item_intercepts_with_fixed_talker_block","primary registered structure accepted",10080,54096,TRUE,FALSE,"ok","",,-14866.3836730875,19186.69984528,29750.767346175,10080
"B23","tr_12::between_type_sentence","M_joint","cbind(response_correct, response_incorrect) ~ condition_id + variability_z + outer_fold + test_talker_id + (1 | participant_id) + (1 | analysis_item_id)","bobyqa","participant_item_intercepts_with_fixed_talker_block","primary registered structure accepted",10080,54096,TRUE,FALSE,"ok","",,-14862.307861318,19187.0481820919,29756.6157226359,10080
