talker_id,AN19.ENG.ef1,AN19.ENG.ef2,AN19.ENG.ef3,AN19.ENG.em1,AN19.ENG.em2,AN19.ENG.em3,AN19.SPA.sf1,AN19.SPA.sf2,AN19.SPA.sf3,AN19.SPA.sf4,AN19.SPA.sf5,AN19.SPA.sf6,AN19.SPA.sm2,AN19.SPA.sm3,AN19.SPA.sm4,AN19.SPA.sm5,AN19.SPA.sm6,AN19.SPA.sm7,AN19.KOR.kf1,AN19.KOR.kf2,AN19.KOR.kf3,AN19.KOR.kf4,AN19.KOR.kf5,AN19.KOR.kf6,AN19.KOR.km1,AN19.KOR.km2,AN19.KOR.km3,AN19.KOR.km6,AN19.KOR.km7,AN19.KOR.km8,AN19.MIX.if5,AN19.MIX.im1,AN19.MIX.im5,AN19.MIX.if4,AN19.MIX.if6,AN19.MIX.im3,AN19.MIX.im2,AN19.MIX.im6,AN19.MIX.if2,AN19.MIX.if1,AN19.MIX.im4,AN19.MIX.if3
AN19.ENG.ef1,1.0,0.003918502030583336,0.00026531538127468415,0.00197003870772309,0.001374206136954974,0.0002923725086505689,3.077184463028019e-05,0.0002863494108294607,0.0004881823444901477,9.593987450679412e-05,0.0011242548314123317,2.6077610515935652e-05,0.00027867903094587183,0.00022936475245963529,0.0002594587682128512,0.0016352124295115423,0.0001729976403076564,0.00043298176377522095,7.31493500679168e-05,0.0006756591804421543,0.0013680260735472929,0.0001158732746440281,0.00022758747120537977,0.0002112407030538538,2.6403561924575326e-05,0.0007449642825977054,3.149667648836177e-05,0.0002489983799697226,0.0004808198800091067,0.00028452489773396174,5.1421581435390273e-05,0.0001996846168894083,5.075640649272358e-05,0.00038994337326494935,0.0004881000176484486,0.00034910849934682137,0.0010055712653195199,0.00038204214832771125,0.0005032359588958146,5.493887715337684e-05,0.0001527703047188367,9.611658207653835e-05
AN19.ENG.ef2,0.003918502030583336,1.0,0.0023317176481584905,0.00018102110018639768,0.0022915666735925664,0.00015225424173615043,9.604070833262814e-06,0.00010147885444664486,0.0003410691927061976,0.0001456513822579537,0.0012648401686153438,2.5602556976196375e-05,0.0008019661775518568,0.00011627153330387194,0.00035557215634379714,0.00019995425978719937,5.51623616918083e-05,6.654064991570938e-05,2.2465927124810872e-05,0.00020131256542645507,0.0007594992428457544,0.00038737124894033695,0.001339325860743627,0.0003145098373771613,3.497204611101921e-05,0.00033606620760775205,9.900219167387457e-05,0.00015918424984629717,0.0005564305696184799,0.000349842861087706,1.8795930592731528e-06,7.847057199149707e-05,0.001326001902234579,0.0017545000423704522,0.0004174491569353445,0.0003666118012223781,0.0003829290847818288,0.00025246862188201653,6.48959365986836e-05,9.985539219567726e-05,0.00025577354791459346,0.00011304400691869508
AN19.ENG.ef3,0.00026531538127468415,0.0023317176481584905,1.0,0.00015888850765130499,0.00029366582470873737,0.00012153749367044094,5.15893653131529e-05,7.181394231458538e-05,8.000365808642471e-05,1.1584154309198177e-05,9.921356352017783e-05,8.989784531714074e-05,4.767515905670749e-05,1.346254956913451e-05,5.4757632606229564e-05,3.445391570872675e-05,7.19039604250399e-06,1.6132839159237643e-05,5.042942918327446e-05,0.00014369809462977203,0.00028667214769912964,0.00012524271498293212,0.00020158524381559142,6.345167654564705e-05,5.196306318484806e-06,9.605644541893935e-05,4.059853156551392e-05,1.8061902556781376e-05,0.00029974609450238876,0.00021431294101350782,2.365386247246155e-07,0.00011560543233612846,5.773991699698327e-05,0.0002549176278396729,0.0002077622498007083,3.272790738685603e-05,2.7556903182444024e-05,0.00010576858237858135,9.582191432186366e-06,0.00014863948251763598,0.00038409606132458826,2.5266701244767777e-05
AN19.ENG.em1,0.00197003870772309,0.00018102110018639768,0.00015888850765130499,1.0,0.0016805956228436306,0.0010122113678641396,6.24305937466436e-05,0.0001227153889483537,8.195544576623433e-05,0.00012172137261747782,0.00038798023488838696,3.563340083999947e-05,0.0002094211826930983,0.0003494191927640063,0.0006215931565223432,0.0009558193833427459,0.00012913236968876718,0.0011652183536247987,1.7636313413727878e-05,0.0003293819158746784,0.00042687692888581334,0.00011641585958629945,0.0005226828322606208,6.098776072594333e-05,2.674286440853325e-05,0.0005463500970159824,0.0004244665462773081,0.00019332524057897915,0.0008642797846297668,0.00039218073229702126,1.3153271168759746e-06,0.00022136294794698993,0.0010852525395550069,0.0015439875152960564,0.0005937288605203974,0.00030810245253158896,0.001202483548898469,0.00038341831250361723,0.0004118818094612157,0.0001814866252338487,9.838924264734423e-05,9.308417513301434e-05
AN19.ENG.em2,0.001374206136954974,0.0022915666735925664,0.00029366582470873737,0.0016805956228436306,1.0,0.0011715950147556452,4.198029158015018e-05,0.00010158262595268078,0.0001342041214978744,4.480599163265775e-05,0.0011955491564808781,0.0002762997906527943,0.0013997905900851515,0.00016241758783002973,0.00013108348321183826,0.0002636280477366179,0.0001557418105140658,0.00042674512679136795,4.187031095823624e-05,0.00018923894858689671,0.0005084091339568826,0.0003572552498022883,0.00016467602669458225,0.00047316124664766414,2.3692161486246067e-05,0.00023695473208939537,0.00047488516587619974,0.0002609462834470838,0.0006125493308192345,0.0008110128411830751,1.3105913655491868e-06,0.00015359776584939128,0.0003383231889381792,0.0003470358338699604,0.0013693249219241803,0.0006455377733657669,0.0017621888427371043,0.0004076494693632058,0.00033693871374860883,5.274786526116487e-05,0.000358515914099285,2.155085403451319e-05
AN19.ENG.em3,0.0002923725086505689,0.00015225424173615043,0.00012153749367044094,0.0010122113678641396,0.0011715950147556452,1.0,7.467881740832157e-06,1.9068708998531296e-05,5.370567796533926e-05,0.0001559003112512447,0.00016122572814140766,2.3050519832626873e-05,5.463690957331786e-05,4.618469564277455e-05,0.0003312019906559058,0.0005474623380538537,0.0005211818585563003,9.829869963314756e-05,8.530937200656381e-05,7.124662101452338e-05,6.342570267763172e-05,3.0129543129189974e-05,8.793951671354036e-05,6.284043446005492e-05,1.018278635939466e-05,8.616999808893036e-05,0.0003865612435342305,7.19903931713573e-05,0.001046783808741322,0.0010399242291645465,5.249714950706528e-07,3.555046722963736e-05,0.00034312839607035885,0.00042636205665945996,0.00041785002575981506,0.00018948473355208292,0.00044465111243172204,7.228578547552532e-05,0.00018641651577629237,0.00012714278585083694,4.437269529897619e-05,0.00011353954705152483
AN19.SPA.sf1,3.077184463028019e-05,9.604070833262814e-06,5.15893653131529e-05,6.24305937466436e-05,4.198029158015018e-05,7.467881740832157e-06,1.0,0.0001571207821563487,0.0002879089183554776,0.00020466445131318977,6.732500589036686e-05,0.0003797233230987586,0.00021135041335966834,9.55375954954964e-05,3.777021675286352e-05,0.00040006834471263686,6.531175643098828e-05,2.6411842751219672e-05,2.856012273644034e-05,7.84256952236203e-05,0.0001707933022465742,5.86713513211973e-05,3.2306588648225065e-05,0.00014617239891641913,1.534151752477541e-05,1.733490985042564e-05,3.190837856435023e-05,0.00010642787011378693,4.054916450368603e-05,0.0001166319940205558,3.5831362428596775e-07,1.4798096313572746e-05,0.00011802783569969221,8.451325007094553e-05,0.00014279432970810678,4.527864691421264e-05,3.7282960156027276e-05,0.0001340481159766361,1.4869421440608734e-05,0.0001565493662721282,0.00012583764590035434,3.933492865792785e-05
AN19.SPA.sf2,0.0002863494108294607,0.00010147885444664486,7.181394231458538e-05,0.0001227153889483537,0.00010158262595268078,1.9068708998531296e-05,0.0001571207821563487,1.0,0.00018203343668930295,6.611054155842358e-05,0.00014606084139402766,0.00014599691329145997,0.00015359385987411377,5.301421566687767e-05,6.728831783412566e-05,6.620037149678389e-05,7.430552567806737e-05,5.110583585018118e-05,3.791099405104499e-05,0.0001969319499287164,0.0005527201562558888,0.00017728740838115608,1.7826115538369814e-05,4.94437306439829e-05,1.8976132874039976e-05,0.00018152691995348792,5.804264239805661e-05,0.00016426426301218347,0.00010253818711110408,8.484107385901954e-05,1.342751802405852e-07,2.1599690281347003e-05,5.310597453492011e-06,5.2588437256606484e-05,5.991689349849627e-05,5.906364022101464e-05,3.0978307708648e-05,3.4504573034041307e-05,6.362257670754352e-05,0.0004396039479615657,1.4230358925983369e-05,3.26796124139379e-05
AN19.SPA.sf3,0.0004881823444901477,0.0003410691927061976,8.000365808642471e-05,8.195544576623433e-05,0.0001342041214978744,5.370567796533926e-05,0.0002879089183554776,0.00018203343668930295,1.0,0.0009137056626347635,0.0003487566430371592,0.0015842866931745322,9.418584242674697e-05,0.0002128864433261869,0.0003166803650198322,0.00019577351749530613,0.0002623386327874611,2.1863043111869276e-05,7.75914359262417e-05,0.00012469279701868088,0.0003457887133321829,0.0001434583554539364,0.00013881504413068758,0.0007624490185813185,4.512933257510605e-06,0.0003612967164597643,0.00031116494568110667,0.00024579793919609066,0.00024541643900272315,0.0002518372861639046,1.8757696604268287e-06,0.00010683826760989075,3.9006522850165357e-05,0.0002256735921150308,0.00021199283215603482,0.0003721582055032389,8.631505281358714e-05,0.00018109456585929727,0.0008632020318129556,0.0003799892129752446,6.40556884565972e-05,0.00011254800847290644
AN19.SPA.sf4,9.593987450679412e-05,0.0001456513822579537,1.1584154309198177e-05,0.00012172137261747782,4.480599163265775e-05,0.0001559003112512447,0.00020466445131318977,6.611054155842358e-05,0.0009137056626347635,1.0,0.00020735442447527294,0.00014430554461061074,9.700423582691643e-05,6.12307671376249e-05,0.0004131245881906994,5.6968266453958094e-05,0.00035666540177538877,6.576429572827896e-05,4.346939773818323e-05,5.1749454163870244e-05,0.000330437387378964,0.000125782546054143,0.00023019764313255705,0.00028840936573703267,1.9559414983185985e-05,2.9679234020670682e-05,4.2728475590341436e-05,0.0001462313956524846,0.00013687689286809234,0.00012843802300977402,1.550441409552636e-07,1.4036828949353996e-05,8.250473367907621e-05,8.305398343740767e-05,2.005015459952606e-05,0.0003103772909860105,0.00021275522151527196,7.175711689750204e-05,0.00017750799333873083,0.00041492649167171113,1.8944303544597718e-05,3.197983786187488e-05
