iso6393,inventory_id,english_inventory_id,n_segments,intersection,union,jaccard
deu,304,2177,41,23,62,0.3709677419354839
deu,304,2178,41,21,60,0.35
deu,304,2179,41,21,65,0.3230769230769231
deu,304,2180,41,27,53,0.5094339622641509
deu,304,2252,41,20,65,0.3076923076923077
deu,304,2515,41,24,57,0.42105263157894735
deu,2184,160,40,27,53,0.5094339622641509
deu,2184,2175,40,26,53,0.49056603773584906
deu,2184,2176,40,25,54,0.46296296296296297
deu,2184,2177,40,24,60,0.4
deu,2184,2178,40,27,53,0.5094339622641509
deu,2184,2179,40,21,64,0.328125
deu,2184,2180,40,28,51,0.5490196078431373
deu,2184,2252,40,27,57,0.47368421052631576
deu,2184,2515,40,24,56,0.42857142857142855
deu,2398,160,40,25,55,0.45454545454545453
deu,2398,2175,40,23,56,0.4107142857142857
deu,2398,2176,40,22,57,0.38596491228070173
deu,2398,2177,40,24,60,0.4
deu,2398,2178,40,25,55,0.45454545454545453
deu,2398,2179,40,22,63,0.3492063492063492
deu,2398,2180,40,29,50,0.58
deu,2398,2252,40,23,61,0.3770491803278688
deu,2398,2515,40,23,57,0.40350877192982454
fra,162,160,40,16,64,0.25
fra,162,2175,40,15,64,0.234375
fra,162,2176,40,18,61,0.29508196721311475
fra,162,2177,40,16,68,0.23529411764705882
fra,162,2178,40,16,64,0.25
fra,162,2179,40,18,67,0.26865671641791045
fra,162,2180,40,17,62,0.27419354838709675
fra,162,2252,40,16,68,0.23529411764705882
fra,162,2515,40,19,61,0.3114754098360656
fra,331,160,37,12,65,0.18461538461538463
fra,331,2175,37,11,65,0.16923076923076924
fra,331,2176,37,14,62,0.22580645161290322
fra,331,2177,37,14,67,0.208955223880597
fra,331,2178,37,12,65,0.18461538461538463
fra,331,2179,37,15,67,0.22388059701492538
fra,331,2180,37,15,61,0.2459016393442623
fra,331,2252,37,12,69,0.17391304347826086
fra,331,2515,37,14,63,0.2222222222222222
fra,2182,160,36,13,63,0.20634920634920634
fra,2182,2175,36,14,61,0.22950819672131148
fra,2182,2176,36,16,59,0.2711864406779661
fra,2182,2177,36,14,66,0.21212121212121213
fra,2182,2178,36,14,62,0.22580645161290322
fra,2182,2179,36,14,67,0.208955223880597
fra,2182,2180,36,15,60,0.25
fra,2182,2252,36,13,67,0.19402985074626866
fra,2182,2515,36,16,60,0.26666666666666666
fra,2269,160,34,16,58,0.27586206896551724
fra,2269,2175,34,16,57,0.2807017543859649
fra,2269,2176,34,18,55,0.32727272727272727
fra,2269,2177,34,17,61,0.2786885245901639
fra,2269,2178,34,17,57,0.2982456140350877
fra,2269,2179,34,17,62,0.27419354838709675
fra,2269,2180,34,18,55,0.32727272727272727
fra,2269,2252,34,16,62,0.25806451612903225
fra,2269,2515,34,20,54,0.37037037037037035
hin,176,160,94,19,115,0.16521739130434782
hin,176,2175,94,17,116,0.14655172413793102
hin,176,2176,94,16,117,0.13675213675213677
hin,176,2177,94,19,119,0.15966386554621848
hin,176,2178,94,17,117,0.1452991452991453
hin,176,2179,94,15,124,0.12096774193548387
hin,176,2180,94,20,113,0.17699115044247787
hin,176,2252,94,17,121,0.14049586776859505
hin,176,2515,94,18,116,0.15517241379310345
hin,354,160,61,18,83,0.21686746987951808
hin,354,2175,61,15,85,0.17647058823529413
hin,354,2176,61,15,85,0.17647058823529413
hin,354,2177,61,18,87,0.20689655172413793
hin,354,2178,61,16,85,0.18823529411764706
hin,354,2179,61,14,92,0.15217391304347827
hin,354,2180,61,19,81,0.2345679012345679
hin,354,2252,61,15,90,0.16666666666666666
hin,354,2515,61,16,85,0.18823529411764706
hin,1728,160,58,18,80,0.225
hin,1728,2175,58,18,79,0.22784810126582278
hin,1728,2176,58,20,77,0.2597402597402597
hin,1728,2177,58,19,83,0.2289156626506024
hin,1728,2178,58,18,80,0.225
hin,1728,2179,58,16,87,0.1839080459770115
hin,1728,2180,58,18,79,0.22784810126582278
hin,1728,2252,58,18,84,0.21428571428571427
hin,1728,2515,58,18,80,0.225
hin,2190,160,74,21,93,0.22580645161290322
hin,2190,2175,74,22,91,0.24175824175824176
hin,2190,2176,74,24,89,0.2696629213483146
hin,2190,2177,74,22,96,0.22916666666666666
hin,2190,2178,74,20,94,0.2127659574468085
hin,2190,2179,74,19,100,0.19
hin,2190,2180,74,20,93,0.21505376344086022
hin,2190,2252,74,21,97,0.21649484536082475
hin,2190,2515,74,20,94,0.2127659574468085
hin,2542,160,55,18,77,0.23376623376623376
hin,2542,2175,55,17,77,0.22077922077922077
hin,2542,2176,55,15,79,0.189873417721519
hin,2542,2177,55,19,80,0.2375
hin,2542,2178,55,18,77,0.23376623376623376
hin,2542,2179,55,14,86,0.16279069767441862
hin,2542,2180,55,21,73,0.2876712328767123
hin,2542,2252,55,19,80,0.2375
hin,2542,2515,55,18,77,0.23376623376623376
jpn,197,160,38,18,60,0.3
jpn,197,2175,38,15,62,0.24193548387096775
jpn,197,2176,38,17,60,0.2833333333333333
jpn,197,2177,38,17,65,0.26153846153846155
jpn,197,2178,38,18,60,0.3
jpn,197,2179,38,17,66,0.25757575757575757
jpn,197,2180,38,21,56,0.375
jpn,197,2252,38,16,66,0.24242424242424243
jpn,197,2515,38,20,58,0.3448275862068966
jpn,384,160,20,7,53,0.1320754716981132
jpn,384,2175,20,7,52,0.1346153846153846
jpn,384,2176,20,9,50,0.18
jpn,384,2177,20,8,56,0.14285714285714285
jpn,384,2178,20,8,52,0.15384615384615385
jpn,384,2179,20,8,57,0.14035087719298245
jpn,384,2180,20,9,50,0.18
jpn,384,2252,20,6,58,0.10344827586206896
jpn,384,2515,20,10,50,0.2
jpn,2196,160,21,10,51,0.19607843137254902
jpn,2196,2175,21,10,50,0.2
jpn,2196,2176,21,12,48,0.25
jpn,2196,2177,21,12,53,0.22641509433962265
jpn,2196,2178,21,11,50,0.22
jpn,2196,2179,21,13,53,0.24528301886792453
jpn,2196,2180,21,12,48,0.25
jpn,2196,2252,21,11,54,0.2037037037037037
jpn,2196,2515,21,14,47,0.2978723404255319
kor,1,160,40,17,63,0.2698412698412698
kor,1,2175,40,14,65,0.2153846153846154
kor,1,2176,40,15,64,0.234375
kor,1,2177,40,18,66,0.2727272727272727
kor,1,2178,40,15,65,0.23076923076923078
kor,1,2179,40,14,71,0.19718309859154928
kor,1,2180,40,18,61,0.29508196721311475
kor,1,2252,40,16,68,0.23529411764705882
kor,1,2515,40,15,65,0.23076923076923078
kor,423,160,32,10,62,0.16129032258064516
kor,423,2175,32,10,61,0.16393442622950818
kor,423,2176,32,12,59,0.2033898305084746
kor,423,2177,32,12,64,0.1875
kor,423,2178,32,10,62,0.16129032258064516
kor,423,2179,32,10,67,0.14925373134328357
kor,423,2180,32,10,61,0.16393442622950818
kor,423,2252,32,11,65,0.16923076923076924
kor,423,2515,32,10,62,0.16129032258064516
kor,2197,160,48,13,75,0.17333333333333334
kor,2197,2175,48,12,75,0.16
kor,2197,2176,48,13,74,0.17567567567567569
kor,2197,2177,48,14,78,0.1794871794871795
kor,2197,2178,48,13,75,0.17333333333333334
kor,2197,2179,48,12,81,0.14814814814814814
kor,2197,2180,48,17,70,0.24285714285714285
kor,2197,2252,48,13,79,0.16455696202531644
kor,2197,2515,48,14,74,0.1891891891891892
kor,2287,160,38,15,63,0.23809523809523808
kor,2287,2175,38,13,64,0.203125
kor,2287,2176,38,12,65,0.18461538461538463
kor,2287,2177,38,16,66,0.24242424242424243
kor,2287,2178,38,13,65,0.2
kor,2287,2179,38,11,72,0.1527777777777778
kor,2287,2180,38,16,61,0.26229508196721313
kor,2287,2252,38,14,68,0.20588235294117646
kor,2287,2515,38,13,65,0.2
nld,1050,160,39,19,60,0.31666666666666665
nld,1050,2175,39,17,61,0.2786885245901639
nld,1050,2176,39,20,58,0.3448275862068966
nld,1050,2177,39,19,64,0.296875
nld,1050,2178,39,17,62,0.27419354838709675
nld,1050,2179,39,17,67,0.2537313432835821
nld,1050,2180,39,21,57,0.3684210526315789
nld,1050,2252,39,15,68,0.22058823529411764
nld,1050,2515,39,20,59,0.3389830508474576
nld,2169,160,37,19,58,0.3275862068965517
nld,2169,2175,37,17,59,0.288135593220339
nld,2169,2176,37,20,56,0.35714285714285715
nld,2169,2177,37,19,62,0.3064516129032258
nld,2169,2178,37,17,60,0.2833333333333333
nld,2169,2179,37,17,65,0.26153846153846155
nld,2169,2180,37,21,55,0.38181818181818183
nld,2169,2252,37,15,66,0.22727272727272727
nld,2169,2515,37,21,56,0.375
nld,2170,160,55,23,72,0.3194444444444444
nld,2170,2175,55,23,71,0.323943661971831
nld,2170,2176,55,24,70,0.34285714285714286
nld,2170,2177,55,23,76,0.3026315789473684
nld,2170,2178,55,25,70,0.35714285714285715
nld,2170,2179,55,19,81,0.2345679012345679
nld,2170,2180,55,27,67,0.40298507462686567
nld,2170,2252,55,26,73,0.3561643835616438
nld,2170,2515,55,28,67,0.417910447761194
nld,2171,160,50,24,66,0.36363636363636365
nld,2171,2175,50,21,68,0.3088235294117647
nld,2171,2176,50,22,67,0.3283582089552239
nld,2171,2177,50,22,72,0.3055555555555556
nld,2171,2178,50,20,70,0.2857142857142857
nld,2171,2179,50,19,76,0.25
nld,2171,2180,50,27,62,0.43548387096774194
nld,2171,2252,50,20,74,0.2702702702702703
nld,2171,2515,50,23,67,0.34328358208955223
nld,2172,160,54,24,70,0.34285714285714286
nld,2172,2175,54,21,72,0.2916666666666667
nld,2172,2176,54,22,71,0.30985915492957744
nld,2172,2177,54,20,78,0.2564102564102564
nld,2172,2178,54,21,73,0.2876712328767123
nld,2172,2179,54,20,79,0.25316455696202533
nld,2172,2180,54,24,69,0.34782608695652173
nld,2172,2252,54,23,75,0.30666666666666664
nld,2172,2515,54,23,71,0.323943661971831
nld,2173,160,58,22,76,0.2894736842105263
nld,2173,2175,58,19,78,0.24358974358974358
nld,2173,2176,58,20,77,0.2597402597402597
nld,2173,2177,58,20,82,0.24390243902439024
nld,2173,2178,58,20,78,0.2564102564102564
nld,2173,2179,58,17,86,0.19767441860465115
nld,2173,2180,58,25,72,0.3472222222222222
nld,2173,2252,58,20,82,0.24390243902439024
nld,2173,2515,58,22,76,0.2894736842105263
nld,2174,160,57,23,74,0.3108108108108108
nld,2174,2175,57,21,75,0.28
nld,2174,2176,57,21,75,0.28
nld,2174,2177,57,21,80,0.2625
nld,2174,2178,57,24,73,0.3287671232876712
nld,2174,2179,57,21,81,0.25925925925925924
nld,2174,2180,57,29,67,0.43283582089552236
nld,2174,2252,57,24,77,0.3116883116883117
nld,2174,2515,57,28,69,0.4057971014492754
nld,2405,160,43,17,66,0.25757575757575757
nld,2405,2175,43,16,66,0.24242424242424243
nld,2405,2176,43,17,65,0.26153846153846155
nld,2405,2177,43,17,70,0.24285714285714285
nld,2405,2178,43,17,66,0.25757575757575757
nld,2405,2179,43,15,73,0.2054794520547945
nld,2405,2180,43,23,59,0.3898305084745763
nld,2405,2252,43,16,71,0.22535211267605634
nld,2405,2515,43,19,64,0.296875
pes,172,160,30,21,49,0.42857142857142855
pes,172,2175,30,21,48,0.4375
pes,172,2176,30,23,46,0.5
pes,172,2177,30,21,53,0.39622641509433965
pes,172,2178,30,20,50,0.4
pes,172,2179,30,20,55,0.36363636363636365
pes,172,2180,30,19,50,0.38
pes,172,2252,30,21,53,0.39622641509433965
pes,172,2515,30,18,52,0.34615384615384615
pes,516,160,30,18,52,0.34615384615384615
pes,516,2175,30,18,51,0.35294117647058826
pes,516,2176,30,20,49,0.40816326530612246
pes,516,2177,30,18,56,0.32142857142857145
pes,516,2178,30,17,53,0.32075471698113206
pes,516,2179,30,18,57,0.3157894736842105
pes,516,2180,30,16,53,0.3018867924528302
pes,516,2252,30,18,56,0.32142857142857145
pes,516,2515,30,16,54,0.2962962962962963
pes,2205,160,29,23,46,0.5
pes,2205,2175,29,20,48,0.4166666666666667
pes,2205,2176,29,22,46,0.4782608695652174
pes,2205,2177,29,21,52,0.40384615384615385
pes,2205,2178,29,20,49,0.40816326530612246
pes,2205,2179,29,20,54,0.37037037037037035
pes,2205,2180,29,19,49,0.3877551020408163
pes,2205,2252,29,22,51,0.43137254901960786
pes,2205,2515,29,18,51,0.35294117647058826
pes,2520,160,29,22,47,0.46808510638297873
pes,2520,2175,29,19,49,0.3877551020408163
pes,2520,2176,29,18,50,0.36
pes,2520,2177,29,19,54,0.35185185185185186
pes,2520,2178,29,18,51,0.35294117647058826
pes,2520,2179,29,16,58,0.27586206896551724
pes,2520,2180,29,19,49,0.3877551020408163
pes,2520,2252,29,20,53,0.37735849056603776
pes,2520,2515,29,15,54,0.2777777777777778
por,163,160,38,15,63,0.23809523809523808
por,163,2175,38,14,63,0.2222222222222222
por,163,2176,38,17,60,0.2833333333333333
por,163,2177,38,16,66,0.24242424242424243
por,163,2178,38,15,63,0.23809523809523808
por,163,2179,38,16,67,0.23880597014925373
por,163,2180,38,16,61,0.26229508196721313
por,163,2252,38,14,68,0.20588235294117646
por,163,2515,38,17,61,0.2786885245901639
por,2206,160,47,11,76,0.14473684210526316
por,2206,2175,47,10,76,0.13157894736842105
por,2206,2176,47,13,73,0.1780821917808219
por,2206,2177,47,13,78,0.16666666666666666
por,2206,2178,47,11,76,0.14473684210526316
por,2206,2179,47,13,79,0.16455696202531644
por,2206,2180,47,12,74,0.16216216216216217
por,2206,2252,47,10,81,0.12345679012345678
por,2206,2515,47,13,74,0.17567567567567569
por,2207,160,47,10,77,0.12987012987012986
por,2207,2175,47,11,75,0.14666666666666667
por,2207,2176,47,13,73,0.1780821917808219
por,2207,2177,47,12,79,0.1518987341772152
por,2207,2178,47,11,76,0.14473684210526316
por,2207,2179,47,12,80,0.15
por,2207,2180,47,12,74,0.16216216216216217
por,2207,2252,47,10,81,0.12345679012345678
por,2207,2515,47,14,73,0.1917808219178082
por,2623,160,41,12,69,0.17391304347826086
por,2623,2175,41,11,69,0.15942028985507245
por,2623,2176,41,13,67,0.19402985074626866
por,2623,2177,41,13,72,0.18055555555555555
por,2623,2178,41,11,70,0.15714285714285714
por,2623,2179,41,13,73,0.1780821917808219
por,2623,2180,41,12,68,0.17647058823529413
por,2623,2252,41,11,74,0.14864864864864866
por,2623,2515,41,13,68,0.19117647058823528
ron,165,160,31,18,53,0.33962264150943394
ron,165,2175,31,18,52,0.34615384615384615
ron,165,2176,31,19,51,0.37254901960784315
ron,165,2177,31,19,56,0.3392857142857143
ron,165,2178,31,19,52,0.36538461538461536
ron,165,2179,31,20,56,0.35714285714285715
ron,165,2180,31,20,50,0.4
ron,165,2252,31,19,56,0.3392857142857143
ron,165,2515,31,22,49,0.4489795918367347
ron,527,160,32,13,59,0.22033898305084745
ron,527,2175,32,13,58,0.22413793103448276
ron,527,2176,32,14,57,0.24561403508771928
ron,527,2177,32,14,62,0.22580645161290322
ron,527,2178,32,14,58,0.2413793103448276
ron,527,2179,32,14,63,0.2222222222222222
ron,527,2180,32,15,56,0.26785714285714285
ron,527,2252,32,14,62,0.22580645161290322
ron,527,2515,32,16,56,0.2857142857142857
ron,2443,160,51,13,78,0.16666666666666666
ron,2443,2175,51,12,78,0.15384615384615385
ron,2443,2176,51,13,77,0.16883116883116883
ron,2443,2177,51,12,83,0.14457831325301204
ron,2443,2178,51,12,79,0.1518987341772152
ron,2443,2179,51,12,84,0.14285714285714285
ron,2443,2180,51,13,77,0.16883116883116883
ron,2443,2252,51,12,83,0.14457831325301204
