dataset_id,baseline,fold_1_z,fold_2_z,fold_3_z,mean_wald_z,mean_ceiling_z,mean_z_percent_ceiling,true_oof_log_loss_gain_vs_condition_only,interpretation
AN19,MFCC (39-D),11.383214704192849,12.470763816852909,11.307121195891852,11.720366572312537,22.159843189024333,52.890115116507594,0.029293610344641063,"Wald-z association magnitude; not accuracy, variance explained, or an OOF score"
AN19,STRF (24-D),13.1592571252682,15.131810311718809,13.535696173576405,13.94225453685447,22.159843189024333,62.91675630520709,0.04805750793376706,"Wald-z association magnitude; not accuracy, variance explained, or an OOF score"
X21,MFCC (39-D),7.17813137616719,6.528715635287774,3.502473883166789,5.736440298207252,21.73735479643067,26.3897808722761,-0.00018913367854000995,"Wald-z association magnitude; not accuracy, variance explained, or an OOF score"
X21,STRF (24-D),7.419099320055126,6.61663654605823,3.1347372466381698,5.723491037583842,21.73735479643067,26.330209407649058,3.1793756750109203e-06,"Wald-z association magnitude; not accuracy, variance explained, or an OOF score"
B23,MFCC (39-D),1.3468757402775011,0.4558961843738061,-0.277123288094486,0.5085495455189404,4.64163540607918,10.95625789248526,1.4438867027011248e-05,"Wald-z association magnitude; not accuracy, variance explained, or an OOF score"
B23,STRF (24-D),1.1527888602983356,0.4618350863575966,-0.7664705925418513,0.2827177847046936,4.64163540607918,6.090908914009409,0.00022779963218999555,"Wald-z association magnitude; not accuracy, variance explained, or an OOF score"
